"தொடங்கும் எழுத்து",பெயர்,பொருள்
ச,சங்கணி,
ச,சங்கழகி,
ச,சங்கழகு,
ச,சங்காழி,
ச,சங்கிசை,
ச,சங்கினியாள்,
ச,சங்கிழை,
ச,சங்கிழையாள்,
ச,சங்கு,"          நத்து"
ச,சங்குக்கடல்,
ச,சங்குமணி,
ச,சங்குமுத்து,
ச,சங்குமொட்டு,
ச,சங்குவடிவு,
ச,சங்குவயல்,
ச,சங்குவளை,
ச,சங்குவாரி,
ச,சங்கூராள்,
ச,சங்கெழிலி,
ச,சங்கெழில்,
ச,சங்கேந்தி,
ச,சங்கொலி,
ச,சங்கொளி,
ச,சடர்ச்சாந்து,
ச,சந்தனக்கா,
ச,சந்தனக்கிளி,
ச,சந்தனக்குமரி,
ச,சந்தனக்குயில்,
ச,சந்தனக்குழலி,
ச,சந்தனக்குழல்,
ச,சந்தனக்குவை,
ச,சந்தனக்கூந்தல்,
ச,சந்தனக்கொடி,
ச,சந்தனக்கோதை,
ச,சந்தனச்சாந்து,
ச,சந்தனச்சாரல்,
ச,சந்தனச்சிட்டு,
ச,சந்தனச்செல்வி,
ச,சந்தனச்சோலை,
ச,சந்தனத்தழை,
ச,சந்தனத்தி,
ச,சந்தனத்தென்றல்,
ச,சந்தனத்தேவி,
ச,சந்தனத்தொடை,
ச,சந்தனநங்கை,
ச,சந்தனநிலவு,
ச,சந்தனநிலா,
ச,சந்தனப்பிறை,
ச,சந்தனப்பிள்ளை,
ச,சந்தனப்பூ,
ச,சந்தனப்பொட்டு,
ச,சந்தனப்பொதிகை,
ச,சந்தனப்பொன்னி,
ச,சந்தனப்பொழில்,
ச,சந்தனமகள்,
ச,சந்தனமங்கை,
ச,சந்தனமடந்தை,
ச,சந்தனமணி,
ச,சந்தனமதி,
ச,சந்தனமயில்,
ச,சந்தனமலர்,
ச,சந்தனமலை,
ச,சந்தனமலையள்,
ச,சந்தனமான்,
ச,சந்தனமாலை,
ச,சந்தனமுகை,
ச,சந்தனமுத்து,
ச,சந்தனமுறுவல்,
ச,சந்தனமுல்லை,
ச,சந்தனமொட்டு,
ச,சந்தனமொழி,
ச,சந்தனம்,
ச,சந்தனவடிவு,
ச,சந்தனவணி,
ச,சந்தனவமுது,
ச,சந்தனவம்மை,
ச,சந்தனவரசி,
ச,சந்தனவல்லி,
ச,சந்தனவள்ளி,
ச,சந்தனவழகி,
ச,சந்தனவழகு,
ச,சந்தனவாணி,
ச,சந்தனவாரி,
ச,சந்தனவினியாள்,
ச,சந்தனவின்பம்,
ச,சந்தனவில்,
ச,சந்தனவிளக்கு,
ச,சந்தனவுரு,
ச,சந்தனவெழிலி,
ச,சந்தனவெழில்,
ச,சந்தனவொளி,
ச,சந்தனவோதி,
ச,சமனங்கை,
ச,சமனம்மை,
ச,சமனரசி,
ச,சமனரசு,
ச,சமனெஞ்சள்,
ச,சமனெழிலி,
ச,சமனெழில்,
ச,சமனொளி,
ச,சமன்,
ச,சமன்செல்வி,
ச,சமன்சொல்,
ச,சமன்மகள்,
ச,சமன்மணி,
ச,சமன்முத்து,
ச,சமன்முரசு,
ச,சமன்மொழி,
ச,சமன்வடிவு,
ச,சமரணி,
ச,சமரன்னை,
ச,சமரம்மை,
ச,சமரரசி,
ச,சமரரண்,
ச,சமரரி,
ச,சமரழகி,
ச,சமராற்றல்,
ச,சமராழி,
ச,சமரிசை,
ச,சமரினியாள்,
ச,சமரின்பம்,
ச,சமருரு,
ச,சமரெரி,
ச,சமரெழிலி,
ச,சமரெழில்,
ச,சமரொளி,
ச,சமர்,
ச,சமர்க்கடல்,
ச,சமர்க்கணை,
ச,சமர்க்கண்ணி,
ச,சமர்க்கனல்,
ச,சமர்க்கனி,
ச,சமர்க்கலம்,
ச,சமர்க்கலை,
ச,சமர்க்கிளி,
ச,சமர்க்கிள்ளை,
ச,சமர்க்குட்டி,
ச,சமர்க்கொடி,
ச,சமர்க்கோதை,
ச,சமர்ச்சிலம்பு,
ச,சமர்ச்சுடர்,
ச,சமர்ச்செல்வி,
ச,சமர்த்தலைவி,
ச,சமர்த்திரு,
ச,சமர்த்திறல்,
ச,சமர்த்துணை,
ச,சமர்த்துறை,
ச,சமர்த்தேவி,
ச,சமர்த்தொடை,
ச,சமர்த்தோகை,
ச,சமர்நங்கை,
ச,சமர்நெறி,
ச,சமர்ப்பரிதி,
ச,சமர்ப்புகழ்,
ச,சமர்ப்பூவை,
ச,சமர்மகள்,
ச,சமர்மங்கை,
ச,சமர்மடந்தை,
ச,சமர்மணி,
ச,சமர்மதி,
ச,சமர்மயில்,
ச,சமர்மலை,
ச,சமர்மானம்,
ச,சமர்மாலை,
ச,சமர்முகில்,
ச,சமர்முதலி,
ச,சமர்முத்து,
ச,சமர்முரசு,
ச,சமர்வடிவு,
ச,சமர்வல்லாள்,
ச,சமர்வல்லி,
ச,சமர்வாகை,
ச,சமர்வானம்,
ச,சமர்வாரி,
ச,சமர்வாள்,
ச,சமர்விறல்,
ச,சமர்வில்,
ச,சமர்விளக்கு,
ச,சமர்விழி,
ச,சமர்வெண்ணி,
ச,சமர்வெற்றி,
ச,சமர்வேங்கை,
ச,சமர்வேல்,
