"தொடங்கும் எழுத்து",பெயர்,பொருள்
சா,சா,இறப்பு
சா,சாhல்பு,
சா,சாந்தணி,
சா,சாந்தம்,
சா,சாந்தரி,
சா,சாந்தழகி,
சா,சாந்தழகு,
சா,சாந்தவல்லி,
சா,சாந்தினி,
சா,சாந்தினியாள்,
சா,சாந்து,
சா,சாந்துக்கலம்,
சா,சானகை,
சா,சானங்கை,
சா,சானிலவு,
சா,சானிலா,
சா,சானெஞ்சள்,
சா,சானெறி,
சா,சானேரியள்,
சா,சான்மணி,
சா,சான்மதி,
சா,சான்மனை,
சா,சான்மயில்,
சா,சான்மருதம்,
சா,சான்மறை,
சா,சான்மலர்,
சா,சான்மலை,
சா,சான்மானம்,
சா,சான்மாலை,
சா,சான்முத்து,
சா,சான்முரசு,
சா,சான்முல்லை,
சா,சான்மேழி,
சா,சான்மொழி,
சா,சான்றணி,
சா,சான்றமுதம்,
சா,சான்றமுது,
சா,சான்றம்மை,
சா,சான்றரசி,
சா,சான்றரசு,
சா,சான்றரண்,
சா,சான்றறிவு,
சா,சான்றழகி,
சா,சான்றழகு,
சா,சான்றாண்மை,
சா,சான்றாள்,
சா,சான்று,
சா,சான்றுக்கனி,
சா,சான்றுக்கிளி,
சா,சான்றுச்சொல்,
சா,சான்றுமொழி,
சா,சாரனங்கை,
சா,சாரன்மகள்,
சா,சாரன்மங்கை,
சா,சாரன்மடந்தை,
சா,சாரன்மணி,
சா,சாரன்மயில்,
சா,சாரன்மருதம்,
சா,சாரன்மலை,
சா,சாரன்மான்,
சா,சாரன்மாலை,
சா,சாரன்முகில்,
சா,சாரன்முத்து,
சா,சாரன்முல்லை,
சா,சாரற்கனி,
சா,சாரற்கழனி,
சா,சாரற்கழை,
சா,சாரற்கிளி,
சா,சாரற்கிள்ளை,
சா,சாரற்குயில்,
சா,சாரற்குறிஞ்சி,
சா,சாரற்கொடி,
சா,சாரற்கொன்றை,
சா,சாரற்கொழுந்து,
சா,சாரற்கோதை,
சா,சாரற்சந்தனம்,
சா,சாரற்சாந்து,
சா,சாரற்சிட்டு,
சா,சாரற்சிலம்பு,
சா,சாரற்சுனை,
சா,சாரற்செல்வி,
சா,சாரற்சோலை,
சா,சாரற்பணை,
சா,சாரற்பிடி,
சா,சாரற்பிணை,
சா,சாரற்புனல்,
சா,சாரற்பூவை,
சா,சாரற்பொழில்,
சா,சாரலணி,
சா,சாரலரசி,
சா,சாரலரண்,
சா,சாரலரி,
சா,சாரலழகி,
சா,சாரலழகு,
சா,சாரலாள்,
சா,சாரலினியள்,
சா,சாரலினியாள்,
சா,சாரலின்பம்,
சா,சாரலூராள்,
சா,சாரலெயினி,
சா,சாரலெழிலி,
சா,சாரலெழில்,
சா,சாரலொளி,
சா,சாரல்,
சா,சாரல்வடிவு,
சா,சாரல்வயல்,
சா,சாரல்வல்லி,
சா,சாரல்வள்ளி,
சா,சாரல்வாணி,
சா,சாரல்வேய்,
சா,சாலணி,
சா,சாலன்னை,
சா,சாலன்பு,
சா,சாலமுது,
சா,சாலம்மை,
சா,சாலரசி,
சா,சாலரசு,
சா,சாலரண்,
சா,சாலரி,
சா,சாலருவி,
சா,சாலறிவு,
சா,சாலழகி,
சா,சாலாழி,
சா,சாலி,
சா,சாலிக்கதிர்,
சா,சாலிக்கழனி,
சா,சாலிசை,
சா,சாலிச்செல்வம்,
சா,சாலிச்சோலை,
சா,சாலினி,
சா,சாலினியள்,
சா,சாலினியாள்,
சா,சாலின்பம்,
சா,சாலிமணி,
சா,சாலிமுத்து,
சா,சாலியமுதம்,
சா,சாலியமுது,
சா,சாலிழை,
சா,சாலெழிலி,
சா,சாலெழில்,
சா,சாலை,
சா,சாலொளி,
சா,சாலோதி,
சா,சாலோவியம்,
சா,சால்,"மாண்பு, அமைவு"
சா,சால்கணை,
சா,சால்கண்ணி,
சா,சால்கதிர்,
சா,சால்கனி,
சா,சால்கயம்,
சா,சால்கலை,
சா,சால்கழல்,
சா,சால்கிளி,
சா,சால்கிள்ளை,
சா,சால்குமரி,
சா,சால்குயில்,
சா,சால்குரல்,
சா,சால்குறிஞ்சி,
சா,சால்குழலி,
சா,சால்குழல்,
சா,சால்குழை,
சா,சால்கூந்தல்,
