"தொடங்கும் எழுத்து",பெயர்,பொருள்
சி,சிட்டம்மா,
சி,சிட்டழகி,
சி,சிட்டழகு,
சி,சிட்டு,
சி,சிட்டுக்குருவி,
சி,சிட்டெழிலி,
சி,சிட்டெழில்,
சி,சின்னக்கிளி,
சி,சின்னக்குட்டி,
சி,சின்னக்குயில்,
சி,சின்னச்சிட்டு,
சி,சின்னத்தங்கம்,
சி,சின்னத்தங்கை,
சி,சின்னன்,சிறியது
சி,சின்னப்பிள்ளை,
சி,சின்னமணி,
சி,சின்னம்மா,
சி,சின்னவடிவு,
சி,சின்னவல்லி,
சி,சின்னாய்ச்சி,
சி,சின்னாள்,
சி,சிறுகடல்,
சி,சிறுகிளி,
சி,சிறுகிள்ளை,
சி,சிறுகுமரி,
சி,சிறுகுயில்,
சி,சிறுகொடி,
சி,சிறுசுனை,
சி,சிறுநிலவு,
சி,சிறுநிலா,
சி,சிறுநுதல்,
சி,சிறுபண்,
சி,சிறுபிணை,
சி,சிறுபிறை,
சி,சிறுபுணை,
சி,சிறுபூவை,
சி,சிறுபொழில்,
சி,சிறுமணி,
சி,சிறுமலர்,
சி,சிறுமான்,
சி,சிறுமுகை,
சி,சிறுமுரசு,
சி,சிறுமுறுவல்,
சி,சிறுமை,சிறியது
சி,சிறுமொட்டு,
சி,சிறை,அடைக்குமிடம்
சி,சிறையஞ்சாள்,
சி,சிற்றணி,
சி,சிற்றன்னை,
சி,சிற்றமுது,
சி,சிற்றம்மை,
சி,சிற்றரசி,
சி,சிற்றரசு,
சி,சிற்றரண்,
சி,சிற்றரி,
சி,சிற்றருவி,
சி,சிற்றலரி,
சி,சிற்றலை,
சி,சிற்றல்லி,
சி,சிற்றழகி,
சி,சிற்றழகு,
சி,சிற்றாள்,
சி,சிற்றிடை,
சி,சிற்றிழை,
சி,சிற்றூராள்,
சி,சிற்றெயினி,
சி,சிற்றெரி,
சி,சிற்றெழிலி,
சி,சிற்றெழில்,
சி,சிற்றொளி,
சி,சிலம்பணி,
சி,சிலம்பம்மை,
சி,சிலம்பரசி,
சி,சிலம்பரசு,
சி,சிலம்பரண்,
சி,சிலம்பரி,
சி,சிலம்பருவி,
சி,சிலம்பழகி,
சி,சிலம்பழகு,
சி,சிலம்பிசை,
சி,சிலம்பு,
சி,சிலம்புச்செல்வி,
சி,சிலம்புமணி,
சி,சிலம்புமுத்து,
சி,சிலம்பெழிலி,
சி,சிலம்பெழில்,
சி,சிலம்பொலி,
சி,சிவப்பி,
