"தொடங்கும் எழுத்து",பெயர்,பொருள்
சு,சுடரணி,
சு,சுடரத்தி,
சு,சுடரன்னை,
சு,சுடரன்பு,
சு,சுடரமுதம்,
சு,சுடரமுது,
சு,சுடரம்மா,
சு,சுடரம்மை,
சு,சுடரரசி,
சு,சுடரரசு,
சு,சுடரரண்,
சு,சுடரரி,
சு,சுடரருவி,
சு,சுடரறிவு,
சு,சுடரலரி,
சு,சுடரலை,
சு,சுடரல்லி,
சு,சுடரழகி,
சு,சுடரழகு,
சு,சுடராம்பல்,
சு,சுடராற்றல்,
சு,சுடராள்,
சு,சுடராழி,
சு,சுடராவரசு,
சு,சுடரிசை,
சு,சுடரிடை,
சு,சுடரினி,
சு,சுடரினியள்,
சு,சுடரினியாள்,
சு,சுடரின்பம்,
சு,சுடரிழை,
சு,சுடரிழையாள்,
சு,சுடருடையாள்,
சு,சுடருரு,
சு,சுடரூராள்,
சு,சுடரெயினி,
சு,சுடரெரி,
சு,சுடரெழினி,
சு,சுடரெழிலி,
சு,சுடரெழில்,
சு,சுடரேந்தி,
சு,சுடரேரி,
சு,சுடரொளி,
சு,சுடரோதி,
சு,சுடரோவியம்,
சு,சுடர்," ஒளி"
சு,"சுடர் விழி","சுடர் போல் ஒளி வீசும் விழி"
சு,சுடர்க்கணை,
சு,சுடர்க்கண்ணி,
சு,சுடர்க்கனல்,
சு,சுடர்க்கனி,
சு,சுடர்க்கலம்,
சு,சுடர்க்கலை,
சு,சுடர்க்கழனி,
சு,சுடர்க்கழல்,
சு,சுடர்க்கா,
சு,சுடர்க்காஞ்சி,
சு,சுடர்க்காந்தள்,
சு,சுடர்க்கானல்,
சு,சுடர்க்கிளி,
சு,சுடர்க்கிள்ளை,
சு,சுடர்க்குமரி,
சு,சுடர்க்குறிஞ்சி,
சு,சுடர்க்குழை,
சு,சுடர்க்கொடி,
சு,சுடர்க்கொன்றை,
சு,சுடர்க்கொழுந்து,
சு,சுடர்க்கோதை,
சு,சுடர்ச்சந்தனம்,
சு,சுடர்ச்சாரல்,
சு,சுடர்ச்சிலம்பு,
சு,சுடர்ச்சுனை,
சு,சுடர்ச்சுரபி,
சு,சுடர்ச்செருந்தி,
சு,சுடர்ச்செல்வம்,
சு,சுடர்ச்செல்வி,
