"தொடங்கும் எழுத்து",பெயர்,பொருள்
செ,செங்கடல்,
செ,செங்கணை,
செ,செங்கண்ணி,
செ,செங்கண்ணு,
செ,செங்கதிர்,
செ,செங்கனல்,
செ,செங்கனி,
செ,செங்கமலம்,
செ,செங்கயல்,
செ,செங்கலம்,
செ,செங்கலை,
செ,செங்கழனி,
செ,செங்கழல்,
செ,செங்கழுநீர்,
செ,செங்காந்தள்,
செ,செங்கொடி,
செ,செஞ்சந்தனம்,
செ,செஞ்சாந்து,
செ,செஞ்சாரல்,
செ,செஞ்சிலம்பு,
செ,செஞ்சுடர்,
செ,செஞ்சொல்,
செ,செஞ்சோலை,
செ,செடி,
செ,செடித்துளசி,
செ,செடிப்பகன்றை,
செ,செண்பகம்,
செ,செந்தகை,
செ,செந்தகையள்,
செ,செந்தணல்,
செ,செந்தணிகை,
செ,செந்தமிழ்,
செ,செந்தமிழ்ச்செல்வி,
செ,செந்தழல்,
செ,செந்தழை,
செ,செந்தானை,
செ,செந்தாமரை,
செ,செந்தாய்,
செ,செந்தினங்கை,
செ,செந்தினல்லாள்,
செ,செந்தினி,
செ,செந்தினெய்தல்,
செ,செந்தின்மகள்,
செ,செந்தின்மங்கை,
செ,செந்தின்மடந்தை,
செ,செந்தின்மணி,
செ,செந்தின்மயில்,
செ,செந்தின்மருதம்,
செ,செந்தின்மலர்,
செ,செந்தின்மலை,
செ,செந்தின்மான்,
செ,செந்தின்மாலை,
செ,செந்தின்முடி,
செ,செந்தின்முத்து,
செ,செந்தின்முல்லை,
செ,செந்திரு,
செ,செந்திறல்,
செ,செந்திற்கடல்,
செ,செந்திற்கதிர்,
செ,செந்திற்கனல்,
செ,செந்திற்கனி,
செ,செந்திற்கயம்,
செ,செந்திற்கயல்,
செ,செந்திற்கலை,
செ,செந்திற்கழனி,
செ,செந்திற்கா,
செ,செந்திற்கானல்,
செ,செந்திற்கிளி,
செ,செந்திற்கிள்ளை,
செ,செந்திற்குமரி,
செ,செந்திற்குயில்,
செ,செந்திற்குறிஞ்சி,
செ,செந்திற்கொடி,
செ,செந்திற்கொழுந்து,
செ,செந்திற்கோதை,
செ,செந்திற்சந்தனம்,
செ,செந்திற்சாந்து,
செ,செந்திற்சாரல்,
செ,செந்திற்சிட்டு,
செ,செந்திற்சிலம்பு,
செ,செந்திற்சிவப்பி,
செ,செந்திற்சுடர்,
செ,செந்திற்சுனை,
செ,செந்திற்செல்வம்,
செ,செந்திற்செல்வி,
செ,செந்திற்சேய்,
செ,செந்திற்சோலை,
செ,செந்திற்பரிதி,
செ,செந்திற்பழம்,
செ,செந்திற்பிடி,
செ,செந்திற்பிணை,
செ,செந்திற்பிள்ளை,
செ,செந்திற்புகழ்,
செ,செந்திற்புணை,
செ,செந்திற்புதுமை,
செ,செந்திற்புனல்,
செ,செந்திற்புன்னை,
செ,செந்திற்பூ,
செ,செந்திற்பூவை,
செ,செந்திற்பொட்டு,
செ,செந்திற்பொன்,
செ,செந்திற்பொன்னி,
செ,செந்திற்பொழில்,
செ,செந்திலணி,
செ,செந்திலமுதம்,
செ,செந்திலமுது,
செ,செந்திலம்மை,
செ,செந்திலரசி,
செ,செந்திலருவி,
செ,செந்திலழகி,
செ,செந்திலழகு,
செ,செந்திலாள்,
செ,செந்திலாழி,
செ,செந்திலினியாள்,
செ,செந்திலின்பம்,
செ,செந்திலூராள்,
செ,செந்திலெரி,
செ,செந்திலெழிலி,
செ,செந்திலெழில்,
செ,செந்திலேரி,
செ,செந்திலொளி,
செ,செந்தில்,
செ,செந்தில்வடிவு,
செ,செந்தில்வயல்,
செ,செந்தில்வல்லி,
செ,செந்தில்வளை,
செ,செந்தில்வள்ளி,
செ,செந்தில்வாகை,
செ,செந்தில்வாணி,
செ,செந்தில்வாரி,
செ,செந்தில்வாழி,
செ,செந்தில்விறலி,
செ,செந்தில்விறல்,
செ,செந்தில்விளக்கு,
செ,செந்தில்வீ,
செ,செந்தில்வெற்றி,
செ,செந்தில்வேங்கை,
செ,செந்தில்வேரி,
செ,செந்தில்வேல்,
செ,செந்தீ,
செ,செந்துகிர்,
செ,செந்துணை,
செ,செந்துறை,
செ,செந்துளசி,
செ,செந்தேன்,
செ,செந்தேவி,
செ,செந்தொடை,
செ,செந்நங்கை,
செ,செந்நா,
செ,செந்நிலவு,
செ,செந்நிலா,
செ,செந்நெறி,
செ,செம்பகல்,
செ,செம்பண்,
செ,செம்பரிதி,
செ,செம்பருத்தி,
செ,செம்பழம்,
செ,செம்பாலை,
செ,செம்பிறை,
செ,செம்புனல்,
செ,செம்பொன்,
செ,செம்பொன்னி,
செ,செம்மணி,
செ,செம்மதி,
செ,செம்மனச்செல்வி,
செ,செம்மலர்,
செ,செம்மலை,
செ,செம்மலையள்,
