"தொடங்கும் எழுத்து",பெயர்,பொருள்
சொ,சொன்னங்கை,
சொ,சொன்னல்லள்,
சொ,சொன்னெறி,
சொ,சொன்னேரியள்,
சொ,சொன்மகள்,
சொ,சொன்மங்கை,
சொ,சொன்மடந்தை,
சொ,சொன்மணி,
சொ,சொன்மருதம்,
சொ,சொன்மறை,
சொ,சொன்மலர்,
சொ,சொன்மலை,
சொ,சொன்மானி,
சொ,சொன்மாரி,
சொ,சொன்மாலை,
சொ,சொன்முகில்,
சொ,சொன்முத்து,
சொ,சொன்முரசு,
சொ,சொரிகணை,
சொ,சொரிதல்,சிந்துதல்
சொ,சொற்கடல்,
சொ,சொற்கணை,
சொ,சொற்கலை,
சொ,சொற்கிளி,
சொ,சொற்கிள்ளை,
சொ,சொற்குயில்,
சொ,சொற்கொண்டல்,
சொ,சொற்சிலம்பு,
சொ,சொற்சுடர்,
சொ,சொற்சுனை,
சொ,சொற்செம்மை,
சொ,சொற்செல்வம்,
சொ,சொற்செல்வி,
சொ,சொற்சேய்,
சொ,சொற்பரிதி,
சொ,சொற்புலமை,
சொ,சொற்பூவை,
சொ,சொற்பொறை,
சொ,சொற்போர்,
சொ,சொல்," மொழி,           நெல்"
சொ,சொல்லணி,
சொ,சொல்லமுதம்,
சொ,சொல்லமுது,
சொ,சொல்லரசி,
சொ,சொல்லரி,
சொ,சொல்லருவி,
சொ,சொல்லறிவு,
சொ,சொல்லழகி,
சொ,சொல்லாற்றல்,
சொ,சொல்லாழி,
சொ,சொல்லின்பம்,
சொ,சொல்லெழிலி,
சொ,சொல்லேந்தி,
சொ,சொல்லோவியம்,
சொ,சொல்வடிவு,
சொ,சொல்வல்லாள்,
சொ,சொல்வல்லி,
சொ,சொல்வாகை,
சொ,சொல்வாணி,
சொ,சொல்வாரி,
சொ,சொல்வாழி,
சொ,சொல்விளக்கு,
சொ,சொல்வெற்றி,
சொ,சொல்வேங்கை,
சொ,சொல்வேல்,
