"தொடங்கும் எழுத்து",பெயர்,பொருள்
சோ,சோணை," ஓராறு"
சோ,சோலை," பொழில்"
சோ,சோலைக்கனி,
சோ,சோலைக்கிளி,
சோ,சோலைக்குயில்,
சோ,சோலைக்கொடி,
சோ,சோலைச்சிட்டு,
சோ,சோலைச்சுனை,
சோ,சோலைச்செடி,
சோ,சோலைச்செல்வி,
சோ,சோலைத்தமிழ்,
சோ,சோலைத்தழை,
சோ,சோலைத்திரு,
சோ,சோலைத்தென்றல்,
சோ,சோலைத்தேன்,
சோ,சோலைத்தோகை,
சோ,சோலைநகை,
சோ,சோலைநங்கை,
சோ,சோலைநன்னி,
சோ,சோலைநிலவு,
சோ,சோலைநிலா,
சோ,சோலைநெஞ்சள்,
சோ,சோலைநெய்தல்,
சோ,சோலைப்பிணை,
சோ,சோலைப்புதுமை,
சோ,சோலைப்புனல்,
சோ,சோலைப்பூ,
சோ,சோலைப்பூவை,
சோ,சோலைமகள்,
சோ,சோலைமங்கை,
சோ,சோலைமடந்தை,
சோ,சோலைமணி,
சோ,சோலைமதி,
சோ,சோலைமயில்,
சோ,சோலைமருதம்,
சோ,சோலைமலர்,
சோ,சோலைமலை,
சோ,சோலைமலையள்,
சோ,சோலைமான்,
சோ,சோலைமுகை,
சோ,சோலைமுத்து,
சோ,சோலைமுறுவல்,
சோ,சோலைமுல்லை,
சோ,சோலைமொட்டு,
சோ,சோலைமொழி,
சோ,சோலைமௌவல்,
சோ,சோலையணி,
சோ,சோலையன்னை,
சோ,சோலையன்பு,
சோ,சோலையமுதம்,
சோ,சோலையமுது,
சோ,சோலையம்மா,
சோ,சோலையம்மை,
சோ,சோலையரசி,
சோ,சோலையரசு,
சோ,சோலையரண்,
சோ,சோலையரி,
சோ,சோலையருவி,
சோ,சோலையறிவு,
சோ,சோலையலரி,
சோ,சோலையல்லி,
சோ,சோலையழகி,
சோ,சோலையழகு,
சோ,சோலையாம்பல்,
சோ,சோலையாள்,
சோ,சோலையிசை,
சோ,சோலையின்பம்,
சோ,சோலையூராள்,
சோ,சோலையெழிலி,
சோ,சோலையெழில்,
சோ,சோலையொளி,
சோ,சோலைவடிவு,
சோ,சோலைவல்லி,
சோ,சோலைவள்ளி,
சோ,சோலைவாணி,
சோ,சோலைவாழை,
சோ,சோலைவேரி,
சோ,சோழக்கனி,
சோ,சோழக்கிளி,
சோ,சோழக்கிள்ளை,
சோ,சோழக்குடிமகள்,
சோ,சோழக்குமரி,
சோ,சோழக்குயில்,
சோ,சோழச்சிலம்பு,
சோ,சோழச்சுடர்,
சோ,சோழச்செல்வி,
சோ,சோழச்சேய்,
சோ,சோழச்சோணை,
சோ,சோழத்தங்கை,
சோ,சோழநங்கை,
சோ,சோழநன்னி,
சோ,சோழன்,"           மூவேந்தருள் ஒருவர் குலப்பெயர்"
சோ,சோழன்மாதேவி,
சோ,சோழப்புகழ்,
சோ,சோழப்பொன்னி,
சோ,சோழமகள்,
சோ,சோழமங்கை,
சோ,சோழமடந்தை,
சோ,சோழமணி,
சோ,சோழமயில்,
சோ,சோழமலர்,
சோ,சோழமலை,
சோ,சோழமலையள்,
சோ,சோழமான்,
சோ,சோழமாலை,
சோ,சோழமுடி,
சோ,சோழமுத்து,
சோ,சோழமுரசு,
சோ,சோழமேழி,
சோ,சோழவயல்,
சோ,சோழவல்லி,
சோ,சோழவள்ளி,
சோ,சோழவாணி,
சோ,சோழவேங்கை,
