"தொடங்கும் எழுத்து",பெயர்,பொருள்
த,தகவணி,
த,தகவன்னை,
த,தகவன்பு,
த,தகவமுது,
த,தகவம்மா,
த,தகவம்மை,
த,தகவரசி,
த,தகவரசு,
த,தகவரண்,
த,தகவரி,
த,தகவருவி,
த,தகவறிவு,
த,தகவலரி,
த,தகவல்லி,
த,தகவழகி,
த,தகவழகு,
த,தகவாம்பல்,
த,தகவாற்றல்,
த,தகவாள்,
த,தகவாழி,
த,தகவிசை,
த,தகவினி,
த,தகவினியள்,
த,தகவினியாள்,
த,தகவின்பம்,
த,தகவிழையாள்,
த,தகவு," தகுதி"
த,தகவுக்கடல்,
த,தகவுக்கதிர்,
த,தகவுக்கனி,
த,தகவுக்கயம்,
த,தகவுக்கயல்,
த,தகவுக்கலம்,
த,தகவுக்கலை,
த,தகவுக்கழனி,
த,தகவுக்கிளி,
த,தகவுக்கிள்ளை,
த,தகவுக்குடிமகள்,
த,தகவுக்குட்டி,
த,தகவுக்குமரி,
த,தகவுக்குயில்,
த,தகவுக்கொடி,
த,தகவுக்கோதை,
த,தகவுச்சாந்து,
த,தகவுச்சாரல்,
த,தகவுச்சிட்டு,
த,தகவுச்சிலம்பு,
த,தகவுச்சுடர்,
த,தகவுச்சுனை,
த,தகவுச்செல்வம்,
த,தகவுச்செல்வி,
த,தகவுச்சேந்தி,
த,தகவுச்சேய்,
த,தகவுச்சொல்,
த,தகவுச்சோணை,
த,தகவுச்சோலை,
த,தகவுடையாள்,
த,தகவுத்தங்கம்,
த,தகவுத்தங்கை,
த,தகவுத்தமிழ்,
த,தகவுத்தலைவி,
த,தகவுத்தானை,
த,தகவுத்தாய்,
த,தகவுத்திரு,
த,தகவுத்திறல்,
த,தகவுத்துணை,
த,தகவுநகை,
த,தகவுநங்கை,
த,தகவுநெஞ்சள்,
த,தகவுநெறி,
த,தகவுப்புகழ்,
த,தகவுப்பொன்,
த,தகவுப்பொறை,
த,தகவுப்பொழில்,
த,தகவுமணி,
த,தகவுமதி,
த,தகவுமனை,
த,தகவுமயில்,
த,தகவுமருதம்,
த,தகவுமறை,
த,தகவுமலர்,
த,தகவுமலை,
த,தகவுமானம்,
த,தகவுமான்,
த,தகவுமாரி,
த,தகவுமாலை,
த,தகவுமுத்து,
த,தகவுமுரசு,
த,தகவுவல்லி,
த,தகவுவாரி,
த,தகவுவேல்,
த,தகவூராள்,
த,தகவெழிலி,
த,தகவெழில்,
த,தகவேந்தி,
த,தகவேரி,
த,தகவொளி,
த,தகு,தகுதி
த,தகுகடல்,
த,தகுகதிர்,
த,தகுகனி,
த,தகுகயம்,
த,தகுகயல்,
த,தகுகலம்,
த,தகுகலை,
த,தகுகழனி,
த,தகுகிளி,
த,தகுகிள்ளை,
த,தகுகுயில்,
த,தகுகொடி,
த,தகுகோதை,
த,தகுசாந்து,
த,தகுசாரல்,
த,தகுசிலம்பு,
த,தகுசுடர்,
த,தகுசுனை,
த,தகுசெல்வம்,
த,தகுசெல்வி,
த,தகுசேந்தி,
த,தகுசேய்,
த,தகுசொல்,
த,தகுசோலை,
த,தகுநங்கை,
த,தகுநெஞ்சள்,
த,தகுநெறி,
த,தகுபுகழ்,
த,தகுபுணை,
த,தகுபுனல்,
த,தகுபுலமை,
த,தகுபொன்,
த,தகுபொறை,
த,தகுபொழில்,
த,தகுமகள்,
த,தகுமங்கை,
த,தகுமடந்தை,
த,தகுமணி,
த,தகுமதி,
த,தகுமனை,
த,தகுமயில்,
த,தகுமருதம்,
த,தகுமறை,
த,தகுமலர்,
த,தகுமலை,
த,தகுமானி,
த,தகுமான்,
த,தகுமாமணி,
த,தகுமாமதி,
த,தகுமாமயில்,
த,தகுமாரி,
த,தகுமாலை,
