"தொடங்கும் எழுத்து",பெயர்,பொருள்
தா,தானை," படை"
தா,தானைக்கடல்,
தா,தானைக்கிளி,
தா,தானைக்குரல்,
தா,தானைக்கொடி,
தா,தானைச்செல்வி,
தா,தானைத்திறல்,
தா,தானைத்துணை,
தா,தானைமகள்,
தா,தானைமங்கை,
தா,தானைமடந்தை,
தா,தானைமணி,
தா,தானைமயில்,
தா,தானைமுதல்வி,
தா,தானைமுத்து,
தா,தானைமுரசு,
தா,தானையணி,
தா,தானையரசி,
தா,தானையரசு,
தா,தானையரண்,
தா,தானையரி,
தா,தானையழகி,
தா,தானையாற்றல்,
தா,தானையாள்,
தா,தானையாழி,
தா,தானையெழிலி,
தா,தானையெழில்,
தா,தானையொளி,
தா,தானைவடிவு,
தா,தானைவள்ளி,
தா,தானைவாகை,
தா,தானைவாரி,
தா,தானைவிறல்,
தா,தானைவில்,
தா,தானைவெற்றி,
தா,தானைவேல்,
தா,தாமரை," முளரி"
தா,தாமரைக்கண்ணி,
தா,தாமரைக்கனி,
தா,தாமரைக்கயம்,
தா,தாமரைக்கழனி,
தா,தாமரைக்கழல்,
தா,தாமரைக்கிளி,
தா,தாமரைக்குளத்தள்,
தா,தாமரைக்கொடி,
தா,தாமரைக்கோதை,
தா,தாமரைச்சிவப்பி,
தா,தாமரைச்சுனை,
தா,தாமரைச்செல்வம்,
தா,தாமரைச்செல்வி,
தா,தாமரைச்சேந்தி,
தா,தாமரைச்சேய்,
தா,தாமரைச்சோலை,
தா,தாமரைத்தங்கம்,
தா,தாமரைத்தங்கை,
தா,தாமரைத்தலைவி,
தா,தாமரைத்தாய்,
தா,தாமரைத்திரு,
தா,தாமரைத்தூயோள்,
தா,தாமரைத்தென்றல்,
தா,தாமரைத்தேன்,
தா,தாமரைத்தேவி,
தா,தாமரைத்தையல்,
தா,தாமரைத்தோகை,
தா,தாமரைநங்கை,
தா,தாமரைநன்னி,
தா,தாமரைநல்லள்,
தா,தாமரைநாச்சி,
தா,தாமரைநிலவு,
தா,தாமரைநிலா,
தா,தாமரைநெஞ்சள்,
தா,தாமரைநெய்தல்,
தா,தாமரைப்பழம்,
தா,தாமரைப்பிராட்டி,
தா,தாமரைப்பிள்ளை,
தா,தாமரைப்புனல்,
தா,தாமரைப்பூ,
தா,தாமரைப்பூவை,
தா,தாமரைப்பொன்,
தா,தாமரைப்பொன்னி,
தா,தாமரைப்பொழில்,
தா,தாமரைமகள்,
தா,தாமரைமங்கை,
தா,தாமரைமடந்தை,
தா,தாமரைமணி,
தா,தாமரைமதி,
தா,தாமரைமயில்,
தா,தாமரைமலர்,
தா,தாமரைமான்,
தா,தாமரைமாலை,
தா,தாமரைமுகை,
தா,தாமரைமுடி,
தா,தாமரைமுதல்வி,
தா,தாமரைமுத்து,
தா,தாமரைமொட்டு,
தா,தாமரையணி,
தா,தாமரையன்னை,
தா,தாமரையமுதம்,
தா,தாமரையமுது,
தா,தாமரையம்மை,
தா,தாமரையரசி,
தா,தாமரையரசு,
தா,தாமரையழகி,
தா,தாமரையழகு,
தா,தாமரையாள்,
தா,தாமரையெழிலி,
தா,தாமரையெழில்,
தா,தாமரையொளி,
தா,தாமரைவடிவு,
தா,தாமரைவயல்,
தா,தாமரைவல்லி,
தா,தாமரைவாணி,
தா,தாமரைவிளக்கு,
தா,தாமரைவேரி,
தா,தாயணி,
தா,தாயன்பு,
தா,தாயம்மா,
தா,தாயரசி,
தா,தாயரண்,
தா,தாயழகி,
தா,தாயழகு,
தா,தாயாள்,
தா,தாயாழி,
தா,தாயெழிலி,
தா,தாயெழில்,
தா,தாயொளி,
தா,தாய்,
தா,தாய்க்கடல்,
தா,தாய்க்கிளி,
தா,தாய்க்குயில்,
தா,தாய்மலை,
தா,தாய்மான்,
தா,தாய்மொழி,
தா,தாரணி,
தா,தாரம்மை,
தா,தாரரசி,
தா,தாரருவி,
தா,தாரழகி,
தா,தாரழகு,
தா,தாரினி,
தா,தாரெழிலி,
தா,தாரெழில்,
தா,தாரொளி,
தா,தாரோதி,
தா,தார்,மாலை
தா,தார்க்கிளி,
தா,தார்க்குழலி,
தா,தார்ச்செல்வி,
தா,தார்த்தேவி,
தா,தார்நங்கை,
தா,தார்மகள்,
தா,தார்மங்கை,
தா,தார்மடந்தை,
தா,தார்மணி,
தா,தார்மயில்,
தா,தார்முடி,
தா,தார்முத்து,
தா,தார்முரசு,
தா,தார்முல்லை,
தா,தார்வடிவு,
தா,தார்வல்லி,
தா,தார்வாகை,
தா,தார்வாணி,
தா,தார்வெற்றி,
தா,தார்வேங்கை,
தா,தார்வேல்,
தா,தாழக்கடல்,
தா,தாழக்கயம்,
தா,தாழங்கனி,
தா,தாழங்கழி,
தா,தாழங்கூடல்,
தா,தாழங்கேணி,
தா,தாழங்கோதை,
தா,தாழந்துறை,
தா,தாழம்பூ,
தா,தாழை," செடிவகை"
தா,தாழைமணி,
தா,தாழைமயில்,
தா,தாழைமருதம்,
தா,தாழைமலர்,
தா,தாழையணி,
தா,தாழையழகி,
தா,தாழையெழிலி,
தா,தாழையெழில்,
தா,தாழைவடிவு,
தா,தாழைவயல்,
தா,தாழோதி,
தா,தாழ்," பணிவு, நீண்டு, தொங்குதல்"
தா,தாழ்குழலி,
தா,தாழ்குழல்,
தா,தாழ்கூந்தல்,
தா,தாழ்கோதை,
தா,தாழ்சாரல்,
தா,தாழ்சொல்,
தா,தாழ்தொடை,
தா,தாழ்மாலை,
