"தொடங்கும் எழுத்து",பெயர்,பொருள்
தீ,தீ,நெருப்பு
தீ,தீக்கடல்,
தீ,தீக்கணை,
தீ,தீக்கதிர்,
தீ,தீக்கனல்,
தீ,தீக்கொழுந்து,
தீ,தீங்கனி,
தீ,தீங்குயில்,
தீ,தீங்குறிஞ்சி,
தீ,தீங்குழலி,
தீ,தீச்சுடர்,
தீ,தீஞ்சுனை,
தீ,தீஞ்சொல்,
தீ,தீஞ்சோலை,
தீ,தீத்தணல்,
தீ,தீநிலவு,
தீ,தீந்தமிழ்,
தீ,தீந்தென்றல்,
தீ,தீந்தேன்,
தீ,தீந்தொடை,
தீ,தீமங்கை,
தீ,தீமடந்தை,
தீ,தீமலை,
தீ,தீமின்னல்,
தீ,தீம்,இனிமை
தீ,தீம்பண்,
தீ,தீம்பழம்,
தீ,தீம்புனல்,
தீ,தீம்பொழில்,
தீ,தீயன்னை,
தீ,தீயம்மை,
தீ,தீயரசி,
தீ,தீயரண்,
தீ,தீயாழி,
தீ,தீயெரி,
தீ,தீயேந்தி,
தீ,தீயொளி,
தீ,தீவடிவு,
தீ,தீவாரி,
தீ,தீவேல்,
