"தொடங்கும் எழுத்து",பெயர்,பொருள்
து,துகிர்,
து,துடி,
து,துடிக்குரல்,
து,துடிப்பண்,
து,துடிமின்னல்,
து,துடிமுரசு,
து,துடியிசை,
து,துடியிடை,
து,துடியேந்தி,
து,துடியொலி,
து,துணிவம்மை,
து,துணிவரசி,
து,துணிவரண்,
து,துணிவழகி,
து,துணிவாற்றல்,
து,துணிவு,
து,துணிவுக்குமரி,
து,துணிவுச்செல்வி,
து,துணிவுத்திறல்,
து,துணிவுநங்கை,
து,துணிவுநெஞ்சள்,
து,துணிவுமங்கை,
து,துணிவுமடந்தை,
து,துணிவுமணி,
து,துணிவுமலை,
து,துணிவெழிலி,
து,துணை,
து,துணைக்கிளி,
து,துணைக்குமரி,
து,துணைக்குயில்,
து,துணைச்சிலம்பு,
து,துணைச்செல்வி,
து,துணைத்தாய்,
து,துணைநங்கை,
து,துணைநல்லள்,
து,துணைநிலவு,
து,துணைநிலா,
து,துணைநெறி,
து,துணைமகள்,
து,துணைமங்கை,
து,துணைமடந்தை,
து,துணைமணி,
து,துணைமதி,
து,துணைமனை,
து,துணைமயில்,
து,துணைமலர்,
து,துணைமாமணி,
து,துணைமாமதி,
து,துணைமாமயில்,
து,துணைமாலை,
து,துணைமுத்து,
து,துணைமுரசு,
து,துணைமேழி,
து,துணைமொழி,
து,துணையணி,
து,துணையன்னை,
து,துணையமுதம்,
து,துணையமுது,
து,துணையம்மை,
து,துணையரசி,
து,துணையழகி,
து,துணையாற்றல்,
து,துணையின்பம்,
து,துணையெழிலி,
து,துணையொளி,
து,துணைவல்லாள்,
து,துணைவாணி,
து,துணைவேல்,
து,துயையெழில்,
து,துய்ய,தூய்மை
து,துய்யகனி,
து,துய்யகழல்,
து,துய்யகிளி,
து,துய்யகுயில்,
து,துய்யகொடி,
து,துய்யசுனை,
து,துய்யசெல்வம்,
து,துய்யசொல்,
து,துய்யதங்கம்,
து,துய்யதமிழ்,
து,துய்யதாமரை,
து,துய்யதாய்,
து,துய்யதிங்கள்,
து,துய்யதிரு,
து,துய்யதென்றல்,
து,துய்யதேன்,
து,துய்யநங்கை,
து,துய்யநிலவு,
து,துய்யநிலா,
து,துய்யநெஞ்சள்,
து,துய்யப10,
து,துய்யபண்,
து,துய்யபழம்,
து,துய்யபிறை,
து,துய்யபுகழ்,
து,துய்யபுனல்,
து,துய்யபுலமை,
து,துய்யபொன்,
து,துய்யபொறை,
து,துய்யபொழில்,
து,துய்யமகள்,
து,துய்யமங்கை,
து,துய்யமடந்தை,
து,துய்யமணி,
து,துய்யமதி,
து,துய்யமனை,
து,துய்யமயில்,
து,துய்யமறை,
து,துய்யமலர்,
து,துய்யமலை,
து,துய்யமானம்,
து,துய்யமான்,
து,துய்யமாரி,
து,துய்யமாலை,
து,துய்யமுகில்,
து,துய்யமுத்து,
து,துய்யமொழி,
து,துய்யவடிவு,
து,துய்யவாணி,
து,துறை,
து,துளசி,
