"தொடங்கும் எழுத்து",பெயர்,பொருள்
தூ,தூமணி,
தூ,தூயகடல்,
தூ,தூயகணை,
தூ,தூயகதிர்,
தூ,தூயகனி,
தூ,தூயகயம்,
தூ,தூயகலம்,
தூ,தூயகலை,
தூ,தூயகழனி,
தூ,தூயகழல்,
தூ,தூயகழை,
தூ,தூயகிளி,
தூ,தூயகுயில்,
தூ,தூயகுழல்,
தூ,தூயகொடி,
தூ,தூயகொடை,
தூ,தூயகோதை,
தூ,தூயசாரல்,
தூ,தூயசிட்டு,
தூ,தூயசிலம்பு,
தூ,தூயசுடர்,
தூ,தூயசுனை,
தூ,தூயசுரபி,
தூ,தூயசெல்வம்,
தூ,தூயசெல்வி,
தூ,தூயசேய்,
தூ,தூயசொல்,
தூ,தூயதங்கம்,
தூ,தூயதங்கை,
தூ,தூயதமிழ்,
தூ,தூயதானை,
தூ,தூயதாமரை,
தூ,தூயதாய்,
தூ,தூயதிங்கள்,
தூ,தூயதிரு,
தூ,தூயதிறல்,
தூ,தூயதுறை,
தூ,தூயதென்றல்,
தூ,தூயதேன்,
தூ,தூயதேவி,
தூ,தூயதையல்,
தூ,தூயதோகை,
தூ,தூயதோழி,
தூ,தூயநகை,
தூ,தூயநங்கை,
தூ,தூயநாச்சி,
தூ,தூயநிலவு,
தூ,தூயநிலா,
தூ,தூயநெஞ்சள்,
தூ,தூயநெறி,
தூ,தூயப10,
தூ,தூயப10வை,
தூ,தூயபகல்,
தூ,தூயபணை,
தூ,தூயபண்,
தூ,தூயபரிதி,
தூ,தூயபழம்,
தூ,தூயபிணை,
தூ,தூயபிறை,
தூ,தூயபிள்ளை,
தூ,தூயபுகழ்,
தூ,தூயபுணை,
தூ,தூயபுனல்,
தூ,தூயபுலமை,
தூ,தூயபொட்டு,
தூ,தூயபொன்,
தூ,தூயபொன்னி,
தூ,தூயபொருநை,
தூ,தூயபொறை,
தூ,தூயபொறையள்,
தூ,தூயபொழில்,
தூ,தூயமகள்,
தூ,தூயமங்கை,
தூ,தூயமடந்தை,
தூ,தூயமணி,
தூ,தூயமதி,
தூ,தூயமனை,
தூ,தூயமயில்,
தூ,தூயமருதம்,
தூ,தூயமறை,
தூ,தூயமலர்,
தூ,தூயமலை,
தூ,தூயமானம்,
தூ,தூயமானி,
தூ,தூயமான்,
தூ,தூயமாமணி,
தூ,தூயமாமதி,
தூ,தூயமாமயில்,
தூ,தூயமாமலர்,
தூ,தூயமாலை,
தூ,தூயமுகில்,
தூ,தூயமுகை,
தூ,தூயமுடி,
தூ,தூயமுதல்வி,
தூ,தூயமுத்து,
தூ,தூயமுரசு,
தூ,தூயமுறுவல்,
தூ,தூயமுல்லை,
தூ,தூயமேழி,
தூ,தூயமொட்டு,
தூ,தூயமொழி,
தூ,தூயவடிவு,
தூ,தூயவணி,
தூ,தூயவன்னை,
தூ,தூயவன்பு,
தூ,தூயவமுது,
தூ,தூயவரசி,
தூ,தூயவரசு,
தூ,தூயவருவி,
தூ,தூயவறிவு,
தூ,தூயவல்லி,
தூ,தூயவள்,
தூ,தூயவள்ளி,
தூ,தூயவழகி,
தூ,தூயவழகு,
தூ,தூயவாகை,
தூ,தூயவாணி,
தூ,தூயவானம்,
தூ,தூயவாரி,
தூ,தூயவாற்றல்,
தூ,தூயவாழி,
தூ,தூயவிசை,
தூ,தூயவின்பம்,
தூ,தூயவிறல்,
தூ,தூயவிளக்கு,
தூ,தூயவிழை,
தூ,தூயவுரு,
தூ,தூயவெரி,
தூ,தூயவெற்றி,
தூ,தூயவெள்ளி,
தூ,தூயவெழில்,
தூ,தூயவேங்கை,
தூ,தூயவேய்,
தூ,தூயவேரி,
தூ,தூயவேல்,
தூ,தூயவொளி,
தூ,தூய்மை,
