"தொடங்கும் எழுத்து",பெயர்,பொருள்
தெ,தெண்கடல்,
தெ,தெண்கதிர்,
தெ,தெண்கயம்,
தெ,தெண்கரை,
தெ,தெண்குரல்,
தெ,தெண்குளத்தள்,
தெ,தெண்சுடர்,
தெ,தெண்சுனை,
தெ,தெண்சொல்,
தெ,தெண்ணகை,
தெ,தெண்ணிலவு,
தெ,தெண்ணிலா,
தெ,தெண்ணெஞ்சள்,
தெ,தெண்ணெறி,
தெ,தெண்புனல்,
தெ,தெண்பொருநை,
தெ,தெண்மணி,
தெ,தெண்மதி,
தெ,தெண்மை,தெளிவு
தெ,தெண்மொழி,
தெ,தென்கடல்,
தெ,தென்கனி,
தெ,தென்கரை,
தெ,தென்கலம்,
தெ,தென்கலை,
தெ,தென்கழனி,
தெ,தென்கிளி,
தெ,தென்கிள்ளை,
தெ,தென்குமரி,
தெ,தென்குயில்,
தெ,தென்குறிஞ்சி,
தெ,தென்கூடல்,
தெ,தென்கொடி,
தெ,தென்கோதை,
தெ,தென்சாரல்,
தெ,தென்சிட்டு,
தெ,தென்சிலம்பு,
தெ,தென்சுடர்,
தெ,தென்சொல்,
தெ,தென்சோலை,
தெ,தென்னங்கை,
தெ,தென்னமுது,
தெ,தென்னம்மை,
தெ,தென்னரசி,
தெ,தென்னரசு,
தெ,தென்னருவி,
தெ,தென்னறிவு,
தெ,தென்னழகி,
தெ,தென்னழகு,
தெ,தென்னாற்றல்,
தெ,தென்னாழி,
தெ,தென்னிசை,
தெ,தென்னிலவு,
தெ,தென்னிலா,
தெ,தென்னூராள்,
தெ,தென்னெறி,
தெ,தென்னெழிலி,
தெ,தென்னெழில்,
தெ,தென்னேரியள்,
தெ,தென்னொளி,
தெ,தென்னோவியம்,
தெ,தென்பொன்னி,
தெ,தென்பொருநை,
தெ,தென்பொழில்,
தெ,தென்மகள்,
தெ,தென்மங்கை,
தெ,தென்மடந்தை,
தெ,தென்மணி,
தெ,தென்மதி,
தெ,தென்மயில்,
தெ,தென்மருதம்,
தெ,தென்மறை,
தெ,தென்மலர்,
தெ,தென்மலை,
தெ,தென்மலையள்,
தெ,தென்மாலை,
தெ,தென்முத்து,
தெ,தென்முரசு,
தெ,தென்மொழி,
தெ,தென்றணிகை,
தெ,தென்றமிழ்,
தெ,தென்றலைவி,
தெ,தென்றல்,
தெ,தென்வடிவு,
தெ,தென்வல்லி,
தெ,தென்வாணி,
தெ,தென்வானம்,
தெ,தென்வாரி,
தெ,தென்விறல்,
தெ,தென்விளக்கு,
தெ,தென்வெற்றி,
தெ,தென்வெள்ளி,
தெ,தெய்வக்கடல்,
தெ,தெய்வக்கணை,
தெ,தெய்வக்கதிர்,
தெ,தெய்வக்கனல்,
தெ,தெய்வக்கனி,
தெ,தெய்வக்கலம்,
தெ,தெய்வக்கலை,
தெ,தெய்வக்கழல்,
தெ,தெய்வக்கிளி,
தெ,தெய்வக்குமரி,
தெ,தெய்வக்குயில்,
தெ,தெய்வக்குரல்,
தெ,தெய்வக்குறிஞ்சி,
தெ,தெய்வக்கூடல்,
தெ,தெய்வக்கொடி,
தெ,தெய்வக்கொடை,
தெ,தெய்வக்கொன்றை,
தெ,தெய்வக்கொழுந்து,
தெ,தெய்வக்கோதை,
தெ,தெய்வச்சாந்து,
தெ,தெய்வச்சாரல்,
தெ,தெய்வச்சிட்டு,
தெ,தெய்வச்சிலம்பு,
