"தொடங்கும் எழுத்து",பெயர்,பொருள்
தே,தேங்கடல்,
தே,தேங்கண்ணி,
தே,தேங்கனி,
தே,தேங்கயம்,
தே,தேங்கயல்,
தே,தேங்கலம்,
தே,தேங்கலை,
தே,தேங்கழனி,
தே,தேங்காஞ்சி,
தே,தேங்காந்தள்,
தே,தேங்கிளி,
தே,தேங்குயில்,
தே,தேங்குரல்,
தே,தேங்குறிஞ்சி,
தே,தேங்குழலி,
தே,தேங்குழல்,
தே,தேங்குவளை,
தே,தேங்கூந்தல்,
தே,தேங்கொடி,
தே,தேங்கொன்றை,
தே,தேங்கோதை,
தே,தேஞ்சாரல்,
தே,தேஞ்சிட்டு,
தே,தேஞ்சிலம்பு,
தே,தேஞ்சுனை,
தே,தேஞ்சுரபி,
தே,தேஞ்செருந்தி,
தே,தேஞ்செல்வி,
தே,தேஞ்சொல்,
தே,தேஞ்சோலை,
தே,தேநகை,
தே,தேநங்கை,
தே,தேநா,
தே,தேநிலவு,
தே,தேநிலா,
தே,தேநெஞ்சள்,
தே,தேநெய்தல்,
தே,தேநெறி,
தே,தேந்தகை,
தே,தேந்தணிகை,
தே,தேந்தமிழ்,
தே,தேந்தாமரை,
தே,தேந்திங்கள்,
தே,தேந்திரு,
தே,தேந்துளசி,
தே,தேந்தென்றல்,
தே,தேந்தொடை,
தே,தேந்தோகை,
தே,தேனகை,
தே,தேனங்கை,
தே,தேனணி,
தே,தேனன்னை,
தே,தேனன்பு,
தே,தேனமுதம்,
தே,தேனமுது,
தே,தேனம்மை,
தே,தேனரசி,
தே,தேனரசு,
தே,தேனரி,
தே,தேனருவி,
தே,தேனறிவு,
தே,தேனலரி,
தே,தேனலை,
தே,தேனல்லி,
தே,தேனழகி,
தே,தேனழகு,
தே,தேனாம்பல்,
தே,தேனாள்,
தே,தேனாழி,
தே,தேனிசை,
தே,தேனிடை,
தே,தேனினி,
தே,தேனினியள்,
தே,தேனினியாள்,
தே,தேனின்பம்,
தே,தேனிலவு,
தே,தேனிலா,
தே,தேனிழை,
தே,தேனூராள்,
தே,தேனெஞ்சள்,
தே,தேனெயினி,
தே,தேனெய்தல்,
தே,தேனெறி,
தே,தேனெழிலி,
தே,தேனெழில்,
தே,தேனேரி,
தே,தேனொச்சி,
தே,தேனொளி,
தே,தேன்,
தே,தேன்கடல்,
தே,தேன்கண்ணி,
தே,தேன்கனி,
தே,தேன்கயம்,
தே,தேன்கலம்,
தே,தேன்கலை,
தே,தேன்கழனி,
தே,தேன்கா,
தே,தேன்காஞ்சி,
தே,தேன்காந்தள்,
தே,தேன்கிளி,
தே,தேன்கிள்ளை,
தே,தேன்குயில்,
தே,தேன்குரல்,
தே,தேன்குறிஞ்சி,
தே,தேன்குழலி,
தே,தேன்குழல்,
தே,தேன்கூடல்,
தே,தேன்கூந்தல்,
தே,தேன்கொடி,
தே,தேன்கொன்றை,
தே,தேன்கோதை,
தே,தேன்சாரல்,
தே,தேன்சிட்டு,
தே,தேன்சிலம்பு,
தே,தேன்சுனை,
தே,தேன்சுரபி,
தே,தேன்செருந்தி,
தே,தேன்செல்வம்,
தே,தேன்செல்வி,
தே,தேன்சொல்,
தே,தேன்சோணை,
தே,தேன்சோலை,
தே,தேன்பழம்,
தே,தேன்புகழ்,
தே,தேன்பொருநை,
தே,தேன்பொழில்,
தே,தேன்மகள்,
தே,தேன்மங்கை,
தே,தேன்மடந்தை,
தே,தேன்மணி,
தே,தேன்மதி,
தே,தேன்மயில்,
தே,தேன்மருதம்,
தே,தேன்மலர்,
தே,தேன்மலை,
தே,தேன்மழை,
தே,தேன்மானம்,
தே,தேன்மானி,
தே,தேன்மாரி,
தே,தேன்மாலை,
தே,தேன்முகிலி,
தே,தேன்முகில்,
தே,தேன்முகை,
தே,தேன்முத்து,
தே,தேன்முரசு,
தே,தேன்முறுவல்,
தே,தேன்முல்லை,
தே,தேன்மொட்டு,
தே,தேன்மொழி,
தே,தேன்மொழியாள்,
தே,தேன்யாழ்,
தே,தேன்வடிவு,
தே,தேன்வல்லி,
தே,தேன்வாணி,
தே,தேன்வாரி,
தே,தேன்வாழை,
தே,தேன்விழி,
தே,தேமகள்,
தே,தேமங்கை,
தே,தேமடந்தை,
தே,தேமணி,
தே,தேமதி,
தே,தேமயில்,
தே,தேமருதம்,
தே,தேமலர்,
தே,தேமா,
தே,தேமாங்கனி,
தே,தேமாங்கிளி,
தே,தேமாங்குயில்,
தே,தேமான்,
தே,தேமாரி,
தே,தேமாலை,
தே,தேமொழி,
தே,தேம்,"தேன், இனிமை"
தே,தேம்பழம்,
தே,தேம்புகழ்,
தே,தேம்புனல்,
தே,தேம்புன்னை,
தே,தேம்பொருநை,
தே,தேம்பொழில்,
தே,தேரணி,
தே,தேரம்மை,
தே,தேரரசி,
தே,தேரரசு,
தே,தேரறிவு,
தே,தேரழகி,
தே,தேரழகு,
தே,தேரிசை,
தே,தேரினி,
தே,தேரின்பம்,
தே,தேரிழை,
தே,தேரெழிலி,
தே,தேரெழில்,
தே,தேரொளி,
தே,தேர்,"ஆராய்ச்சி, ஊர்தி"
தே,தேர்கணை,
தே,தேர்கனி,
தே,தேர்கலை,
தே,தேர்கிளி,
தே,தேர்குயில்,
தே,தேர்குழை,
தே,தேர்கொடை,
தே,தேர்கோதை,
தே,தேர்சிலம்பு,
தே,தேர்செல்வி,
தே,தேர்சொல்,
தே,தேர்தமிழ்,
தே,தேர்தொடி,
தே,தேர்தொடை,
தே,தேர்தோகை,
தே,தேர்நங்கை,
தே,தேர்நெறி,
தே,தேர்பண்,
தே,தேர்பழம்,
தே,தேர்புலமை,
தே,தேர்பொன்னி,
தே,தேர்மடந்தை,
தே,தேர்மணி,
தே,தேர்மதி,
தே,தேர்மயில்,
தே,தேர்மலர்,
தே,தேர்மானி,
தே,தேர்முத்து,
தே,தேர்மொழி,
தே,தேர்வாணி,
தே,தேறல்,
தே,தேவி,
