"தொடங்கும் எழுத்து",பெயர்,பொருள்
ந,நகு,சிரிப்பு
ந,நகுகண்ணி,
ந,நகை,
ந,நகைக்கண்ணி,
ந,நகைக்கதிர்,
ந,நகைக்கலம்,
ந,நகைக்கலை,
ந,நகைக்கிளி,
ந,நகைக்கிள்ளை,
ந,நகைக்குயில்,
ந,நகைக்குரல்,
ந,நகைக்குவை,
ந,நகைக்கொடி,
ந,நகைச்சிலம்பு,
ந,நகைச்செல்வி,
ந,நகைத்தேவி,
ந,நகைநங்கை,
ந,நகைநல்லாள்,
ந,நகைநிலவு,
ந,நகைநிலா,
ந,நகைப்பொன்னி,
ந,நகைமகள்,
ந,நகைமங்கை,
ந,நகைமடந்தை,
ந,நகைமணி,
ந,நகைமதி,
ந,நகைமயில்,
ந,நகைமலர்,
ந,நகைமான்,
ந,நகைமாலை,
ந,நகைமுடி,
ந,நகைமுத்து,
ந,நகைமுல்லை,
ந,நகையணி,
ந,நகையமுது,
ந,நகையம்மை,
ந,நகையரசி,
ந,நகையழகி,
ந,நகையழகு,
ந,நகையாள்,
ந,நகையிசை,
ந,நகையினி,
ந,நகையினியாள்,
ந,நகையின்பம்,
ந,நகையெழிலி,
ந,நகையெழில்,
ந,நகையொளி,
ந,நகைவல்லி,
ந,நகைவளை,
ந,நகைவிழி,
ந,நகைவெள்ளி,
ந,நகைவேல்,
ந,நங்கை,
ந,நங்கைக்கொடி,
ந,நங்கைச்செல்வம்,
ந,நங்கைச்செல்வி,
ந,நங்கைநல்லாள்,
ந,நங்கைநிலவு,
ந,நங்கைநிலா,
ந,நங்கைமணி,
ந,நங்கைமதி,
ந,நங்கைமயில்,
ந,நங்கைமலர்,
ந,நங்கைமான்,
ந,நங்கைமாலை,
ந,நங்கைமுடி,
ந,நங்கைமுத்து,
ந,நங்கையணி,
ந,நங்கையமுது,
ந,நங்கையரசி,
ந,நங்கையரி,
ந,நங்கையர்க்கரசி,
ந,நங்கையழகி,
ந,நங்கையாள்,
ந,நங்கையிசை,
ந,நங்கையினியாள்,
ந,நங்கையின்பம்,
ந,நங்கையெழிலி,
ந,நங்கையெழில்,
ந,நங்கையொளி,
ந,நங்கையோவியம்,
ந,நங்கைவடிவு,
ந,நங்கைவல்லி,
ந,நங்கைவளை,
ந,நங்கைவள்ளி,
ந,நசை,
ந,நசைக்கடல்,
ந,நசைக்கண்ணி,
ந,நசைக்கதிர்,
ந,நசைக்கனி,
ந,நசைக்கயம்,
ந,நசைக்கயல்,
ந,நசைக்கலம்,
ந,நசைக்கலை,
ந,நசைக்கிளி,
ந,நசைக்குமரி,
ந,நசைக்குயில்,
ந,நசைக்குரல்,
ந,நசைக்குறிஞ்சி,
ந,நசைக்குழலி,
ந,நசைக்குழல்,
ந,நசைக்கூடல்,
ந,நசைக்கூந்தல்,
ந,நசைக்கொடி,
ந,நசைக்கொழுந்து,
ந,நசைக்கோதை,
ந,நசைசெஞ்சள்,
ந,நசைச்சந்தனம்,
ந,நசைச்சிலம்பு,
ந,நசைச்சுடர்,
ந,நசைச்சுனை,
ந,நசைச்சுரபி,
ந,நசைச்செல்வம்,
ந,நசைச்செல்வி,
ந,நசைச்சொல்,
ந,நசைச்சோலை,
ந,நசைத்திரு,
ந,நசைத்துறை,
ந,நசைத்தென்றல்,
ந,நசைத்தேவி,
ந,நசைத்தோகை,
ந,நசைத்தோழி,
ந,நசைநகை,
ந,நசைநங்கை,
ந,நசைநல்லள்,
ந,நசைநிலவு,
ந,நசைநிலா,
ந,நசைநெறி,
ந,நசைப்பண்,
ந,நசைப்பரிதி,
ந,நசைப்பழம்,
ந,நசைப்பிறை,
ந,நசைப்புனல்,
ந,நசைப்பூ,
ந,நசைப்பூவை,
ந,நசைப்பொன்,
ந,நசைப்பொன்னி,
ந,நசைப்பொழில்,
ந,நசைமகள்,
ந,நசைமங்கை,
ந,நசைமடந்தை,
ந,நசைமணி,
ந,நசைமதி,
ந,நசைமனை,
ந,நசைமயில்,
ந,நசைமருதம்,
ந,நசைமறை,
ந,நசைமலர்,
ந,நசைமலை,
ந,நசைமானம்,
ந,நசைமான்,
ந,நசைமாலை,
ந,நசைமின்னல்,
ந,நசைமுகில்,
ந,நசைமுடி,
ந,நசைமுதல்வி,
ந,நசைமுத்து,
ந,நசைமுரசு,
ந,நசைமுறுவல்,
ந,நசைமுல்லை,
ந,நசைமேழி,
ந,நசைமொழி,
ந,நசையணி,
ந,நசையமுதம்,
ந,நசையமுது,
ந,நசையரசி,
ந,நசையரசு,
ந,நசையரி,
ந,நசையருவி,
ந,நசையலரி,
ந,நசையலை,
ந,நசையல்லி,
ந,நசையழகி,
ந,நசையழகு,
ந,நசையாள்,
ந,நசையாழ்,
ந,நசையிசை,
ந,நசையிடையாள்,
ந,நசையினி,
ந,நசையினியாள்,
ந,நசையின்பம்,
ந,நசையிழை,
ந,நசையிழையாள்,
ந,நசையெழிலி,
ந,நசையெழில்,
ந,நசையேரி,
ந,நசையொளி,
ந,நசையோதி,
ந,நசையோவியம்,
ந,நசைவடிவு,
ந,நசைவல்லி,
ந,நசைவாகை,
ந,நசைவானம்,
ந,நசைவாரி,
ந,நசைவிழி,
ந,நச்சினார்க்கினியாள்,
ந,நச்சௌளை,
ந,நஞ்சு,விருப்பம்
ந,நடக்கண்ணி,
ந,நடக்கதிர்,
ந,நடக்கலை,
ந,நடக்கிளி,
ந,நடக்கிள்ளை,
ந,நடக்குமரி,
ந,நடக்குயில்,
ந,நடக்கொடி,
ந,நடக்கோதை,
ந,நடச்சிலம்பு,
ந,நடச்சுடர்,
ந,நடச்செல்வி,
ந,நடச்சேய்,
ந,நடத்துறை,
ந,நடத்தேவி,
ந,நடத்தோகை,
ந,நடநங்கை,
ந,நடநல்லள்,
ந,நடநிலவு,
ந,நடநிலா,
ந,நடப்புலமை,
ந,நடப்பூவை,
ந,நடப்பொன்னி,
ந,நடமகள்,
ந,நடமங்கை,
ந,நடமடந்தை,
ந,நடமணி,
ந,நடமதி,
ந,நடமயில்,
ந,நடமலர்,
ந,நடமான்,
ந,நடமாலை,
ந,நடமுடி,
ந,நடமுதல்வி,
ந,நடமுத்து,
ந,நடமுரசு,
ந,நடமுறுவல்,
ந,நடமுல்லை,
ந,நடம்,
ந,நடவடிவு,
ந,நடவரசி,
ந,நடவல்லி,
ந,நடவழகி,
ந,நடவழகு,
ந,நடவிசை,
ந,நடவின்பம்,
ந,நடவெழிலி,
ந,நடவெழில்,
ந,நடவொலி,
ந,நடவொளி,
ந,நடை,நடத்தல்
ந,நடைச்செல்வி,
ந,நடைநல்லள்,
ந,நடைமணி,
ந,நடைமதி,
ந,நடைமயில்,
ந,நடைமலர்,
ந,நடைமானம்,
ந,நடைமுத்து,
ந,நடையரசி,
ந,நடையறிவள்,
ந,நடையழகி,
ந,நடையழகு,
ந,நடையாற்றல்,
ந,நடையாள்,
ந,நடையினியள்,
ந,நடையின்பம்,
ந,நடையெழிலி,
ந,நடையெழில்,
ந,நடையொளி,
ந,நடைவடிவு,
ந,நடைவல்லி,
ந,நடைவாகை,
ந,நடைவெற்றி,
ந,நன்னகை,
ந,நன்னங்கை,
ந,நன்னி,
ந,நன்னிலவு,
ந,நன்னிலா,
ந,நன்னுதல்,
ந,நன்னெஞ்சள்,
ந,நன்னெய்தல்,
ந,நன்னெறி,
ந,நன்னொச்சி,
ந,நன்மகள்,
ந,நன்மங்கை,
ந,நன்மடந்தை,
ந,நன்மணி,
ந,நன்மதி,
ந,நன்மனை,
ந,நன்மயில்,
ந,நன்மருதம்,
ந,நன்மறை,
ந,நன்மலர்,
ந,நன்மலை,
ந,நன்மலையள்,
ந,நன்மழை,
ந,நன்மானம்,
ந,நன்மானி,
ந,நன்மான்,
ந,நன்மாமணி,
ந,நன்மாமதி,
ந,நன்மாமயில்,
ந,நன்மாரி,
ந,நன்மாலை,
ந,நன்மின்னல்,
ந,நன்மீன்,
ந,நன்முகிலி,
ந,நன்முகில்,
ந,நன்முகை,
ந,நன்முடி,
ந,நன்முதலி,
ந,நன்முதல்வி,
ந,நன்முத்து,
ந,நன்முரசு,
ந,நன்முறுவல்,
ந,நன்முல்லை,
ந,நன்மேழி,
ந,நன்மை,நலம்
ந,நன்மொட்டு,
ந,நன்மொழி,
ந,நப்பசலையார்,
ந,நப்பின்னை,
ந,நயக்கடல்,
ந,நயக்கண்ணி,
ந,நயக்கதிர்,
ந,நயக்கனி,
ந,நயக்கயம்,
ந,நயக்கயல்,
ந,நயக்கலம்,
ந,நயக்கலை,
ந,நயக்கழனி,
ந,நயக்கழல்,
ந,நயக்கா,
ந,நயக்காஞ்சி,
ந,நயக்காந்தள்,
ந,நயக்கானல்,
ந,நயக்கிளி,
ந,நயக்கிள்ளை,
ந,நயக்குடிமகள்,
ந,நயக்குமரி,
ந,நயக்குயில்,
ந,நயக்குரல்,
ந,நயக்குறிஞ்சி,
ந,நயக்குளத்தள்,
ந,நயக்குழலி,
ந,நயக்குழை,
ந,நயக்கூடல்,
ந,நயக்கூந்தல்,
ந,நயக்கொடி,
ந,நயக்கொடை,
ந,நயக்கொன்றை,
ந,நயக்கொம்பு,
ந,நயக்கொழுந்து,
ந,நயக்கோதை,
ந,நயச்சந்தனம்,
ந,நயச்சாந்து,
ந,நயச்சாரல்,
ந,நயச்சிட்டு,
ந,நயச்சிலம்பு,
ந,நயச்சிவப்பி,
ந,நயச்சுடர்,
ந,நயச்சுனை,
ந,நயச்சுரபி,
ந,நயச்செருந்தி,
ந,நயச்செல்வம்,
ந,நயச்செல்வி,
ந,நயச்சேந்தி,
ந,நயச்சேய்,
ந,நயச்சொல்,
ந,நயச்சோணை,
ந,நயச்சோலை,
ந,நயத்தகை,
ந,நயத்தகையள்,
ந,நயத்தங்கம்,
ந,நயத்தங்கை,
ந,நயத்தணிகை,
ந,நயத்தமிழ்,
ந,நயத்தலைவி,
ந,நயத்தானை,
ந,நயத்தாமரை,
ந,நயத்தாய்,
ந,நயத்திங்கள்,
ந,நயத்திரு,
ந,நயத்திறல்,
ந,நயத்துணை,
ந,நயத்துறை,
ந,நயத்துளசி,
ந,நயத்தூயோள்,
ந,நயத்தென்றல்,
ந,நயத்தேன்,
ந,நயத்தேவி,
ந,நயத்தையல்,
ந,நயத்தொடி,
ந,நயத்தொடை,
ந,நயத்தோகை,
ந,நயத்தோழி,
ந,நயநகை,
ந,நயநங்கை,
ந,நயநிலவு,
ந,நயநிலா,
ந,நயப்பண்,
ந,நயப்பரிதி,
ந,நயப்பழம்,
ந,நயப்பாடினி,
ந,நயப்பாலை,
ந,நயப்பிடி,
ந,நயப்பிணை,
ந,நயப்பிறை,
ந,நயப்பிள்ளை,
ந,நயப்புகழ்,
ந,நயப்புணை,
ந,நயப்புதுமை,
ந,நயப்புனல்,
ந,நயப்புன்னை,
ந,நயப்புலமை,
ந,நயப்பூ,
ந,நயப்பூவை,
ந,நயப்பொட்டு,
ந,நயப்பொன்,
ந,நயப்பொன்னி,
ந,நயப்பொருநை,
ந,நயப்பொறை,
ந,நயப்பொறையள்,
ந,நயப்பொழில்,
ந,நயமகள்,
ந,நயமங்கை,
ந,நயமடந்தை,
ந,நயமணி,
ந,நயமதி,
ந,நயமனை,
ந,நயமயில்,
ந,நயமறை,
ந,நயமலர்,
ந,நயமலை,
ந,நயமலையள்,
ந,நயமழை,
ந,நயமாதேவி,
ந,நயமானம்,
ந,நயமானி,
