"தொடங்கும் எழுத்து",பெயர்,பொருள்
நா,நா,"          நாக்கு"
நா,நாகக்கணை,
நா,நாகக்கொடி,
நா,நாகச்செல்வி,
நா,நாகத்தலைவி,
நா,நாகத்தாய்,
நா,நாகநங்கை,
நா,நாகநாச்சி,
நா,நாகமகள்,
நா,நாகமங்கை,
நா,நாகமடந்தை,
நா,நாகமணி,
நா,நாகமதி,
நா,நாகமலர்,
நா,நாகமலை,
நா,நாகமுத்து,
நா,நாகம்,பாம்பின்வகை
நா,நாகம்மா,
நா,நாகம்மை,
நா,நாகவரசி,
நா,நாகவல்லி,
நா,நாச்சி,
நா,நாச்சியார்,
நா,நாணகை,
நா,நாணங்கை,
நா,நாணணி,
நா,நாணன்னி,
நா,நாணன்னை,
நா,நாணமுது,
நா,நாணம்மை,
நா,நாணரசி,
நா,நாணரசு,
நா,நாணரண்,
நா,நாணரி,
நா,நாணருவி,
நா,நாணறிவு,
நா,நாணல்லள்,
நா,நாணழகி,
நா,நாணழகு,
நா,நாணாற்றல்,
நா,நாணாழி,
நா,நாணினியாள்,
நா,நாணின்பம்,
நா,நாணிலவு,
நா,நாணிலா,
நா,நாணிழை,
நா,நாணிழையாள்,
நா,நாணுடையாள்,
நா,நாணுரு,
நா,நாணெஞ்சள்,
நா,நாணெழிலி,
நா,நாணெழில்,
நா,நாணேந்தி,
நா,நாணேரி,
நா,நாணொளி,
நா,நாண்,வெட்கம்
நா,நாண்கிளி,
நா,நாண்கிள்ளை,
நா,நாண்குமரி,
நா,நாண்குயில்,
நா,நாண்செல்வி,
நா,நாண்ப10வை,
நா,நாண்பிடி,
நா,நாண்பிணை,
நா,நாண்மகள்,
நா,நாண்மங்கை,
நா,நாண்மடந்தை,
நா,நாண்மணி,
நா,நாண்மதி,
நா,நாண்மனை,
நா,நாண்மயில்,
நா,நாண்மருதம்,
நா,நாண்மறை,
நா,நாண்மலர்,
நா,நாண்மழை,
நா,நாண்மீன்,
நா,நாண்முகை,
நா,நாண்முதல்வி,
நா,நாண்முத்து,
நா,நாண்முரசு,
நா,நாண்முல்லை,
நா,நாண்மொழி,
நா,நாண்வடிவு,
நா,நாண்விளக்கு,
நா,நாண்விழி,
நா,நாநல்லள்,
நா,நாநேரியள்,
நா,நாப்புலமை,
நா,நாமகள்,
நா,நாமங்கை,
நா,நாமடந்தை,
நா,நாமணி,
நா,நாமதி,
நா,நாமயில்,
நா,நாமறை,
நா,நாமலர்,
நா,நாமழை,
நா,நாமாலை,
நா,நாமுகிலி,
நா,நாமுதலி,
நா,நாமுதல்வி,
நா,நாமுத்து,
நா,நாமுரசு,
நா,நாமொழி,
நா,நாள்,"ஒளி, பகல்"
நா,நாவணி,
நா,நாவனகை,
நா,நாவனங்கை,
நா,நாவன்மகள்,
நா,நாவன்மங்கை,
நா,நாவன்மடந்தை,
நா,நாவன்மணி,
நா,நாவன்மதி,
நா,நாவன்மலர்,
நா,நாவன்மலை,
நா,நாவன்முரசு,
நா,நாவன்மொழி,
நா,நாவமுதம்,
நா,நாவமுது,
நா,நாவம்மை,
நா,நாவரசி,
நா,நாவரசு,
நா,நாவரண்,
நா,நாவருவி,
நா,நாவற்கண்ணி,
நா,நாவற்கனி,
நா,நாவற்கயம்,
நா,நாவற்கா,
நா,நாவற்காடு,
நா,நாவற்கிளி,
நா,நாவற்குளத்தள்,
நா,நாவற்கூடல்,
நா,நாவற்செல்வி,
நா,நாவற்சோலை,
நா,நாவற்பழம்,
நா,நாவற்பொன்,
நா,நாவற்பொன்னி,
நா,நாவற்பொழில்,
நா,நாவலரசி,
நா,நாவலள்,
நா,நாவலழகி,
நா,நாவலாள்,
நா,நாவலூராள்,
நா,நாவலெயினி,
நா,நாவலெழிலி,
நா,நாவல்,
நா,நாவல்லள்,
நா,நாவல்லாள்,
நா,நாவல்லி,
நா,நாவாகை,
நா,நாவாணி,
நா,நாவாற்றல்,
நா,நாவிசை,
நா,நாவினியள்,
நா,நாவினியாள்,
நா,நாவின்பம்,
நா,நாவிறலி,
நா,நாவிறல்,
நா,நாவிறைவி,
நா,நாவெற்றி,
நா,நாவெழிலி,
நா,நாவேங்கை,
நா,நாவேரி,
நா,நாவேல்,
நா,நாவொளி,
