"தொடங்கும் எழுத்து",பெயர்,பொருள்
நி,நிகரிலாள்,
நி,நிகர்,"          ஒப்பு"
நி,நித்திலா,முத்து
நி,நிரல்யா,நிரல்
நி,நிர்மையழகி,
நி,நிறை," நிரம்புதல்"
நி,நிறைகடல்,
நி,நிறைகதிர்,
நி,நிறைகனி,
நி,நிறைகயம்,
நி,நிறைகலம்,
நி,நிறைகலை,
நி,நிறைகழனி,
நி,நிறைகழல்,
நி,நிறைகழை,
நி,நிறைகாஞ்சி,
நி,நிறைகானல்,
நி,நிறைகிளி,
நி,நிறைகிள்ளை,
நி,நிறைகுமரி,
நி,நிறைகுயில்,
நி,நிறைகுறிஞ்சி,
நி,நிறைகுளத்தள்,
நி,நிறைகுழலி,
நி,நிறைகூடல்,
நி,நிறைகூந்தல்,
நி,நிறைகொடி,
நி,நிறைகொடை,
நி,நிறைகொன்றை,
நி,நிறைகோதை,
நி,நிறைசந்தனம்,
நி,நிறைசாந்து,
நி,நிறைசாரல்,
நி,நிறைசிட்டு,
நி,நிறைசிலம்பு,
நி,நிறைசுடர்,
நி,நிறைசுனை,
நி,நிறைசுரபி,
நி,நிறைசெல்வம்,
நி,நிறைசெல்வி,
நி,நிறைசொல்,
நி,நிறைசோணை,
நி,நிறைசோலை,
நி,நிறைதகை,
நி,நிறைதகையள்,
நி,நிறைதங்கம்,
நி,நிறைதமிழ்,
நி,நிறைதானை,
நி,நிறைதாமரை,
நி,நிறைதிங்கள்,
நி,நிறைதிரு,
நி,நிறைதிறல்,
நி,நிறைதூயவள்,
நி,நிறைதூயோள்,
நி,நிறைதென்றல்,
நி,நிறைதேன்,
நி,நிறைதேவி,
நி,நிறைதொடி,
நி,நிறைதொடை,
நி,நிறைதோகை,
நி,நிறைநகை,
நி,நிறைநங்கை,
நி,நிறைநல்லாள்,
நி,நிறைநிலவு,
நி,நிறைநிலா,
நி,நிறைநெஞ்சள்,
நி,நிறைநெறி,
நி,நிறைபகல்,
நி,நிறைபணை,
நி,நிறைபண்,
நி,நிறைபரிதி,
நி,நிறைபாடி,
நி,நிறைபாடினி,
நி,நிறைபிடி,
நி,நிறைபிணை,
நி,நிறைபிறை,
நி,நிறைபுகழ்,
நி,நிறைபுணை,
நி,நிறைபுதுமை,
நி,நிறைபுனல்,
நி,நிறைபுன்னை,
நி,நிறைபுலமை,
நி,நிறைபொட்டு,
நி,நிறைபொன்,
நி,நிறைபொன்னி,
நி,நிறைபொருநை,
நி,நிறைபொறை,
நி,நிறைபொறையள்,
நி,நிறைபொழில்,
நி,நிறைமகள்,
நி,நிறைமங்கை,
நி,நிறைமடந்தை,
நி,நிறைமணி,
நி,நிறைமதி,
நி,நிறைமனை,
நி,நிறைமயில்,
நி,நிறைமருதம்,
நி,நிறைமறை,
நி,நிறைமலர்,
நி,நிறைமலை,
நி,நிறைமழை,
நி,நிறைமானம்,
நி,நிறைமாமணி,
நி,நிறைமாமதி,
நி,நிறைமாமயில்,
நி,நிறைமாமலர்,
நி,நிறைமொழி,
நி,நிறையணி,
நி,நிறையன்பு,
நி,நிறையமுதம்,
நி,நிறையமுது,
நி,நிறையம்மை,
நி,நிறையரசி,
நி,நிறையரசு,
நி,நிறையரண்,
நி,நிறையருவி,
நி,நிறையறிவு,
நி,நிறையழகி,
நி,நிறையழகு,
நி,நிறையாற்றல்,
நி,நிறையாழி,
நி,நிறையிசை,
நி,நிறையினி,
நி,நிறையினியள்,
நி,நிறையின்பம்,
நி,நிறையுடையாள்,
நி,நிறையெழிலி,
நி,நிறையெழில்,
நி,நிறையேந்தி,
நி,நிறையொளி,
நி,நிறையோதி,
நி,நிறையோவியம்,
நி,நிறைவடிவு,
நி,நிறைவயல்,
நி,நிறைவல்லாள்,
நி,நிறைவல்லி,
நி,நிறைவளை,
நி,நிறைவாகை,
நி,நிறைவாணி,
நி,நிறைவானம்,
நி,நிறைவாரி,
நி,நிறைவாழி,
நி,நிறைவிறலி,
நி,நிறைவிளக்கு,
நி,நிறைவெற்றி,
நி,நிறைவெள்ளி,
நி,நிறைவேல்,
நி,நிலக்கனி,
நி,நிலச்செல்வி,
நி,நிலத்தாமரை,
