"தொடங்கும் எழுத்து",பெயர்,பொருள்
நீ,நீர்(மை,"          சிறப்பு, அழகு"
நீ,நீர்மை,
நீ,நீர்மைக்கடல்,
நீ,நீர்மைக்கனி,
நீ,நீர்மைக்கலை,
நீ,நீர்மைக்கழல்,
நீ,நீர்மைக்கிளி,
நீ,நீர்மைக்குமரி,
நீ,நீர்மைக்குயில்,
நீ,நீர்மைக்குரல்,
நீ,நீர்மைக்குறிஞ்சி,
நீ,நீர்மைக்குழலி,
நீ,நீர்மைக்குழல்,
நீ,நீர்மைக்கூடல்,
நீ,நீர்மைக்கூந்தல்,
நீ,நீர்மைச்செல்வம்,
நீ,நீர்மைச்செல்வி,
நீ,நீர்மைச்சேய்,
நீ,நீர்மைத்திரு,
நீ,நீர்மைத்திறல்,
நீ,நீர்மைநெஞ்சள்,
நீ,நீர்மைநெறி,
நீ,நீர்மைமணி,
நீ,நீர்மைமுத்து,
நீ,நீர்மைமொழி,
நீ,நீர்மையணி,
நீ,நீர்மையமுது,
நீ,நீர்மையரசி,
நீ,நீர்மையரசு,
நீ,நீர்மையறிவு,
நீ,நீர்மையழகு,
நீ,நீர்மையாள்,
நீ,நீர்மையிசை,
நீ,நீர்மையெழிலி,
நீ,நீர்மையெழில்,
நீ,நீர்மையொளி,
நீ,நீர்மையோதி,
நீ,நீர்மைவானம்,
நீ,நீலக்கடல்,
நீ,நீலக்கண்ணி,
நீ,நீலக்கிளி,
நீ,நீலக்குயில்,
நீ,நீலக்கொடி,
நீ,நீலச்சுடர்,
நீ,நீலத்தோகை,
நீ,நீலநெய்தல்,
நீ,நீலமணி,
நீ,நீலமயில்,
நீ,நீலமருதம்,
நீ,நீலமலர்,
நீ,நீலமலை,
நீ,நீலமலையள்,
நீ,நீலமாமணி,
நீ,நீலமாமயில்,
நீ,நீலமாமலர்,
நீ,நீலமுகிலி,
நீ,நீலமுகில்,
நீ,நீலம்,
நீ,நீலவடிவு,
நீ,நீலவணி,
நீ,நீலவரி,
நீ,நீலவல்லி,
நீ,நீலவழகி,
நீ,நீலவாணி,
நீ,நீலவானம்,
நீ,நீலவாரி,
நீ,நீலவாழி,
நீ,நீலவிழி,
நீ,நீலவெழிலி,
நீ,நீலவொளி,
நீ,நீளக்கடல்,
நீ,நீளக்கணை,
நீ,நீளக்கண்ணி,
நீ,நீளக்கதிர்,
நீ,நீளக்கயம்,
நீ,நீளக்கயல்,
நீ,நீளக்கலம்,
நீ,நீளக்கழனி,
நீ,நீளக்கழல்,
நீ,நீளக்கழி,
நீ,நீளக்கழை,
நீ,நீளக்குழலி,
நீ,நீளக்குழல்,
நீ,நீளக்கூந்தல்,
நீ,நீளக்கொடி,
நீ,நீளக்கொழுந்து,
நீ,நீளக்கோதை,
நீ,நீளச்சாரல்,
நீ,நீளச்சுடர்,
நீ,நீளச்சுனை,
நீ,நீளச்செல்வி,
நீ,நீளச்சேய்,
நீ,நீளச்சோணை,
நீ,நீளச்சோலை,
நீ,நீளத்தொடை,
நீ,நீளநிலவு,
நீ,நீளநிலா,
நீ,நீளப்பகல்,
நீ,நீளப்பாலை,
நீ,நீளப்புகழ்,
நீ,நீளப்புனல்,
நீ,நீளப்பொருநை,
நீ,நீளப்பொறை,
நீ,நீளப்பொறையள்,
நீ,நீளப்பொழில்,
நீ,நீளமானம்,
நீ,நீளமாலை,
நீ,நீளம்,நெடுமை
நீ,நீளவயல்,
நீ,நீளவரண்,
நீ,நீளவல்லி,
நீ,நீளவாகை,
நீ,நீளவாணி,
நீ,நீளவாரி,
நீ,நீளவாழி,
நீ,நீளவிழி,
நீ,நீளவெழில்,
நீ,நீளவேய்,
நீ,நீளவேரல்,
நீ,நீளவேல்,
நீ,நீளவொளி,
