"தொடங்கும் எழுத்து",பெயர்,பொருள்
நெ,நெகிழன்பு,
நெ,நெகிழிடை,
நெ,நெகிழொளி,
நெ,நெகிழ்,இளகுதல்
நெ,நெகிழ்கனி,
நெ,நெகிழ்கிளி,
நெ,நெகிழ்குயில்,
நெ,நெகிழ்குழலி,
நெ,நெகிழ்குழல்,
நெ,நெகிழ்கூந்தல்,
நெ,நெகிழ்கொடி,
நெ,நெகிழ்கொம்பு,
நெ,நெகிழ்கொழுந்து,
நெ,நெகிழ்கோதை,
நெ,நெகிழ்சொல்,
நெ,நெகிழ்தொடை,
நெ,நெகிழ்நகை,
நெ,நெகிழ்நிலா,
நெ,நெகிழ்ப10வை,
நெ,நெகிழ்பழம்,
நெ,நெகிழ்பிணை,
நெ,நெகிழ்மதி,
நெ,நெகிழ்மயில்,
நெ,நெகிழ்மலர்,
நெ,நெகிழ்மாலை,
நெ,நெகிழ்முகை,
நெ,நெகிழ்முறுவல்,
நெ,நெகிழ்முல்லை,
நெ,நெகிழ்மொட்டு,
நெ,நெகிழ்மொழி,
நெ,நெகிழ்வல்லி,
நெ,நெஞ்சக்கடல்,
நெ,நெஞ்சக்கனல்,
நெ,நெஞ்சக்கனி,
நெ,நெஞ்சக்கிளி,
நெ,நெஞ்சக்குயில்,
நெ,நெஞ்சச்சுடர்,
நெ,நெஞ்சணி,
நெ,நெஞ்சத்தமிழ்,
நெ,நெஞ்சத்திறல்,
நெ,நெஞ்சத்துணை,
நெ,நெஞ்சத்தேன்,
நெ,நெஞ்சத்தேவி,
நெ,நெஞ்சநிலவு,
நெ,நெஞ்சநிலா,
நெ,நெஞ்சநெறி,
நெ,நெஞ்சப்பரிதி,
நெ,நெஞ்சப்பழம்,
நெ,நெஞ்சப்பொறை,
நெ,நெஞ்சப்பொறையள்,
நெ,நெஞ்சமகள்,
நெ,நெஞ்சமணி,
நெ,நெஞ்சமதி,
நெ,நெஞ்சமயில்,
நெ,நெஞ்சமலர்,
நெ,நெஞ்சமலை,
நெ,நெஞ்சமுது,
நெ,நெஞ்சமுத்து,
நெ,நெஞ்சமொழி,
நெ,நெஞ்சம்,உள்ளம்
நெ,நெஞ்சயாழ,
நெ,நெஞ்சரசி,
நெ,நெஞ்சரண்,
நெ,நெஞ்சருவி,
நெ,நெஞ்சலை,
நெ,நெஞ்சள்,
நெ,நெஞ்சழகி,
நெ,நெஞ்சவல்லி,
நெ,நெஞ்சவாணி,
நெ,நெஞ்சவாரி,
நெ,நெஞ்சவிறலி,
நெ,நெஞ்சவிறல்,
நெ,நெஞ்சவிளக்கு,
நெ,நெஞ்சவிழி,
நெ,நெஞ்சவேல்,
நெ,நெஞ்சிசை,
நெ,நெஞ்சின்பம்,
நெ,நெஞ்சுடையாள்,
நெ,நெஞ்சுநல்லாள்,
நெ,நெஞ்சுநேரியள்,
நெ,நெஞ்சுமொழி,
நெ,நெஞ்சுரம்,
நெ,நெஞ்சுறுதி,
நெ,நெஞ்செழிலி,
நெ,நெஞ்சொளி,
நெ,நெஞ்சோவியம்,
நெ,நெடுங்கடல்,
நெ,நெடுங்கண்ணி,
நெ,நெடுங்கதிர்,
நெ,நெடுங்கனல்,
நெ,நெடுங்கனி,
நெ,நெடுங்கயம்,
நெ,நெடுங்கயல்,
நெ,நெடுங்கரை,
நெ,நெடுங்கலம்,
நெ,நெடுங்கலை,
நெ,நெடுங்கழனி,
நெ,நெடுங்கழல்,
நெ,நெடுங்கழி,
நெ,நெடுங்கழை,
நெ,நெடுங்கா,
நெ,நெடுங்காஞ்சி,
நெ,நெடுங்காடு,
நெ,நெடுங்காந்தள்,
நெ,நெடுங்கானகம்,
நெ,நெடுங்கானம்,
நெ,நெடுங்கானல்,
நெ,நெடுங்கான்,
நெ,நெடுங்கிளி,
நெ,நெடுங்கிள்ளை,
நெ,நெடுங்குயில்,
நெ,நெடுங்குரல்,
நெ,நெடுங்குறிஞ்சி,
நெ,நெடுங்குழலி,
நெ,நெடுங்குழல்,
நெ,நெடுங்கூடல்,
நெ,நெடுங்கூந்தல்,
நெ,நெடுங்கொடி,
நெ,நெடுங்கொடை,
நெ,நெடுங்கொன்றை,
நெ,நெடுங்கோதை,
நெ,நெடுஞ்சாரல்,
நெ,நெடுஞ்சிலம்பு,
நெ,நெடுஞ்சிவப்பி,
நெ,நெடுஞ்சுடர்,
நெ,நெடுஞ்சுனை,
நெ,நெடுஞ்சுரம்,
நெ,நெடுஞ்செருந்தி,
நெ,நெடுஞ்செல்வம்,
நெ,நெடுஞ்செல்வி,
நெ,நெடுஞ்சேந்தி,
