"தொடங்கும் எழுத்து",பெயர்,பொருள்
நே,நேயக்கடல்,
நே,நேயக்கண்ணி,
நே,நேயக்கதிர்,
நே,நேயக்கயம்,
நே,நேயக்கலம்,
நே,நேயக்கலை,
நே,நேயக்கழல்,
நே,நேயக்கிளி,
நே,நேயக்குயில்,
நே,நேயக்குரல்,
நே,நேயக்கூடல்,
நே,நேயக்கொடை,
நே,நேயச்சுடர்,
நே,நேயச்சுனை,
நே,நேயச்சுரபி,
நே,நேயச்செல்வி,
நே,நேயச்சேய்,
நே,நேயச்சொல்,
நே,நேயச்சோலை,
நே,நேயத்தங்கை,
நே,நேயத்தமிழ்,
நே,நேயத்தாய்,
நே,நேயத்திரு,
நே,நேயத்துணை,
நே,நேயத்தென்றல்,
நே,நேயத்தேவி,
நே,நேயநகை,
நே,நேயநங்கை,
நே,நேயநல்லாள்,
நே,நேயநிலவு,
நே,நேயநிலா,
நே,நேயநெஞ்சள்,
நே,நேயநெறி,
நே,நேயப்ப10வை,
நே,நேயப்பிறை,
நே,நேயப்புகழ்,
நே,நேயப்புணை,
நே,நேயப்புனல்,
நே,நேயப்பொன்னி,
நே,நேயப்பொறை,
நே,நேயப்பொழில்,
நே,நேயமகள்,
நே,நேயமங்கை,
நே,நேயமடந்தை,
நே,நேயமணி,
நே,நேயமதி,
நே,நேயமனை,
நே,நேயமயில்,
நே,நேயமறை,
நே,நேயமலர்,
நே,நேயமலை,
நே,நேயமழை,
நே,நேயமாரி,
நே,நேயமாலை,
நே,நேயமுகில்,
நே,நேயமுகை,
நே,நேயமுடி,
நே,நேயமுதல்வி,
நே,நேயமுத்து,
நே,நேயமுரசு,
நே,நேயமுறுவல்,
நே,நேயமுல்லை,
நே,நேயமேழி,
நே,நேயமொட்டு,
நே,நேயமொழி,
நே,நேயம்,
நே,நேயவடிவு,
நே,நேயவணி,
நே,நேயவன்னை,
நே,நேயவமுதம்,
நே,நேயவமுது,
நே,நேயவரசி,
நே,நேயவரண்,
நே,நேயவருவி,
நே,நேயவறிவு,
நே,நேயவலை,
நே,நேயவல்லி,
நே,நேயவழகி,
நே,நேயவாகை,
நே,நேயவாணி,
நே,நேயவாரி,
நே,நேயவாற்றல்,
நே,நேயவாழி,
நே,நேயவிசை,
நே,நேயவினியாள்,
நே,நேயவின்பம்,
நே,நேயவிறல்,
நே,நேயவிளக்கு,
நே,நேயவிழி,
நே,நேயவெட்சி,
நே,நேயவெண்ணி,
நே,நேயவெரி,
நே,நேயவெற்றி,
நே,நேயவெள்ளி,
நே,நேயவெழிலி,
நே,நேயவேல்,
நே,நேயவொளி,
நே,நேரணி,
நே,நேரன்பு,
நே,நேரமுதம்,
நே,நேரமுது,
நே,நேரம்மை,
நே,நேரரசி,
நே,நேரரண்,
நே,நேரறிவு,
நே,நேரழகி,
நே,நேராற்றல்,
நே,நேராள்,
நே,நேராழி,
நே,நேரிசை,
நே,நேரிடை,
நே,நேரினி,
நே,நேரினியள்,
நே,நேரின்பம்,
நே,நேரியள்,
நே,நேரிலாமணி,
நே,நேரிலாமதி,
நே,நேரிலாமயில்,
நே,நேரிலாமலர்,
நே,நேரிலாள்,
நே,நேரிலாவணி,
நே,நேரிலாவரசி,
நே,நேரிலாவல்லி,
நே,நேரிழை,
நே,நேரிழையாள்,
நே,நேரெழில்,
நே,நேரொளி,
நே,நேர்,செவ்வை
நே,நேர்நகை,
நே,நேர்நங்கை,
நே,நேர்நிலவு,
நே,நேர்நிலா,
நே,நேர்நெஞ்சள்,
நே,நேர்நெறி,
நே,நேர்மகள்,
நே,நேர்மங்கை,
நே,நேர்மடந்தை,
நே,நேர்மணி,
நே,நேர்மதி,
நே,நேர்மலர்,
நே,நேர்மலை,
நே,நேர்மானம்,
நே,நேர்மாலை,
நே,நேர்முடி,
நே,நேர்முத்து,
நே,நேர்முரசு,
நே,நேர்முறுவல்,
நே,நேர்மேழி,
நே,நேர்மையள்,
நே,நேர்மொழி,
நே,நேர்வடிவு,
நே,நேர்வல்லி,
நே,நேர்வளை,
நே,நேர்வாகை,
நே,நேர்வாணி,
நே,நேர்விழி,
நே,நேர்வெற்றி,
நே,நேர்வேங்கை,
நே,நேர்வேல்,
