"தொடங்கும் எழுத்து",பெயர்,பொருள்
ப,பகனகை,
ப,பகனங்கை,
ப,பகனன்னி,
ப,பகனல்லள்,
ப,பகனாச்சி,
ப,பகனுதல்,
ப,பகனெஞ்சள்,
ப,பகனேரியள்,
ப,பகன்மகள்,
ப,பகன்மங்கை,
ப,பகன்மடந்தை,
ப,பகன்மணி,
ப,பகன்மலர்,
ப,பகன்மீன்,
ப,பகன்முடி,
ப,பகன்முதலி,
ப,பகன்முதல்வி,
ப,பகன்முத்து,
ப,பகன்முரசு,
ப,பகன்முறுவல்,
ப,பகன்மேழி,
ப,பகன்றை,
ப,பகற்கண்ணு,
ப,பகற்கண்ண்p,
ப,பகற்கதிர்,
ப,பகற்கலம்,
ப,பகற்கழல்,
ப,பகற்கொழுந்து,
ப,பகற்சுடர்,
ப,பகற்செல்வம்,
ப,பகற்செல்வி,
ப,பகற்பரிதி,
ப,பகற்பொன்னி,
ப,பகலணி,
ப,பகலன்னை,
ப,பகலன்பு,
ப,பகலமுதம்,
ப,பகலமுது,
ப,பகலம்மா,
ப,பகலம்மாள்,
ப,பகலம்மை,
ப,பகலரசி,
ப,பகலரசு,
ப,பகலரி,
ப,பகலருவி,
ப,பகலறிவு,
ப,பகலழகி,
ப,பகலழகு,
ப,பகலாற்றல்,
ப,பகலாள்,
ப,பகலின்பம்,
ப,பகலுரு,
ப,பகலூராள்,
ப,பகலெயினி,
ப,பகலெழினி,
ப,பகலெழிலி,
ப,பகலெழில்,
ப,பகலேந்தி,
ப,பகலொளி,
ப,பகல்,
ப,பகல்வடிவு,
ப,பகல்வானம்,
ப,பகல்விறலி,
ப,பகல்விறல்,
ப,பகல்விழி,
ப,பகல்வீ,
ப,பகல்வேல்,
ப,பகழின்பம்,
ப,பசுங்கடல்,
ப,பசுங்கணை,
ப,பசுங்கண்ணி,
ப,பசுங்கண்ணு,
ப,பசுங்கதிர்,
ப,பசுங்கனி,
ப,பசுங்கயம்,
ப,பசுங்கயல்,
ப,பசுங்கரை,
ப,பசுங்கலம்,
ப,பசுங்கலை,
ப,பசுங்கழனி,
ப,பசுங்கழல்,
ப,பசுங்கழி,
ப,பசுங்கழை,
ப,பசுங்கா,
ப,பசுங்காஞ்சி,
ப,பசுங்காந்தள்,
ப,பசுங்கானல்,
ப,பசுங்கிணை,
ப,பசுங்கிளி,
ப,பசுங்கிள்ளை,
ப,பசுங்குஞ்சு,
ப,பசுங்குட்டி,
ப,பசுங்குமரி,
ப,பசுங்குயில்,
ப,பசுங்குரல்,
ப,பசுங்குறிஞ்சி,
ப,பசுங்குளத்தள்,
ப,பசுங்குழலி,
ப,பசுங்குழல்,
ப,பசுங்குழை,
ப,பசுங்கூடல்,
ப,பசுங்கூந்தல்,
ப,பசுங்கொடி,
ப,பசுங்கொன்றை,
ப,பசுங்கொம்பு,
ப,பசுங்கொழுந்து,
ப,பசுங்கோதை,
ப,பசுஞ்சாந்து,
ப,பசுஞ்சாரல்,
ப,பசுஞ்சிட்டு,
ப,பசுஞ்சிலம்பு,
ப,பசுஞ்சுடர்,
ப,பசுஞ்சுனை,
ப,பசுஞ்சுரபி,
ப,பசுஞ்செடி,
ப,பசுஞ்செருந்தி,
ப,பசுஞ்செல்வம்,
ப,பசுஞ்செல்வி,
ப,பசுஞ்சேய்,
ப,பசுஞ்சொல்,
ப,பசுஞ்சோணை,
ப,பசுஞ்சோலை,
ப,பசுநகை,
ப,பசுநிலவு,
ப,பசுநிலா,
ப,பசுநுதல்,
ப,பசுநெஞ்சள்,
ப,பசுநெய்தல்,
ப,பசுநெறி,
ப,பசுநொச்சி,
ப,பசுந்தகை,
ப,பசுந்தகையள்,
ப,பசுந்தங்கம்,
ப,பசுந்தங்கை,
ப,பசுந்தணிகை,
ப,பசுந்தமிழ்,
