"தொடங்கும் எழுத்து",பெயர்,பொருள்
பா,பா,பாட்டு
பா,பாக்கடல்,
பா,பாக்கணை,
பா,பாக்கனி,
பா,பாக்கலை,
பா,பாக்கிளி,
பா,பாக்கிள்ளை,
பா,பாக்குடிமகள்,
பா,பாக்குட்டி,
பா,பாக்குமரி,
பா,பாக்குயில்,
பா,பாக்குரல்,
பா,பாக்கூடல்,
பா,பாக்கோதை,
பா,பாசடை,
பா,பாசணி,
பா,பாசன்னை,
பா,பாசமுது,
பா,பாசம்மை,
பா,பாசரசி,
பா,பாசரசு,
பா,பாசரண்,
பா,பாசறை,
பா,பாசறைக்காடு,
பா,பாசறைக்கிளி,
பா,பாசறைக்குமரி,
பா,பாசறைக்குயில்,
பா,பாசறைக்கொடி,
பா,பாசறைச்சிட்டு,
பா,பாசறைச்செல்வி,
பா,பாசறைத்தங்கம்,
பா,பாசறைத்தலைவி,
பா,பாசறைத்தானை,
பா,பாசறைத்திரு,
பா,பாசறைத்திறல்,
பா,பாசறைத்தேன்,
பா,பாசறைத்தேவி,
பா,பாசறைத்தோகை,
பா,பாசறைநங்கை,
பா,பாசறைநிலவு,
பா,பாசறைநிலா,
பா,பாசறைப்படை,
பா,பாசறைப்பண்,
பா,பாசறைப்பாடி,
பா,பாசறைப்பாடினி,
பா,பாசறைப்பிடி,
பா,பாசறைப்பூவை,
பா,பாசறைப்போர்,
பா,பாசறைமகள்,
பா,பாசறைமங்கை,
பா,பாசறைமடந்தை,
பா,பாசறைமணி,
பா,பாசறைமதி,
பா,பாசறைமயில்,
பா,பாசறைமலர்,
பா,பாசறைமலை,
பா,பாசறைமுடி,
பா,பாசறைமுதலி,
பா,பாசறைமுதல்வி,
பா,பாசறைமுத்து,
பா,பாசறைமுரசு,
பா,பாசறையணி,
பா,பாசறையரசி,
பா,பாசறையரண்,
பா,பாசறையரி,
பா,பாசறையழகி,
பா,பாசறையழகு,
பா,பாசறையாற்றல்,
பா,பாசறையாழ்,
பா,பாசறையிசை,
பா,பாசறையினி,
பா,பாசறையிறைவி,
பா,பாசறையுடையாள்,
பா,பாசறையுரு,
பா,பாசறையெரி,
பா,பாசறையெழிலி,
பா,பாசறையெழில்,
பா,பாசறையொலி,
பா,பாசறையொளி,
பா,பாசறைவடிவு,
பா,பாசறைவல்லி,
பா,பாசறைவிறலி,
பா,பாசறைவிறல்,
பா,பாசறைவெற்றி,
பா,பாசறைவேங்கை,
பா,பாசழகி,
பா,பாசழகு,
பா,பாசி,
பா,பாசிடை,
பா,பாசிலை,
பா,பாசிழை,
பா,பாசிழையாள்,
பா,பாசு,பசுமை
பா,பாசெழிலி,
பா,பாசெழில்,
பா,பாசொளி,
பா,பாசோதி,
பா,பாசோவியம்,
பா,பாச்சிலம்பு,
பா,பாச்செல்வம்,
பா,பாச்செல்வி,
பா,பாச்சொல்,
பா,பாடனங்கை,
பா,பாடனல்லாள்,
பா,பாடனிலவு,
பா,பாடனிலா,
பா,பாடனெஞ்சள்,
பா,பாடனெறி,
பா,பாடன்மகள்,
பா,பாடன்மங்கை,
பா,பாடன்மடந்தை,
பா,பாடன்மணி,
பா,பாடன்மதி,
பா,பாடன்மயில்,
பா,பாடன்மலர்,
பா,பாடன்மலை,
பா,பாடன்மழை,
பா,பாடன்மாரி,
பா,பாடன்மாலை,
பா,பாடன்முதல்வி,
பா,பாடன்முத்து,
பா,பாடன்முரசு,
பா,பாடன்முல்லை,
பா,பாடன்மொழி,
பா,பாடன்மோனை,
பா,பாடற்கடல்,
பா,பாடற்கனி,
பா,பாடற்கலம்,
பா,பாடற்கலை,
பா,பாடற்கிளி,
பா,பாடற்குமரி,
பா,பாடற்குயில்,
பா,பாடற்குரல்,
பா,பாடற்கோதை,
பா,பாடற்செல்வி,
பா,பாடற்புகழ்,
பா,பாடற்புலமை,
பா,பாடற்பூவை,
பா,பாடலணி,
பா,பாடலமுதம்,
பா,பாடலமுது,
பா,பாடலம்மா,
பா,பாடலம்மை,
பா,பாடலரசி,
பா,பாடலரசு,
பா,பாடலரி,
பா,பாடலருவி,
பா,பாடலறிவு,
பா,பாடலழகி,
பா,பாடலழகு,
பா,பாடலாள்,
பா,பாடலாழி,
பா,பாடலிசை,
பா,பாடலினி,
பா,பாடலினியள்,
பா,பாடலின்பம்,
பா,பாடலிறைவி,
பா,பாடலுடையாள்,
பா,பாடலுரு,
பா,பாடலெழிலி,
பா,பாடலெழில்,
பா,பாடலொலி,
பா,பாடலொளி,
பா,பாடல்,
பா,பாடல்யாழ்,
பா,பாடல்வடிவு,
பா,பாடல்வல்லாள்,
பா,பாடல்வல்லி,
பா,பாடல்வாகை,
பா,பாடல்வாணி,
பா,பாடல்வாரி,
பா,பாடல்விறலி,
பா,பாடல்வெற்றி,
பா,பாடல்வேரி,
பா,பாடி," பாடுபவள், படைவீடு"
பா,பாடினி,
பா,பாடு,பாடுதல்
பா,பாடுங்கடல்,
பா,பாடுங்கனி,
பா,பாடுங்கலம்,
