"தொடங்கும் எழுத்து",பெயர்,பொருள்
பி,பிச்சி," ஒருமலர்"
பி,பிச்சிக்கோதை,
பி,பிச்சித்தொடை,
பி,பிச்சிப்பூ,
பி,பிச்சிமலர்,
பி,பிச்சிமாலை,
பி,பிடி," பெண்யானை"
பி,பிடிநேரியள்,
பி,பிடியரசி,
பி,பிடியழகி,
பி,பிடியிடை,
பி,பிடியெழிலி,
பி,பிடிவடிவு,
பி,பிணை," பெண்மான்"
பி,பிணைக்கண்ணி,
பி,பிணைச்செல்வி,
பி,பிணைநேரியள்,
பி,பிணைமான்,
பி,பிணையரசி,
பி,பிணையழகி,
பி,பிணையெழிலி,
பி,பிணைவடிவு,
பி,பிணைவிழி,
பி,பிராட்டி," பெருமாட்டி"
பி,பிறை," பிறைமதி"
பி,பிறைக்கணை,
பி,பிறைக்கண்ணி,
பி,பிறைக்கண்ணு,
பி,பிறைக்கதிர்,
பி,பிறைக்கலம்,
பி,பிறைக்கலை,
பி,பிறைக்குட்டி,
பி,பிறைக்குமரி,
பி,பிறைக்குழலி,
பி,பிறைக்குழை,
பி,பிறைக்கொடி,
பி,பிறைக்கொழுந்து,
பி,பிறைசூடி,
பி,பிறைச்சுடர்,
பி,பிறைச்செல்வி,
பி,பிறைச்சேய்,
பி,பிறைத்தங்கை,
பி,பிறைத்தழல்,
பி,பிறைத்திங்கள்,
பி,பிறைத்துண்டம்,
பி,பிறைநகை,
பி,பிறைநங்கை,
பி,பிறைநல்லாள்,
பி,பிறைநிலவு,
பி,பிறைநிலா,
பி,பிறைநுதல்,
பி,பிறைநேரியள்,
பி,பிறைப்பிள்ளை,
பி,பிறைமகள்,
பி,பிறைமங்கை,
பி,பிறைமடந்தை,
பி,பிறைமணி,
பி,பிறைமதி,
பி,பிறைமலர்,
பி,பிறைமுகிலி,
பி,பிறைமுடி,
பி,பிறைமுத்து,
பி,பிறைமுறுவல்,
பி,பிறையணி,
பி,பிறையரசி,
பி,பிறையழகி,
பி,பிறையழகு,
பி,பிறையாள்,
பி,பிறையினி,
பி,பிறையின்பம்,
பி,பிறையுரு,
பி,பிறையெழிலி,
பி,பிறையெழில்,
பி,பிறையேந்தி,
பி,பிறையொளி,
பி,பிறையோதி,
பி,பிறைவடிவு,
பி,பிறைவல்லி,
பி,பிறைவள்ளி,
பி,பிறைவாணி,
பி,பிறைவானம்,
பி,பிறைவிளக்கு,
பி,பிறைவிழி,
பி,பிள்ளை," பிள்ளை"
பி,பிள்ளைக்கனி,
பி,பிள்ளைக்கிளி,
பி,பிள்ளைக்குயில்,
பி,பிள்ளைச்செல்வம்,
பி,பிள்ளைச்செல்வி,
பி,பிள்ளைத்தமிழ்,
பி,பிள்ளைத்திரு,
பி,பிள்ளைநகை,
பி,பிள்ளைநிலவு,
பி,பிள்ளைநிலா,
பி,பிள்ளைப்பாட்டு,
பி,பிள்ளைப்பிறை,
பி,பிள்ளைமணி,
பி,பிள்ளைமதி,
பி,பிள்ளைமலர்,
பி,பிள்ளைமுத்து,
பி,பிள்ளைமொழி,
பி,பிள்ளையன்பு,
பி,பிள்ளையமுது,
பி,பிள்ளையழகி,
பி,பிள்ளையினி,
பி,பிள்ளையுரு,
பி,பிள்ளையெழிலி,
பி,பிள்ளையொளி,
பி,பிள்ளைவடிவு,
