"தொடங்கும் எழுத்து",பெயர்,பொருள்
பூ,பூங்கணை,
பூ,பூங்கண்ணி,
பூ,பூங்கதிர்,
பூ,பூங்கன்று,
பூ,பூங்கயம்,
பூ,பூங்கயல்,
பூ,பூங்கரை,
பூ,பூங்கலம்,
பூ,பூங்கலை,
பூ,பூங்கழனி,
பூ,பூங்கழல்,
பூ,பூங்கா,
பூ,பூங்காஞ்சி,
பூ,பூங்காடு,
பூ,பூங்காந்தள்,
பூ,பூங்கானல்,
பூ,பூங்கிளி,
பூ,பூங்கிள்ளை,
பூ,பூங்குன்றம்,
பூ,பூங்குன்று,
பூ,பூங்குமரி,
பூ,பூங்குயில்,
பூ,பூங்குரல்,
பூ,பூங்குருவி,
பூ,பூங்குறிஞ்சி,
பூ,பூங்குளத்தள்,
பூ,பூங்குழலி,
பூ,பூங்குழல்,
பூ,பூங்குழை,
பூ,பூங்குவை,
பூ,பூங்கூடல்,
பூ,பூங்கூந்தல்,
பூ,பூங்கொடி,
பூ,பூங்கொத்து,
பூ,பூங்கொன்றை,
பூ,பூங்கொம்பு,
பூ,பூங்கோதை,
பூ,பூஞ்சந்தனம்,
பூ,பூஞ்சாந்து,
பூ,பூஞ்சாரல்,
பூ,பூஞ்சிட்டு,
பூ,பூஞ்சிலம்பு,
பூ,பூஞ்சுடர்,
பூ,பூஞ்சுனை,
பூ,பூஞ்செடி,
பூ,பூஞ்செருந்தி,
பூ,பூஞ்செல்வி,
பூ,பூஞ்சோலை,
பூ,பூதநாச்சியார்,
பூ,பூநகை,
பூ,பூநங்கை,
பூ,பூநல்லள்,
பூ,பூநாச்சி,
பூ,பூநிலவு,
பூ,பூநிலா,
பூ,பூநுதல்,
பூ,பூநெஞ்சள்,
பூ,பூநெய்தல்,
பூ,பூந்தமிழ்,
பூ,பூந்தழை,
பூ,பூந்தாமரை,
பூ,பூந்திங்கள்,
பூ,பூந்திரு,
பூ,பூந்துறை,
பூ,பூந்துளசி,
பூ,பூந்தென்றல்,
பூ,பூந்தேன்,
பூ,பூந்தொடி,
பூ,பூந்தொடை,
பூ,பூந்தோகை,
பூ,பூமகள்,
பூ,பூமங்கை,
பூ,பூமடந்தை,
பூ,பூமணி,
பூ,பூமதி,
பூ,பூமனை,
பூ,பூமயில்,
பூ,பூமருதம்,
பூ,பூமரை,
பூ,பூமறை,
பூ,பூமலர்,
பூ,பூமலை,
பூ,பூமழை,
பூ,பூமான்,
பூ,பூமாரி,
பூ,பூமாலை,
பூ,பூமுகிலி,
பூ,பூமுகில்,
பூ,பூமுகை,
பூ,பூமுடி,
பூ,பூமுத்து,
பூ,பூமுறுவல்,
பூ,பூமுல்லை,
பூ,பூமொட்டு,
பூ,பூமொழி,
பூ,பூம்பகன்றை,
பூ,பூம்பகல்,
பூ,பூம்பனி,
பூ,பூம்பாவை,
பூ,பூம்புகழ்,
பூ,பூம்புணை,
பூ,பூம்புனல்,
பூ,பூம்புன்னை,
பூ,பூம்பெண்டு,
பூ,பூம்பொட்டு,
பூ,பூம்பொன்,
பூ,பூம்பொன்னி,
பூ,பூம்பொருநை,
பூ,பூம்பொறை,
பூ,பூம்பொழில்,
பூ,பூவ10ராள்,
பூ,பூவடிவு,
பூ,பூவணி,
பூ,பூவமுதம்,
பூ,பூவமுது,
பூ,பூவம்மை,
பூ,பூவயல்,
பூ,பூவரசி,
பூ,பூவரசு,
பூ,பூவரி,
பூ,பூவருவி,
பூ,பூவலரி,
பூ,பூவல்லி,
பூ,பூவளை,
பூ,பூவள்ளி,
பூ,பூவழகி,
பூ,பூவழகு,
பூ,பூவாகை,
பூ,பூவாடை,
பூ,பூவாணி,
பூ,பூவாம்பல்,
பூ,பூவாரி,
பூ,பூவாளி,
பூ,பூவாழி,
பூ,பூவாழை,
பூ,பூவிசை,
பூ,பூவிடை,
பூ,பூவினி,
பூ,பூவினியாள்,
பூ,பூவின்பம்,
பூ,பூவிறைவி,
பூ,பூவிளக்கு,
பூ,பூவிழி,
பூ,பூவிழை,
பூ,பூவிழையாள்,
பூ,பூவுரு,
பூ,பூவெட்சி,
பூ,பூவெள்ளி,
பூ,பூவெழினி,
பூ,பூவெழிலி,
பூ,பூவெழில்,
பூ,பூவேங்கை,
பூ,பூவேந்தி,
பூ,பூவேரி,
பூ,பூவை," நாகணவாய்"
பூ,பூவைக்கண்ணி,
பூ,பூவைச்செல்வி,
பூ,பூவைச்சொல்லி,
பூ,பூவைநங்கை,
பூ,பூவைப்பெண்டு,
பூ,பூவைமகள்,
பூ,பூவைமங்கை,
பூ,பூவைமடந்தை,
பூ,பூவைமணி,
பூ,பூவைமதி,
பூ,பூவைமலர்,
பூ,பூவைமுத்து,
பூ,பூவைமொழி,
பூ,பூவையரசி,
பூ,பூவையழகி,
பூ,பூவையழகு,
பூ,பூவையாள்,
பூ,பூவையெழிலி,
பூ,பூவையெழில்,
பூ,பூவைவடிவு,
பூ,பூவைவிழி,
பூ,பூவொளி,
