"தொடங்கும் எழுத்து",பெயர்,பொருள்
பெ,பெண்," பெண்"
பெ,பெண்டு," பெண்டு"
பெ,பெண்ணணங்கு,
பெ,பெண்ணரசி,
பெ,பெருங்கடல்,
பெ,பெருங்கணை,
பெ,பெருங்கண்ணி,
பெ,பெருங்கதிர்,
பெ,பெருங்கனல்,
பெ,பெருங்கனி,
பெ,பெருங்கயம்,
பெ,பெருங்கயல்,
பெ,பெருங்கரை,
பெ,பெருங்கலம்,
பெ,பெருங்கலை,
பெ,பெருங்கழனி,
பெ,பெருங்கழல்,
பெ,பெருங்கழை,
பெ,பெருங்கா,
பெ,பெருங்காடு,
பெ,பெருங்காந்தள்,
பெ,பெருங்கானல்,
பெ,பெருங்கிணை,
பெ,பெருங்கிளி,
பெ,பெருங்கிள்ளை,
பெ,பெருங்குடிமகள்,
பெ,பெருங்குன்றம்,
பெ,பெருங்குயில்,
பெ,பெருங்குறிஞ்சி,
பெ,பெருங்குளத்தள்,
பெ,பெருங்குழை,
பெ,பெருங்கூடல்,
பெ,பெருங்கொடி,
பெ,பெருங்கொடை,
பெ,பெருங்கொன்றை,
பெ,பெருங்கோதை,
பெ,பெருஞ்சந்தனம்,
பெ,பெருஞ்சாந்து,
பெ,பெருஞ்சாரல்,
பெ,பெருஞ்சிலம்பு,
பெ,பெருஞ்சுடர்,
பெ,பெருஞ்சுனை,
பெ,பெருஞ்சுரபி,
பெ,பெருஞ்செம்மை,
பெ,பெருஞ்செருந்தி,
பெ,பெருஞ்செல்வம்,
பெ,பெருஞ்செல்வி,
பெ,பெருஞ்சேய்,
பெ,பெருஞ்சொல்லி,
பெ,பெருஞ்சோணை,
பெ,பெருஞ்சோலை,
பெ,பெருநங்கை,
பெ,பெருநிலவு,
பெ,பெருநிலா,
பெ,பெருநெய்தல்,
பெ,பெருநெறி,
பெ,பெருந்தகை,
பெ,பெருந்தகையள்,
பெ,பெருந்தங்கம்,
பெ,பெருந்தங்கை,
பெ,பெருந்தணல்,
பெ,பெருந்தணிகை,
பெ,பெருந்தமிழ்,
பெ,பெருந்தலைவி,
பெ,பெருந்தழல்,
பெ,பெருந்தழை,
பெ,பெருந்தானை,
பெ,பெருந்தாமரை,
பெ,பெருந்தாய்,
பெ,பெருந்திங்கள்,
பெ,பெருந்திரு,
பெ,பெருந்திறல்,
பெ,பெருந்தீ,
பெ,பெருந்துடி,
பெ,பெருந்துணை,
பெ,பெருந்துறை,
பெ,பெருந்துளசி,
பெ,பெருந்தென்றல்,
பெ,பெருந்தேன்,
பெ,பெருந்தேவி,
பெ,பெருந்தொடி,
பெ,பெருந்தொடை,
பெ,பெருந்தோகை,
பெ,பெருந்தோழி,
பெ,பெருமகள்,
பெ,பெருமங்கை,
பெ,பெருமடந்தை,
பெ,பெருமணி,
பெ,பெருமதி,
பெ,பெருமனை,
பெ,பெருமயில்,
பெ,பெருமருதம்,
பெ,பெருமறை,
பெ,பெருமலர்,
பெ,பெருமலை,
பெ,பெருமலையள்,
பெ,பெருமழை,
பெ,பெருமானம்,
பெ,பெருமானி,
பெ,பெருமாரி,
பெ,பெருமாலை,
பெ,பெருமின்னல்,
பெ,பெருமீன்,
பெ,பெருமுகிலி,
பெ,பெருமுகில்,
பெ,பெருமுகை,
பெ,பெருமுடி,
பெ,பெருமுதலி,
பெ,பெருமுதல்வி,
பெ,பெருமுத்து,
பெ,பெருமுரசு,
பெ,பெருமுறுவல்,
பெ,பெருமுல்லை,
பெ,பெருமேழி,
பெ,பெருமை,"பொலிவு, மாட்சிமை"
பெ,"பெருமை, கருமை",
பெ,பெருமொட்டு,
பெ,பெருமொழி,
பெ,பெருமௌவல்,
பெ,பெரும்பகல்,
பெ,பெரும்படை,
பெ,பெரும்பணை,
பெ,பெரும்பரிதி,
பெ,பெரும்பழம்,
பெ,பெரும்பாடி,
பெ,பெரும்பாடினி,
பெ,பெரும்பிடி,
பெ,பெரும்பிணை,
பெ,பெரும்பிராட்டி,
பெ,பெரும்பிறை,
பெ,பெரும்பிள்ளை,
பெ,பெரும்புகழ்,
பெ,பெரும்புணை,
பெ,பெரும்புதுமை,
பெ,பெரும்புனல்,
பெ,பெரும்புன்னை,
பெ,பெரும்புலமை,
பெ,பெரும்புலி,
பெ,பெரும்பூ,
பெ,பெரும்பூவை,
பெ,பெரும்பெண்,
பெ,பெரும்பெண்டு,
பெ,பெரும்பொட்டு,
பெ,பெரும்பொன்,
பெ,பெரும்பொன்னி,
பெ,பெரும்பொருநை,
பெ,பெரும்பொறை,
பெ,பெரும்பொறையள்,
பெ,பெரும்பொழில்,
பெ,பெரும்போர்,
பெ,பெருவடிவு,
பெ,பெருவயல்,
பெ,பெருவல்லி,
பெ,பெருவளை,
பெ,பெருவள்ளி,
பெ,பெருவாகை,
பெ,பெருவாடை,
பெ,பெருவாணி,
பெ,பெருவானம்,
பெ,பெருவாரி,
பெ,பெருவாளை,
பெ,பெருவாழை,
பெ,பெருவிறலி,
பெ,பெருவிறல்,
பெ,பெருவில்,
பெ,பெருவிளக்கு,
பெ,பெருவிழி,
பெ,பெருவெற்றி,
