"தொடங்கும் எழுத்து",பெயர்,பொருள்
பே,பேரணி,
பே,பேரன்னை,
பே,பேரன்பு,
பே,பேரமுது,
பே,பேரம்மை,
பே,பேரரசி,
பே,பேரரசு,
பே,பேரரண்,
பே,பேரரி,
பே,பேரருள்,
பே,பேரருவி,
பே,பேரறம்,
பே,பேரறிவு,
பே,பேரலரி,
பே,பேரலை,
பே,பேரல்லி,
பே,பேரழகி,
பே,பேரழகு,
பே,பேராம்பல்,
பே,பேராற்றல்,
பே,பேராள்,
பே,பேராழி,
பே,பேரிசை,
பே,பேரினி,
பே,பேரினியள்,
பே,பேரினியாள்,
பே,பேரின்பம்,
பே,பேரிறைவி,
பே,பேரிழை,
பே,பேருடையாள்,
பே,பேருரு,
பே,பேரெயினி,
பே,பேரெரி,
பே,பேரெழினி,
பே,பேரெழிலி,
பே,பேரெழில்,
பே,பேரேந்தி,
பே,பேரேரி,
பே,பேரொலி,
பே,பேரொளி,
பே,பேரோவியம்,
பே,பேர்,பெருமை
