"தொடங்கும் எழுத்து",பெயர்,பொருள்
பொ,பொட்டு,
பொ,பொதிகை,
பொ,பொதிகைக்கண்ணு,
பொ,பொதிகைக்கதிர்,
பொ,பொதிகைக்கனி,
பொ,பொதிகைக்கயம்,
பொ,பொதிகைக்கழனி,
பொ,பொதிகைக்கழை,
பொ,பொதிகைக்கா,
பொ,பொதிகைக்காடு,
பொ,பொதிகைக்கிளி,
பொ,பொதிகைக்கிள்ளை,
பொ,பொதிகைக்குன்றம்,
பொ,பொதிகைக்குமரி,
பொ,பொதிகைக்குயில்,
பொ,பொதிகைக்குறிஞ்சி,
பொ,பொதிகைக்கொடி,
பொ,பொதிகைக்கொழுந்து,
பொ,பொதிகைக்கோதை,
பொ,பொதிகைச்சந்தனம்,
பொ,பொதிகைச்சாந்து,
பொ,பொதிகைச்சாரல்,
பொ,பொதிகைச்சிலம்பு,
பொ,பொதிகைச்சுடர்,
பொ,பொதிகைச்சுனை,
பொ,பொதிகைச்சுரபி,
பொ,பொதிகைச்செல்வம்,
பொ,பொதிகைச்செல்வி,
பொ,பொதிகைச்சோலை,
பொ,பொதிகைத்தங்கம்,
பொ,பொதிகைத்தங்கை,
பொ,பொதிகைத்தமிழ்,
பொ,பொதிகைத்தலைவி,
பொ,பொதிகைத்தாய்,
பொ,பொதிகைத்திரு,
பொ,பொதிகைத்திறல்,
பொ,பொதிகைத்தென்றல்,
பொ,பொதிகைத்தேன்,
பொ,பொதிகைத்தேவி,
பொ,பொதிகைத்தோகை,
பொ,பொதிகைநங்கை,
பொ,பொதிகைநன்னி,
பொ,பொதிகைநல்லள்,
பொ,பொதிகைநிலவு,
பொ,பொதிகைநிலா,
பொ,பொதிகைப்பிடி,
பொ,பொதிகைப்பிணை,
பொ,பொதிகைப்பிராட்டி,
பொ,பொதிகைப்புகழ்,
பொ,பொதிகைப்புனல்,
பொ,பொதிகைப்பூ,
பொ,பொதிகைப்பூவை,
பொ,பொதிகைப்பெண்,
பொ,பொதிகைப்பொட்டு,
பொ,பொதிகைப்பொன்,
பொ,பொதிகைப்பொன்னி,
பொ,பொதிகைப்பொறை,
பொ,பொதிகைப்பொழில்,
பொ,பொதிகைமகள்,
பொ,பொதிகைமங்கை,
பொ,பொதிகைமடந்தை,
பொ,பொதிகைமணி,
பொ,பொதிகைமதி,
பொ,பொதிகைமயில்,
பொ,பொதிகைமருதம்,
பொ,பொதிகைமறை,
பொ,பொதிகைமலர்,
பொ,பொதிகைமலை,
பொ,பொதிகைமலையள்,
பொ,பொதிகைமான்,
பொ,பொதிகைமாலை,
பொ,பொதிகைமுகிலி,
பொ,பொதிகைமுகில்,
பொ,பொதிகைமுகை,
பொ,பொதிகைமுடி,
பொ,பொதிகைமுதலி,
பொ,பொதிகைமுதல்வி,
பொ,பொதிகைமுத்து,
பொ,பொதிகைமுரசு,
பொ,பொதிகைமுறுவல்,
பொ,பொதிகைமுல்லை,
பொ,பொதிகைமேழி,
பொ,பொதிகைமொட்டு,
பொ,பொதிகைமொழி,
பொ,பொதிகைய10ராள்,
பொ,பொதிகையணி,
பொ,பொதிகையமுதம்,
பொ,பொதிகையமுது,
பொ,பொதிகையம்மா,
பொ,பொதிகையம்மை,
பொ,பொதிகையரசி,
பொ,பொதிகையரசு,
பொ,பொதிகையரண்,
பொ,பொதிகையரி,
பொ,பொதிகையருவி,
பொ,பொதிகையலரி,
பொ,பொதிகையல்லி,
பொ,பொதிகையழகி,
பொ,பொதிகையழகு,
பொ,பொதிகையாற்றல்,
பொ,பொதிகையாள்,
பொ,பொதிகையிசை,
பொ,பொதிகையினி,
பொ,பொதிகையினியள்,
பொ,பொதிகையினியாள்,
பொ,பொதிகையின்பம்,
பொ,பொதிகையிறைவி,
பொ,பொதிகையுரு,
பொ,பொதிகையெயினி,
பொ,பொதிகையெழிலி,
பொ,பொதிகையெழில்,
பொ,பொதிகைவடிவு,
பொ,பொதிகைவயல்,
பொ,பொதிகைவல்லி,
பொ,பொதிகைவள்ளி,
பொ,பொதிகைவாணி,
பொ,பொதிகைவிறலி,
பொ,பொதிகைவிறல்,
பொ,பொதிகைவிளக்கு,
பொ,பொதிகைவேய்,
பொ,பொதிகைவேரல்,
பொ,பொதிகைவேரி,
பொ,பொதிகைவேல்,
பொ,பொதிதகையொளி,
பொ,பொன்,ஒருவகைக்கனியம்
பொ,பொன்நகை,
பொ,பொன்னகை,
பொ,பொன்னங்கை,
பொ,பொன்னணி,
பொ,பொன்னன்னி,
பொ,பொன்னமுதம்,
பொ,பொன்னமுது,
பொ,பொன்னம்மா,
பொ,பொன்னம்மாள்,
பொ,பொன்னம்மை,
பொ,பொன்னரசி,
பொ,பொன்னரசு,
பொ,பொன்னரண்,
பொ,பொன்னரி,
பொ,பொன்னருவி,
பொ,பொன்னறிவு,
பொ,பொன்னலரி,
பொ,பொன்னலை,
பொ,பொன்னல்லாள்,
பொ,பொன்னல்லி,
பொ,பொன்னழகி,
பொ,பொன்னழகு,
பொ,பொன்னாச்சி,
பொ,பொன்னாடை,
பொ,பொன்னாண்,
பொ,பொன்னாம்பல்,
பொ,பொன்னாற்றல்,
பொ,பொன்னாள்,
பொ,பொன்னாழி,
பொ,பொன்னாவரசு,
பொ,பொன்னி,
பொ,பொன்னிக்கயல்,
பொ,பொன்னிக்கரை,
பொ,பொன்னிக்கலம்,
பொ,பொன்னிக்கழனி,
பொ,பொன்னிசை,
பொ,பொன்னிச்செல்வி,
பொ,பொன்னிச்சேய்,
பொ,பொன்னிச்சோலை,
பொ,பொன்னிடை,
பொ,பொன்னித்தங்கம்,
பொ,பொன்னித்தலைவி,
பொ,பொன்னித்தாய்,
பொ,பொன்னித்திரு,
