"தொடங்கும் எழுத்து",பெயர்,பொருள்
போ,போரணி,
போ,போரன்னை,
போ,போரம்மா,
போ,போரம்மை,
போ,போரரசி,
போ,போரரண்,
போ,போரரி,
போ,போரறம்,
போ,போரறிவு,
போ,போரலை,
போ,போரழகி,
போ,போராற்றல்,
போ,போராளி,
போ,போராள்,
போ,போராழி,
போ,போரிசை,
போ,போரினி,
போ,போரினியள்,
போ,போரினியாள்,
போ,போரின்பம்,
போ,போரிறைவி,
போ,போருரு,
போ,போரெயினி,
போ,போரெரி,
போ,போரெழிலி,
போ,போரெழில்,
போ,போரொலி,
போ,போரொளி,
போ,போர்,
போ,போர்க்கடல்,
போ,போர்க்கணை,
போ,போர்க்கண்ணி,
போ,போர்க்கதிர்,
போ,போர்க்கனல்,
போ,போர்க்கனி,
போ,போர்க்கலம்,
போ,போர்க்கலை,
போ,போர்க்கிணை,
போ,போர்க்கிளி,
போ,போர்க்கிள்ளை,
போ,போர்க்குமரி,
போ,போர்க்குயில்,
போ,போர்க்குரல்,
போ,போர்க்கொடி,
போ,போர்ச்சிலம்பு,
போ,போர்த்தலைவி,
போ,போர்த்தானை,
போ,போர்த்திரு,
போ,போர்த்திறல்,
போ,போர்த்தீ,
போ,போர்த்துடி,
போ,போர்த்துணை,
போ,போர்த்துறை,
போ,போர்த்தேவி,
போ,போர்நங்கை,
போ,போர்நல்லள்,
போ,போர்நிலவு,
போ,போர்நிலா,
போ,போர்நெறி,
போ,போர்ப்படை,
போ,போர்ப்பண்,
போ,போர்ப்பரிதி,
போ,போர்ப்பாடி,
போ,போர்ப்பாடினி,
போ,போர்ப்பிடி,
போ,போர்ப்புகழ்,
போ,போர்ப்புணை,
போ,போர்ப்புலமை,
போ,போர்ப்புலி,
போ,போர்ப்பெண்டு,
போ,போர்ப்பொட்டு,
போ,போர்மகள்,
போ,போர்மங்கை,
போ,போர்மடந்தை,
போ,போர்மணி,
போ,போர்மதி,
போ,போர்மயில்,
போ,போர்மலர்,
போ,போர்மலை,
போ,போர்மழை,
போ,போர்மானம்,
போ,போர்மானி,
போ,போர்மான்,
போ,போர்மாரி,
போ,போர்மாலை,
போ,போர்மின்னல்,
போ,போர்முகிலி,
போ,போர்முகில்,
போ,போர்முடி,
போ,போர்முதலி,
போ,போர்முதல்வி,
போ,போர்முத்து,
போ,போர்முரசு,
போ,போர்வல்லாள்,
போ,போர்வல்லி,
போ,போர்வாகை,
போ,போர்வாடை,
போ,போர்வாணி,
போ,போர்வானம்,
போ,போர்வாரி,
போ,போர்வாள்,
போ,போர்விறலி,
போ,போர்விறல்,
போ,போர்வில்,
போ,போர்விளக்கு,
போ,போர்விழி,
போ,போர்வெட்சி,
போ,போர்வெண்ணி,
போ,போர்வெற்றி,
போ,போர்வெள்ளி,
போ,போர்வேங்கை,
போ,போர்வேல்,
போ,போற்றி,வாழ்த்து
போ,போற்றிவேல்,
