"தொடங்கும் எழுத்து",பெயர்,பொருள்
மி,மின்,ஒளி
மி,மின்கணை,
மி,மின்கண்ணி,
மி,மின்கதிர்,
மி,மின்கலம்,
மி,மின்கலை,
மி,மின்கிளி,
மி,மின்குயில்,
மி,மின்குழை,
மி,மின்கொடி,
மி,மின்கோதை,
மி,மின்சிலம்பு,
மி,மின்சுடர்,
மி,மின்செல்வி,
மி,மின்னகை,
மி,மின்னங்கை,
மி,மின்னணி,
மி,மின்னமுதம்,
மி,மின்னமுது,
மி,மின்னம்மா,
மி,மின்னரசி,
மி,மின்னற்கொடி,
மி,மின்னலை,
மி,மின்னல்,
மி,மின்னழகி,
மி,மின்னழகு,
மி,மின்னாற்றல்,
மி,மின்னாள்,
மி,மின்னிசை,
மி,மின்னிடை,
மி,மின்னினி,
மி,மின்னினியள்,
மி,மின்னின்பம்,
மி,மின்னிலவு,
மி,மின்னிலா,
மி,மின்னிழை,
மி,மின்னிழையாள்,
மி,மின்னுரு,
மி,மின்னெழிலி,
மி,மின்னெழில்,
மி,மின்னேரி,
மி,மின்னொளி,
மி,மின்பிறை,
மி,மின்பூவை,
மி,மின்பொட்டு,
மி,மின்பொன்னி,
மி,மின்மகள்,
மி,மின்மங்கை,
மி,மின்மடந்தை,
மி,மின்மணி,
மி,மின்மதி,
மி,மின்மயில்,
மி,மின்மலர்,
மி,மின்மலை,
மி,மின்மழை,
மி,மின்மான்,
மி,மின்மாலை,
மி,மின்மீன்,
மி,மின்முகிலி,
மி,மின்முகில்,
மி,மின்முகை,
மி,மின்முடி,
மி,மின்முத்து,
மி,மின்முரசு,
மி,மின்முறுவல்,
மி,மின்முல்லை,
மி,மின்மேழி,
மி,மின்மொட்டு,
மி,மின்மொழி,
மி,மின்வடிவு,
மி,மின்வல்லி,
மி,மின்வளை,
மி,மின்வாணி,
மி,மின்வானம்,
மி,மின்விறல்,
மி,மின்விளக்கு,
மி,மின்விழி,
மி,மின்வெள்ளி,
மி,மின்வேல்,
