"தொடங்கும் எழுத்து",பெயர்,பொருள்
மீ,மீனங்கை,
மீ,மீனணி,
மீ,மீனமுதம்,
மீ,மீனமுது,
மீ,மீனம்மை,
மீ,மீனரசி,
மீ,மீனரசு,
மீ,மீனலை,
மீ,மீனல்லள்,
மீ,மீனழகி,
மீ,மீனழகு,
மீ,மீனாட்சி,
மீ,மீனாள்,
மீ,மீனாழி,
மீ,மீனினி,
மீ,மீனெழிலி,
மீ,மீனெழில்,
மீ,மீனேரி,
மீ,மீனொளி,
மீ,மீன்,
மீ,மீன்கடல்,
மீ,மீன்கண்ணி,
மீ,மீன்கண்ணு,
மீ,மீன்கயம்,
மீ,மீன்கயல்,
மீ,மீன்குளத்தள்,
மீ,மீன்குவை,
மீ,மீன்கொடி,
மீ,மீன்சுடர்,
மீ,மீன்செல்வி,
மீ,மீன்படை,
மீ,மீன்புனல்,
மீ,மீன்மகள்,
மீ,மீன்மங்கை,
மீ,மீன்மடந்தை,
மீ,மீன்வடிவு,
மீ,மீன்வானம்,
மீ,மீன்வாரி,
மீ,மீன்விழி,
மீ,மீள்,திரும்புதல்
மீ,மீள்கணை,
மீ,மீள்கலம்,
