"தொடங்கும் எழுத்து",பெயர்,பொருள்
மு,முகினங்கை,
மு,முகினிலவு,
மு,முகினிலா,
மு,முகின்மகள்,
மு,முகின்மங்கை,
மு,முகின்மடந்தை,
மு,முகின்மதி,
மு,முகின்மயில்,
மு,முகின்மலை,
மு,முகின்மழை,
மு,முகின்மாரி,
மு,முகின்மின்னல்,
மு,முகின்முரசு,
மு,முகிற்கடல்,
மு,முகிற்கண்ணி,
மு,முகிற்குழலி,
மு,முகிற்குழல்,
மு,முகிற்கூந்தல்,
மு,முகிற்சிலம்பு,
மு,முகிற்செல்வி,
மு,முகிற்சோலை,
மு,முகிற்படை,
மு,முகிற்பொழில்,
மு,முகிலணி,
மு,முகிலமுதம்,
மு,முகிலமுது,
மு,முகிலம்மா,
மு,முகிலம்மை,
மு,முகிலரசி,
மு,முகிலரசு,
மு,முகிலரண்,
மு,முகிலலை,
மு,முகிலழகி,
மு,முகிலழகு,
மு,முகிலாள்,
மு,முகிலி,
மு,முகிலினி,
மு,முகிலெழிலி,
மு,முகிலெழில்,
மு,முகிலொலி,
மு,முகிலொளி,
மு,முகிலோதி,
மு,முகில்,
மு,முகில்வடிவு,
மு,முகில்வல்லி,
மு,முகில்வாணி,
மு,முகில்வானம்,
மு,முகில்விழி,
மு,முகிழலரி,
மு,முகிழல்லி,
மு,முகிழழகி,
மு,முகிழழகு,
மு,முகிழௌpலி,
மு,முகிழௌpல்,
மு,முகிழ்,அரும்பு
மு,முகிழ்நகை,
மு,முகிழ்நிலவு,
மு,முகிழ்நிலா,
மு,முகிழ்பூ,
மு,முகிழ்மதி,
மு,முகிழ்மலர்,
மு,முகிழ்முகை,
மு,முகிழ்முத்து,
மு,முகிழ்முறுவல்,
மு,முகிழ்முல்லை,
மு,முகிழ்மொட்டு,
மு,முகை,
மு,முக்கண்ணி,
மு,முக்கனி,
மு,முச்சுடர்,
மு,முடி,"கூந்தல், தலையணிவகை"
மு,முடிக்கிளி,
மு,முடிக்கிள்ளை,
மு,முடிக்குமரி,
மு,முடிக்குயில்,
மு,முடிச்சுடர்,
மு,முடிச்செல்வி,
மு,முடித்தங்கம்,
மு,முடித்தலைவி,
மு,முடித்தானை,
மு,முடித்தாய்,
மு,முடித்திரு,
மு,முடித்திறல்,
மு,முடித்தேவி,
மு,முடித்தோகை,
மு,முடிநங்கை,
மு,முடிநல்லள்,
