"தொடங்கும் எழுத்து",பெயர்,பொருள்
மூ,மூ,"          மூன்று"
மூ,மூதூரணி,
மூ,மூதூரமுது,
மூ,மூதூரம்மா,
மூ,மூதூரம்மை,
மூ,மூதூரரசி,
மூ,மூதூரரண்,
மூ,மூதூரழகி,
மூ,மூதூராள்,
மூ,மூதூரினி,
மூ,மூதூருடையாள்,
மூ,மூதூரெயினி,
மூ,மூதூரெழிலி,
மூ,மூதூரெழில்,
மூ,மூதூரேரி,
மூ,மூதூரொளி,
மூ,மூதூர்,ஓரிடம்
மூ,மூதூர்க்கனி,
மூ,மூதூர்க்கிளி,
மூ,மூதூர்க்குமரி,
மூ,மூதூர்க்குயில்,
மூ,மூதூர்க்குளத்தள்,
மூ,மூதூர்க்கொடி,
மூ,மூதூர்க்கோதை,
மூ,மூதூர்ச்செல்வி,
மூ,மூதூர்த்தேவி,
மூ,மூதூர்த்தோகை,
மூ,மூதூர்நங்கை,
மூ,மூதூர்ப்பிணை,
மூ,மூதூர்ப்பெண்டு,
மூ,மூதூர்ப்பொன்னி,
மூ,மூதூர்மகள்,
மூ,மூதூர்மங்கை,
மூ,மூதூர்மடந்தை,
மூ,மூதூர்மணி,
மூ,மூதூர்மதி,
மூ,மூதூர்மயில்,
மூ,மூதூர்மலர்,
மூ,மூதூர்மான்,
மூ,மூதூர்மாலை,
மூ,மூதூர்முகை,
மூ,மூதூர்முடி,
மூ,மூதூர்முதல்வி,
மூ,மூதூர்முத்து,
மூ,மூதூர்முல்லை,
மூ,மூதூர்மொட்டு,
மூ,மூதூர்வடிவு,
மூ,மூதூர்வல்லி,
மூ,மூதூர்வாணி,
மூ,மூவரண்,
