"தொடங்கும் எழுத்து",பெயர்,பொருள்
மொ,மொட்டு,"          முகை, அரும்பு"
மொ,மொழி,
மொ,மொழிக்கடல்,
மொ,மொழிக்கதிர்,
மொ,மொழிக்கனி,
மொ,மொழிக்கலம்,
மொ,மொழிக்கலை,
மொ,மொழிக்கிளி,
மொ,மொழிக்கிள்ளை,
மொ,மொழிக்குட்டி,
மொ,மொழிக்குயில்,
மொ,மொழிச்சுடர்,
மொ,மொழிச்செல்வி,
மொ,மொழித்தாய்,
மொ,மொழித்திரு,
மொ,மொழித்திறல்,
மொ,மொழித்துணை,
மொ,மொழித்துறை,
மொ,மொழித்தென்றல்,
மொ,மொழித்தேன்,
மொ,மொழித்தேவி,
மொ,மொழிநங்கை,
மொ,மொழிநல்லள்,
மொ,மொழிநிலவு,
மொ,மொழிநிலா,
மொ,மொழிப்புகழ்,
மொ,மொழிப்புலமை,
மொ,மொழிப்புலி,
மொ,மொழிப்பூவை,
மொ,மொழிமகள்,
மொ,மொழிமங்கை,
மொ,மொழிமடந்தை,
மொ,மொழிமணி,
மொ,மொழிமதி,
மொ,மொழிமயில்,
மொ,மொழிமருதம்,
மொ,மொழிமறை,
மொ,மொழிமலர்,
மொ,மொழிமலை,
மொ,மொழிமானம்,
மொ,மொழிமாரி,
மொ,மொழிமுகிலி,
மொ,மொழிமுகில்,
மொ,மொழிமுடி,
மொ,மொழிமுதலி,
மொ,மொழிமுதல்வி,
மொ,மொழிமுத்து,
மொ,மொழிமுரசு,
மொ,மொழிமுல்லை,
மொ,மொழிமேழி,
மொ,மொழியணி,
மொ,மொழியன்னை,
மொ,மொழியன்பு,
மொ,மொழியமுதம்,
மொ,மொழியமுது,
மொ,மொழியம்மா,
மொ,மொழியம்மை,
மொ,மொழியரசி,
மொ,மொழியரசு,
மொ,மொழியரண்,
மொ,மொழியரி,
மொ,மொழியருவி,
மொ,மொழியறிவு,
மொ,மொழியலை,
மொ,மொழியழகி,
மொ,மொழியழகு,
மொ,மொழியாற்றல்,
மொ,மொழியாள்,
மொ,மொழியாழி,
மொ,மொழியிசை,
மொ,மொழியினி,
மொ,மொழியினியள்,
மொ,மொழியினியாள்,
மொ,மொழியின்பம்,
மொ,மொழியிறைவி,
மொ,மொழியெழிலி,
மொ,மொழியெழில்,
மொ,மொழியேந்தி,
மொ,மொழியொளி,
மொ,மொழிவடிவு,
மொ,மொழிவல்லாள்,
மொ,மொழிவல்லி,
மொ,மொழிவாகை,
மொ,மொழிவாணி,
மொ,மொழிவானம்,
மொ,மொழிவிறலி,
மொ,மொழிவிறல்,
மொ,மொழிவிளக்கு,
மொ,மொழிவெற்றி,
மொ,மொழிவேங்கை,
மொ,மொழிவேரி,
மொ,மொழிவேல்,
