"தொடங்கும் எழுத்து",பெயர்,பொருள்
யா,யாணரணி,
யா,யாணரமுது,
யா,யாணரரசி,
யா,யாணரரண்,
யா,யாணரருவி,
யா,யாணரலை,
யா,யாணரழகி,
யா,யாணரழகு,
யா,யாணரின்பம்,
யா,யாணரெழில்,
யா,யாணரொலி,
யா,யாணரொளி,
யா,யாணர்,
யா,யாணர்க்கனி,
யா,யாணர்க்கலம்,
யா,யாணர்க்கலை,
யா,யாணர்ச்செல்வம்,
யா,யாணர்ச்செல்வி,
யா,யாணர்நங்கை,
யா,யாணர்நிலவு,
யா,யாணர்நிலா,
யா,யாணர்நெறி,
யா,யாணர்மகள்,
யா,யாணர்மங்கை,
யா,யாணர்மடந்தை,
யா,யாணர்மணம்,
யா,யாணர்மணி,
யா,யாணர்மதி,
யா,யாணர்மயில்,
யா,யாணர்மருதம்,
யா,யாணர்மறை,
யா,யாணர்மலர்,
யா,யாணர்மலை,
யா,யாணர்மழை,
யா,யாணர்மானம்,
யா,யாணர்மாலை,
யா,யாணர்முகிலி,
யா,யாணர்முகில்,
யா,யாணர்முகை,
யா,யாணர்முடி,
யா,யாணர்முதலி,
யா,யாணர்முதல்வி,
யா,யாணர்முத்து,
யா,யாணர்முரசு,
யா,யாணர்முறுவல்,
யா,யாணர்முல்லை,
யா,யாணர்மேழி,
யா,யாணர்மொட்டு,
யா,யாணர்மொழி,
யா,யாணர்யாழ்,
யா,யாணர்வடிவு,
யா,யாணர்வயல்,
யா,யாணர்வல்லி,
யா,யாணர்வாடை,
யா,யாழணி,
யா,யாழன்னை,
யா,யாழமுதம்,
யா,யாழமுது,
யா,யாழம்மா,
யா,யாழம்மை,
யா,யாழரசி,
யா,யாழரசு,
யா,யாழரண்,
யா,யாழரி,
யா,யாழருவி,
யா,யாழலை,
யா,யாழல்லி,
யா,யாழழகி,
யா,யாழழகு,
யா,யாழாள்,
யா,யாழிசை,
யா,யாழினி,
யா,யாழினியள்,
யா,யாழினியாள்,
யா,யாழின்பம்,
யா,யாழுடையாள்,
யா,யாழூராள்,
யா,யாழெயினி,
யா,யாழேந்தி,
யா,யாழேரி,
யா,யாழொலி,
யா,யாழொளி,
யா,யாழோவியம்,
யா,யாழௌpலி,
யா,யாழௌpல்,
யா,யாழ்,
யா,யாழ்க்கனி,
யா,யாழ்க்கிளி,
யா,யாழ்க்குடிமகள்,
யா,யாழ்க்குட்டி,
யா,யாழ்க்குமரி,
யா,யாழ்க்குயில்,
யா,யாழ்க்குரல்,
யா,யாழ்ச்செல்வி,
யா,யாழ்த்Nதவி,
யா,யாழ்த்தங்கை,
யா,யாழ்நங்கை,
யா,யாழ்நிலவு,
யா,யாழ்நிலா,
யா,யாழ்ப்பண்,
யா,யாழ்ப்பாடி,
யா,யாழ்ப்பாடினி,
யா,யாழ்ப்பிடி,
யா,யாழ்ப்பிணை,
யா,யாழ்ப்பிறை,
யா,யாழ்ப்பிள்ளை,
யா,யாழ்ப்புலமை,
யா,யாழ்ப்பூவை,
யா,யாழ்ப்பெண்டு,
யா,யாழ்ப்பொன்னி,
யா,யாழ்ப்பொழில்,
யா,யாழ்மகள்,
யா,யாழ்மங்கை,
யா,யாழ்மடந்தை,
யா,யாழ்மணி,
யா,யாழ்மதி,
யா,யாழ்மயில்,
யா,யாழ்மருதம்,
யா,யாழ்மறை,
யா,யாழ்மலர்,
யா,யாழ்மலை,
யா,யாழ்மழை,
யா,யாழ்மான்,
யா,யாழ்மாரி,
யா,யாழ்மாலை,
யா,யாழ்முகிலி,
யா,யாழ்முகில்,
யா,யாழ்முகை,
யா,யாழ்முடி,
யா,யாழ்முதலி,
யா,யாழ்முதல்வி,
யா,யாழ்முத்து,
யா,யாழ்முரசு,
யா,யாழ்முல்லை,
யா,யாழ்மேழி,
யா,யாழ்மொழி,
யா,யாழ்வடிவு,
யா,யாழ்வல்லாள்,
யா,யாழ்வல்லி,
யா,யாழ்வள்ளி,
யா,யாழ்வாகை,
யா,யாழ்வாணி,
யா,யாழ்வாழி,
யா,யாழ்வில்,
யா,யாழ்விளக்கு,
யா,யாழ்வெற்றி,
யா,யாழ்வேங்கை,
யா,யாழ்வேரி,
யா,யாழ்வேல்,
