"தொடங்கும் எழுத்து",பெயர்,பொருள்
வ,வஞ்சி,
வ,வஞ்சிக்கனி,
வ,வஞ்சிக்கிளி,
வ,வஞ்சிக்குயில்,
வ,வஞ்சிக்கொடி,
வ,வஞ்சிக்கொழுந்து,
வ,வஞ்சிநல்லாள்,
வ,வஞ்சிமணி,
வ,வஞ்சிமதி,
வ,வஞ்சிமயில்,
வ,வஞ்சிமலர்,
வ,வஞ்சிமான்,
வ,வஞ்சிமாலை,
வ,வஞ்சிமுகை,
வ,வஞ்சிமுத்து,
வ,வஞ்சிமுல்லை,
வ,வஞ்சியணி,
வ,வஞ்சியமுது,
வ,வஞ்சியம்மா,
வ,வஞ்சியரசி,
வ,வஞ்சியழகி,
வ,வஞ்சியழகு,
வ,வஞ்சியாள்,
வ,வஞ்சியிடை,
வ,வஞ்சியினியாள்,
வ,வஞ்சியூராள்,
வ,வஞ்சியெழிலி,
வ,வஞ்சியெழில்,
வ,வஞ்சியொளி,
வ,வஞ்சிவடிவு,
வ,வஞ்சிவிளக்கு,
வ,வஞ்சிவேய்,
வ,வஞ்சிவேரல்,
வ,வஞ்சிவேரி,
வ,வஞ்சிவேல்,
வ,வடகடல்,
வ,வடகரை,
வ,வடகாடு,
வ,வடகிளி,
வ,வடகுன்றம்,
வ,வடகுயில்,
வ,வடக்கு,ஒருதிசை
வ,வடசெல்வி,
வ,வடநங்கை,
வ,வடபாடி,
வ,வடமகள்,
வ,வடமங்கை,
வ,வடமணி,
வ,வடமயில்,
வ,வடமருதம்,
வ,வடமலர்,
வ,வடமலை,
வ,வடமலையள்,
வ,வடமான்,
வ,வடமுத்து,
வ,வடிவம்மா,
வ,வடிவம்மை,
வ,வடிவரசி,
வ,வடிவழகி,
வ,வடிவு,
வ,வடிவுக்கனி,
வ,வடிவுக்கரசி,
வ,வடிவுக்கலை,
வ,வடிவுக்கிளி,
வ,வடிவுக்குயில்,
வ,வடிவுக்கொடி,
வ,வடிவுச்செல்வி,
வ,வடிவுநல்லள்,
வ,வடிவுநிலவு,
வ,வடிவுநிலா,
வ,வடிவுப்பிறை,
வ,வடிவுமகள்,
வ,வடிவுமங்கை,
வ,வடிவுமணி,
வ,வடிவுமதி,
வ,வடிவுமயில்,
வ,வடிவுமலர்,
வ,வடிவுமான்,
வ,வடிவுமாலை,
வ,வடிவுமுகிலி,
வ,வடிவுமுகில்,
வ,வடிவுமுகை,
வ,வடிவுமுத்து,
வ,வடிவுமுறுவல்,
வ,வடிவுமுல்லை,
வ,வடிவுவல்லி,
வ,வடிவுவாணி,
வ,வடிவெழிலி,
வ,வடிவெழில்,
வ,வடிவொளி,
வ,வடிவோவியம்,
வ,வணண்த்தமிழ்,
வ,வண்கடல்,
வ,வண்கணை,
வ,வண்கண்ணி,
வ,வண்கதிர்,
வ,வண்கனி,
வ,வண்கயம்,
வ,வண்கயல்,
வ,வண்கலம்,
வ,வண்கலை,
வ,வண்கழனி,
வ,வண்கழல்,
வ,வண்கழை,
வ,வண்கா,
வ,வண்காஞ்சி,
வ,வண்காடு,
வ,வண்காந்தள்,
வ,வண்கிளி,
வ,வண்கிள்ளை,
வ,வண்குடிமகள்,
வ,வண்குன்றம்,
வ,வண்குமரி,
வ,வண்குயில்,
வ,வண்குரல்,
வ,வண்குறிஞ்சி,
வ,வண்குழலி,
வ,வண்குழல்,
வ,வண்குழை,
வ,வண்கூடல்,
வ,வண்கூந்தல்,
வ,வண்கொடி,
வ,வண்கொடை,
வ,வண்கொன்றை,
வ,வண்கொம்பு,
வ,வண்கொழுந்து,
வ,வண்கோதை,
வ,வண்சந்தனம்,
வ,வண்சாந்து,
வ,வண்சாரல்,
வ,வண்சிட்டு,
வ,வண்சிலம்பு,
வ,வண்சுடர்,
வ,வண்சுனை,
வ,வண்சுரபி,
வ,வண்செடி,
வ,வண்செருந்தி,
வ,வண்செல்வம்,
வ,வண்செல்வி,
வ,வண்சொல்,
வ,வண்சோலை,
வ,வண்டமிழ்,
வ,வண்டாமரை,
வ,வண்டார்குழலி,
வ,வண்டுறை,
வ,வண்டேன்,
வ,வண்ணகை,
வ,வண்ணக்கடல்,
வ,வண்ணக்கதிர்,
வ,வண்ணக்கனி,
வ,வண்ணக்கயம்,
வ,வண்ணக்கயல்,
வ,வண்ணக்கலம்,
வ,வண்ணக்கலை,
வ,வண்ணக்கழல்,
வ,வண்ணக்கழி,
வ,வண்ணக்கழை,
வ,வண்ணக்கிளி,
வ,வண்ணக்குயில்,
வ,வண்ணக்குறிஞ்சி,
வ,வண்ணக்குளத்தள்,
வ,வண்ணக்குழலி,
வ,வண்ணக்குழல்,
வ,வண்ணக்குழை,
வ,வண்ணக்கூந்தல்,
வ,வண்ணக்கொடி,
வ,வண்ணக்கொன்றை,
வ,வண்ணக்கோதை,
வ,வண்ணங்கை,
வ,வண்ணச்சாந்து,
வ,வண்ணச்சிட்டு,
வ,வண்ணச்சிலம்பு,
வ,வண்ணச்சுடர்,
வ,வண்ணச்சுனை,
வ,வண்ணச்செடி,
வ,வண்ணச்செல்வி,
வ,வண்ணச்சோலை,
வ,வண்ணத்தங்கம்,
வ,வண்ணத்தங்கை,
வ,வண்ணத்தாமரை,
வ,வண்ணத்தேவி,
வ,வண்ணத்தொடை,
வ,வண்ணத்தோகை,
வ,வண்ணநகை,
வ,வண்ணநங்கை,
வ,வண்ணநிலவு,
வ,வண்ணநிலா,
வ,வண்ணப்பிறை,
வ,வண்ணப்புனல்,
வ,வண்ணப்புன்னை,
வ,வண்ணப்பூ,
வ,வண்ணப்பூவை,
வ,வண்ணப்பெண்டு,
வ,வண்ணப்பொன்,
வ,வண்ணப்பொன்னி,
வ,வண்ணப்பொழில்,
வ,வண்ணமகள்,
வ,வண்ணமங்கை,
வ,வண்ணமடந்தை,
வ,வண்ணமணி,
வ,வண்ணமதி,
வ,வண்ணமயில்,
வ,வண்ணமருதம்,
வ,வண்ணமரை,
வ,வண்ணமலர்,
வ,வண்ணமலை,
வ,வண்ணமான்,
வ,வண்ணமாலை,
வ,வண்ணமீன்,
வ,வண்ணமுகிலி,
வ,வண்ணமுகில்,
வ,வண்ணமுகை,
வ,வண்ணமுடி,
வ,வண்ணமுத்து,
வ,வண்ணமுரசு,
வ,வண்ணமுல்லை,
வ,வண்ணமேழி,
வ,வண்ணமொட்டு,
வ,வண்ணமொழி,
வ,வண்ணம்,
வ,வண்ணவடிவு,
வ,வண்ணவணி,
வ,வண்ணவமுது,
வ,வண்ணவயல்,
வ,வண்ணவரசி,
வ,வண்ணவரி,
வ,வண்ணவருவி,
வ,வண்ணவல்லி,
வ,வண்ணவழகி,
வ,வண்ணவழகு,
வ,வண்ணவாணி,
வ,வண்ணவாரி,
வ,வண்ணவாழி,
வ,வண்ணவிடை,
வ,வண்ணவிழை,
வ,வண்ணவெழினி,
வ,வண்ணவெழிலி,
வ,வண்ணவெழில்,
வ,வண்ணவொளி,
வ,வண்ணவோதி,
வ,வண்ணவோவியம்,
வ,வண்ணிலவு,
வ,வண்ணிலா,
வ,வண்ணெறி,
வ,வண்ணை,ஓரிடம்
வ,வண்ணைக்கனி,
வ,வண்ணைக்கிளி,
வ,வண்ணைக்குமரி,
வ,வண்ணைக்குயில்,
வ,வண்ணைக்கொடி,
வ,வண்ணைக்கோதை,
வ,வண்ணைச்சுடர்,
வ,வண்ணைச்செல்வி,
வ,வண்ணைத்தங்கம்,
வ,வண்ணைத்தங்கை,
வ,வண்ணைத்தேவி,
வ,வண்ணைத்தோகை,
வ,வண்ணைநங்கை,
வ,வண்ணைநிலவு,
வ,வண்ணைநிலா,
வ,வண்ணைப்பிடி,
வ,வண்ணைப்பொன்னி,
வ,வண்ணைமணி,
வ,வண்ணைமதி,
வ,வண்ணைமயில்,
வ,வண்ணைமலர்,
வ,வண்ணைமான்,
வ,வண்ணைமாலை,
