"தொடங்கும் எழுத்து",பெயர்,பொருள்
வா,வாகரை,
வா,வாகரைக்கனி,
வா,வாகரைக்கிளி,
வா,வாகரைக்குமரி,
வா,வாகரைக்குயில்,
வா,வாகரைக்கொடி,
வா,வாகரைக்கோதை,
வா,வாகரைச்சுடர்,
வா,வாகரைச்செல்வி,
வா,வாகரைத்தங்கம்,
வா,வாகரைத்தங்கை,
வா,வாகரைத்தேவி,
வா,வாகரைத்தோகை,
வா,வாகரைநங்கை,
வா,வாகரைநிலவு,
வா,வாகரைநிலா,
வா,வாகரைப்பிடி,
வா,வாகரைப்பிணை,
வா,வாகரைப்பொன்னி,
வா,வாகரைமணி,
வா,வாகரைமதி,
வா,வாகரைமயில்,
வா,வாகரைமலர்,
வா,வாகரைமான்,
வா,வாகரைமாலை,
வா,வாகரைமுத்து,
வா,வாகரைய10ராள்,
வா,வாகரையமுது,
வா,வாகரையரசி,
வா,வாகரையழகி,
வா,வாகரையழகு,
வா,வாகரையாள்,
வா,வாகரையெழிலி,
வா,வாகரையெழில்,
வா,வாகரையொளி,
வா,வாகரைவடிவு,
வா,வாகரைவயல்,
வா,வாகரைவல்லி,
வா,வாகரைவாணி,
வா,வாகரைவிளக்கு,
வா,வாகரைவேல்,
வா,வாகை,
வா,வாகைக்கடல்,
வா,வாகைக்கணை,
வா,வாகைக்கதிர்,
வா,வாகைக்கனி,
வா,வாகைக்கலம்,
வா,வாகைக்கலை,
வா,வாகைக்கழல்,
வா,வாகைக்கிளி,
வா,வாகைக்குட்டி,
வா,வாகைக்குமரி,
வா,வாகைக்குயில்,
வா,வாகைக்குரல்,
வா,வாகைக்கொடி,
வா,வாகைக்கோதை,
வா,வாகைச்சிலம்பு,
வா,வாகைச்சுடர்,
வா,வாகைச்செல்வி,
வா,வாகைச்சொல்,
வா,வாகைத்தங்கம்,
வா,வாகைத்தங்கை,
வா,வாகைத்தமிழ்,
வா,வாகைத்தலைவி,
வா,வாகைத்தானை,
வா,வாகைத்தாய்,
வா,வாகைத்திங்கள்,
வா,வாகைத்திரு,
வா,வாகைத்திறல்,
வா,வாகைத்துணை,
வா,வாகைத்துறை,
வா,வாகைத்தேவி,
வா,வாகைத்தொடை,
வா,வாகைநிலவு,
வா,வாகைநிலா,
வா,வாகைப்படை,
வா,வாகைப்பண்,
வா,வாகைப்பரிதி,
வா,வாகைப்பாடி,
வா,வாகைப்பாடினி,
வா,வாகைப்பிடி,
வா,வாகைப்பிறை,
வா,வாகைப்புகழ்,
வா,வாகைப்புணை,
வா,வாகைப்புலி,
வா,வாகைப்பூவை,
வா,வாகைப்பெண்டு,
வா,வாகைப்பொட்டு,
வா,வாகைப்பொன்னி,
வா,வாகைப்பொறை,
வா,வாகைப்போர்,
வா,வாகைமகள்,
வா,வாகைமங்கை,
வா,வாகைமடந்தை,
வா,வாகைமணி,
வா,வாகைமதி,
வா,வாகைமயில்,
வா,வாகைமலர்,
வா,வாகைமலை,
வா,வாகைமானம்,
வா,வாகைமானி,
வா,வாகைமான்,
வா,வாகைமாலை,
வா,வாகைமுடி,
வா,வாகைமுதலி,
வா,வாகைமுதல்வி,
வா,வாகைமுத்து,
வா,வாகைமுரசு,
வா,வாகைமேழி,
வா,வாகைமொழி,
வா,வாகைய10ராள்,
வா,வாகையணி,
வா,வாகையமுது,
வா,வாகையம்மா,
வா,வாகையரசி,
வா,வாகையரசு,
வா,வாகையரண்,
வா,வாகையரி,
வா,வாகையள்,
வா,வாகையழகி,
வா,வாகையழகு,
வா,வாகையாள்,
வா,வாகையிசை,
வா,வாகையினி,
வா,வாகையினியள்,
வா,வாகையினியாள்,
வா,வாகையின்பம்,
வா,வாகையுடையாள்,
வா,வாகையுரு,
வா,வாகையெழிலி,
வா,வாகையெழில்,
வா,வாகையேந்தி,
வா,வாகையொலி,
வா,வாகையொளி,
வா,வாகைவடிவு,
வா,வாகைவல்லாள்,
வா,வாகைவல்லி,
வா,வாகைவாணி,
வா,வாகைவானம்,
வா,வாகைவாரி,
வா,வாகைவிறலி,
வா,வாகைவிறல்,
வா,வாகைவில்,
வா,வாகைவிளக்கு,
வா,வாகைவெற்றி,
வா,வாகைவேரி,
வா,வாகைவேல்,
வா,வாடை,
வா,வாட்கண்ணி,
வா,வாட்கலை,
வா,வாட்சுடர்,
வா,வாட்செல்வி,
வா,வாட்படை,
வா,வாட்போர்,
வா,வாணகை,
வா,வாணங்கை,
வா,வாணி,
வா,வாணிலவு,
வா,வாணிலா,
வா,வாணுதல்,
வா,வாணெஞ்சள்,
வா,வாண்மகள்,
வா,வாண்மங்கை,
வா,வாண்மடந்தை,
வா,வாண்மணி,
வா,வாண்மதி,
வா,வாண்மனை,
வா,வாண்மயில்,
வா,வாண்மலர்,
வா,வாண்முகிலி,
வா,வாண்முகில்,
வா,வாண்முகை,
வா,வாண்முடி,
வா,வாண்முதலி,
வா,வாண்முத்து,
வா,வாண்முரசு,
வா,வாண்முறுவல்,
வா,வாண்முல்லை,
வா,வாண்மேழி,
