"தொடங்கும் எழுத்து",பெயர்,பொருள்
வி,விடியனங்கை,
வி,விடியனெறி,
வி,விடியன்மங்கை,
வி,விடியன்மலர்,
வி,விடியன்மலை,
வி,விடியன்மீன்,
வி,விடியன்முகை,
வி,விடியன்முத்து,
வி,விடியன்முரசு,
வி,விடியற்கதிர்,
வி,விடியற்சுடர்,
வி,விடியற்செல்வி,
வி,விடியற்பகல்,
வி,விடியற்பண்,
வி,விடியற்பரிதி,
வி,விடியற்புணை,
வி,விடியலணி,
வி,விடியலமுது,
வி,விடியலம்மை,
வி,விடியலரசி,
வி,விடியலழகி,
வி,விடியலழகு,
வி,விடியலாள்,
வி,விடியலிசை,
வி,விடியலினியள்,
வி,விடியலின்பம்,
வி,விடியலுரு,
வி,விடியலெழிலி,
வி,விடியலெழில்,
வி,விடியலொளி,
வி,விடியல்,
வி,விடியல்வடிவு,
வி,விடியல்வானம்,
வி,விடியல்விளக்கு,
வி,விடியல்வெள்ளி,
வி,விடிவானம்,
வி,விடிவிளக்கு,
வி,விடிவு,
வி,விடிவெள்ளி,
வி,விடுதலை,
வி,விடுதலைக்கதிர்,
வி,விடுதலைக்கனல்,
வி,விடுதலைக்கனி,
வி,விடுதலைக்காற்று,
வி,விடுதலைக்கிளி,
வி,விடுதலைக்குட்டி,
வி,விடுதலைக்குமரி,
வி,விடுதலைக்குயில்,
வி,விடுதலைக்குரல்,
வி,விடுதலைக்கொடி,
வி,விடுதலைச்சுடர்,
வி,விடுதலைச்செல்வி,
வி,விடுதலைத்தானை,
வி,விடுதலைத்தாய்,
வி,விடுதலைத்தீ,
வி,விடுதலைத்தேன்,
வி,விடுதலைத்தேவி,
வி,விடுதலைநெஞ்சள்,
வி,விடுதலைநெருப்பு,
வி,விடுதலைநெறி,
வி,விடுதலைப்படை,
வி,விடுதலைப்பண்,
வி,விடுதலைப்பரிதி,
வி,விடுதலைப்பாசறை,
வி,விடுதலைப்பாடி,
வி,விடுதலைப்பிடி,
வி,விடுதலைப்புகழ்,
வி,விடுதலைப்புணை,
வி,விடுதலைப்புலி,
வி,விடுதலைப்பொறி,
வி,விடுதலைப்போர்,
வி,விடுதலைமகள்,
வி,விடுதலைமங்கை,
வி,விடுதலைமணி,
வி,விடுதலைமதி,
வி,விடுதலைமயில்,
வி,விடுதலைமறை,
வி,விடுதலைமலர்,
வி,விடுதலைமானம்,
வி,விடுதலைமானி,
வி,விடுதலைமாலை,
வி,விடுதலைமுத்து,
வி,விடுதலைமுரசு,
வி,விடுதலைமூச்சு,
வி,விடுதலையணி,
வி,விடுதலையன்பு,
வி,விடுதலையமுது,
வி,விடுதலையரசி,
வி,விடுதலையருள்,
வி,விடுதலையறம்,
வி,விடுதலையறிவு,
வி,விடுதலையழகி,
வி,விடுதலையாற்றல்,
வி,விடுதலையாள்,
வி,விடுதலையிசை,
வி,விடுதலையினியள்,
வி,விடுதலையின்பம்,
வி,விடுதலையுணர்வு,
வி,விடுதலையுயிர்,
வி,விடுதலையுரு,
வி,விடுதலையூராள்,
வி,விடுதலையெரி,
வி,விடுதலையெழிலி,
வி,விடுதலையொளி,
வி,விடுதலைவடிவு,
வி,விடுதலைவல்லாள்,
வி,விடுதலைவல்லி,
