"தொடங்கும் எழுத்து",பெயர்,பொருள்
வீ,வீரக்கடல்,
வீ,வீரக்கணை,
வீ,வீரக்கனல்,
வீ,வீரக்கனி,
வீ,வீரக்கலம்,
வீ,வீரக்கலை,
வீ,வீரக்கழல்,
வீ,வீரக்கிளி,
வீ,வீரக்குட்டி,
வீ,வீரக்குயில்,
வீ,வீரக்கொடி,
வீ,வீரச்சிலம்பு,
வீ,வீரச்சுடர்,
வீ,வீரச்செல்வி,
வீ,வீரத்தமிழ்,
வீ,வீரத்தானை,
வீ,வீரத்தாய்,
வீ,வீரத்தேவி,
வீ,வீரநங்கை,
வீ,வீரநல்லாள்,
வீ,வீரநாச்சியார்,
வீ,வீரநிலவு,
வீ,வீரநிலா,
வீ,வீரநெஞ்சள்,
வீ,வீரநெறி,
வீ,வீரப்படை,
வீ,வீரப்பண்,
வீ,வீரப்பாசறை,
வீ,வீரப்பாடி,
வீ,வீரப்பிடி,
வீ,வீரப்புகழ்,
வீ,வீரப்புணை,
வீ,வீரப்புலி,
வீ,வீரப்போர்,
வீ,வீரமகள்,
வீ,வீரமங்கை,
வீ,வீரமடந்தை,
வீ,வீரமணி,
வீ,வீரமதி,
வீ,வீரமயில்,
வீ,வீரமலர்,
வீ,வீரமலை,
வீ,வீரமானம்,
வீ,வீரமானி,
வீ,வீரமாலை,
வீ,வீரமுடி,
வீ,வீரமுதலி,
வீ,வீரமுதல்வி,
வீ,வீரமுத்து,
வீ,வீரமுரசு,
வீ,வீரமேழி,
வீ,வீரமொழி,
வீ,வீரம்,"          மறம், வலிமை"
வீ,வீரவடிவு,
வீ,வீரவணி,
வீ,வீரவமுது,
வீ,வீரவம்மா,
வீ,வீரவம்மை,
வீ,வீரவரசி,
வீ,வீரவரசு,
வீ,வீரவரண்,
வீ,வீரவரி,
வீ,வீரவழகி,
வீ,வீரவழகு,
வீ,வீரவாகை,
வீ,வீரவாணி,
வீ,வீரவாரி,
வீ,வீரவாள்,
வீ,வீரவாழி,
வீ,வீரவிசை,
வீ,வீரவில்,
வீ,வீரவெற்றி,
வீ,வீரவெழிலி,
வீ,வீரவெழில்,
வீ,வீரவேங்கை,
வீ,வீரவேல்,
வீ,வீரவொளி,
வீ,வீரை,
