"தொடங்கும் எழுத்து",பெயர்,பொருள்
வெ,வெங்கடல்,
வெ,வெங்கணை,
வெ,வெங்கதிர்,
வெ,வெங்கனல்,
வெ,வெங்கலம்,
வெ,வெஞ்சுடர்,
வெ,வெட்சி,
வெ,வெண்சுடர்,
வெ,வெண்சுனை,
வெ,வெண்டாமரை,
வெ,வெண்டிங்கள்,
வெ,வெண்ணி," ஓரூர்"
வெ,வெண்ணிலவு,
வெ,வெண்ணிலா,
வெ,வெண்பனி,
வெ,வெண்பிறை,
வெ,வெண்மணி,
வெ,வெண்மதி,
வெ,வெண்முகில்,
வெ,வெண்முகை,
வெ,வெண்முத்து,
வெ,வெண்முறுவல்,
வெ,வெண்முல்லை,
வெ,வெண்மை,
வெ,வெண்மொட்டு,
வெ,வெந்தணல்,
வெ,வெந்தழல்,
வெ,வெந்திறல்,
வெ,வெந்தீ,
வெ,வெம்பகல்,
வெ,வெம்படை,
வெ,வெம்பனி,
வெ,வெம்பரிதி,
வெ,வெம்பாலை,
வெ,வெம்பிடி,
வெ,வெம்பிறை,
வெ,வெம்புலி,
வெ,வெம்போர்,
வெ,வெம்மை,
வெ,வெற்பணி,
வெ,வெற்பன்னை,
வெ,வெற்பன்பு,
வெ,வெற்பம்மா,
வெ,வெற்பம்மை,
வெ,வெற்பரசி,
வெ,வெற்பரசு,
வெ,வெற்பரண்,
வெ,வெற்பரி,
வெ,வெற்பருவி,
வெ,வெற்பறிவு,
வெ,வெற்பலை,
வெ,வெற்பழகி,
வெ,வெற்பழகு,
வெ,வெற்பாற்றல்,
வெ,வெற்பாள்,
வெ,வெற்பு,
வெ,வெற்புக்கனி,
வெ,வெற்புக்கிளி,
வெ,வெற்புச்சாரல்,
வெ,வெற்புச்சுனை,
வெ,வெற்புச்செல்வி,
வெ,வெற்புத்திறல்,
வெ,வெற்புநங்கை,
வெ,வெற்புப்படை,
வெ,வெற்புப்பிடி,
வெ,வெற்புப்புகழ்,
வெ,வெற்புப்புலி,
வெ,வெற்புப்பொறை,
வெ,வெற்புப்பொறையள்,
வெ,வெற்புப்பொழில்,
வெ,வெற்புமகள்,
வெ,வெற்புமங்கை,
வெ,வெற்புமடந்தை,
வெ,வெற்புமணி,
வெ,வெற்புமயில்,
வெ,வெற்புமலர்,
வெ,வெற்புமானம்,
வெ,வெற்புமான்,
வெ,வெற்புமின்னல்,
வெ,வெற்புமுடி,
வெ,வெற்புமுத்து,
வெ,வெற்புவடிவு,
வெ,வெற்புவல்லி,
வெ,வெற்புவள்ளி,
வெ,வெற்புவாழை,
வெ,வெற்புவிறல்,
வெ,வெற்புவிளக்கு,
வெ,வெற்புவேங்கை,
வெ,வெற்புவேய்,
வெ,வெற்புவேரல்,
வெ,வெற்புவேரி,
வெ,வெற்றி,
வெ,வெற்றிக்கணை,
வெ,வெற்றிக்கனி,
வெ,வெற்றிக்கலம்,
வெ,வெற்றிக்கலை,
வெ,வெற்றிக்கழல்,
வெ,வெற்றிக்கிளி,
வெ,வெற்றிக்குட்டி,
வெ,வெற்றிக்குமரி,
வெ,வெற்றிக்குயில்,
வெ,வெற்றிக்குரல்,
வெ,வெற்றிக்கொடி,
வெ,வெற்றிச்சிலம்பு,
வெ,வெற்றிச்செல்வி,
வெ,வெற்றிச்சேய்,
வெ,வெற்றித்தங்கம்,
வெ,வெற்றித்தங்கை,
வெ,வெற்றித்தமிழ்,
வெ,வெற்றித்தலைவி,
வெ,வெற்றித்தானை,
வெ,வெற்றித்தாய்,
வெ,வெற்றித்திரு,
வெ,வெற்றித்திறல்,
வெ,வெற்றித்தேவி,
வெ,வெற்றிநங்கை,
வெ,வெற்றிநெறி,
வெ,வெற்றிப்படை,
வெ,வெற்றிப்பண்,
வெ,வெற்றிப்பிள்ளை,
வெ,வெற்றிப்புலி,
வெ,வெற்றிப்பூவை,
வெ,வெற்றிப்போர்,
வெ,வெற்றிமகள்,
வெ,வெற்றிமங்கை,
வெ,வெற்றிமடந்தை,
வெ,வெற்றிமணி,
வெ,வெற்றிமதி,
வெ,வெற்றிமயில்,
வெ,வெற்றிமலர்,
வெ,வெற்றிமலை,
வெ,வெற்றிமானம்,
வெ,வெற்றிமான்,
வெ,வெற்றிமாலை,
வெ,வெற்றிமுடி,
வெ,வெற்றிமுத்து,
வெ,வெற்றிமுரசு,
வெ,வெற்றிமொழி,
வெ,வெற்றியணி,
வெ,வெற்றியமுது,
வெ,வெற்றியம்மா,
வெ,வெற்றியரசி,
வெ,வெற்றியரசு,
வெ,வெற்றியரண்,
வெ,வெற்றியரி,
வெ,வெற்றியழகி,
வெ,வெற்றியழகு,
வெ,வெற்றியாள்,
வெ,வெற்றியிசை,
வெ,வெற்றியினியள்,
வெ,வெற்றியின்பம்,
வெ,வெற்றியுடையாள்,
வெ,வெற்றியூராள்,
வெ,வெற்றியெழிலி,
வெ,வெற்றியெழில்,
வெ,வெற்றியொளி,
வெ,வெற்றிவல்லி,
வெ,வெற்றிவாகை,
வெ,வெற்றிவாணி,
வெ,வெற்றிவிறல்,
வெ,வெற்றிவில்,
வெ,வெற்றிவிளக்கு,
வெ,வெற்றிவேல்,
வெ,வெள்ளணி,
வெ,வெள்ளருவி,
வெ,வெள்ளலை,
வெ,வெள்ளாழி,
வெ,வெள்ளி,
வெ,வெள்ளுரு,
வெ,வெள்ளெரி,
வெ,வெள்ளை,
வெ,வெள்ளொளி,
வெ,வெள்வளை,
வெ,வெள்வானம்,
வெ,வெள்வேல்,
