"தொடங்கும் எழுத்து",பெயர்,பொருள்
வே,வேங்கை,"          புலி"
வே,வேங்கைக்கொடி,
வே,வேங்கைச்சாரல்,
வே,வேங்கைச்செல்வி,
வே,வேங்கைத்திறல்,
வே,வேங்கைநல்லாள்,
வே,வேங்கைப்படை,
வே,வேங்கைப்புலி,
வே,வேங்கைப்பூ,
வே,வேங்கைமகள்,
வே,வேங்கைமணி,
வே,வேங்கைமலர்,
வே,வேங்கைமலை,
வே,வேங்கைமுத்து,
வே,வேங்கையணி,
வே,வேங்கையம்மா,
வே,வேங்கையரசி,
வே,வேங்கையழகி,
வே,வேங்கையாற்றல்,
வே,வேங்கையாள்,
வே,வேங்கையுரு,
வே,வேங்கையூராள்,
வே,வேங்கையெழிலி,
வே,வேங்கையொளி,
வே,வேங்கைவடிவு,
வே,வேங்கைவிறல்,
வே,வேங்கைவிழி,
வே,வேட்குறிஞ்சி,
வே,வேணகை,
வே,வேணங்கை,
வே,வேணி,
வே,வேணிலவு,
வே,வேணிலா,
வே,வேணெறி,
வே,வேண்மகள்,
வே,வேண்மங்கை,
வே,வேண்மடந்தை,
வே,வேண்மதி,
வே,வேண்மயில்,
வே,வேண்மலர்,
வே,வேண்மலை,
வே,வேண்மான்,
வே,வேண்முத்து,
வே,வேண்மேழி,
வே,வேண்மொழி,
வே,வேனங்கை,
வே,வேன்மகள்,
வே,வேன்மங்கை,
வே,வேன்மடந்தை,
வே,வேன்முத்து,
வே,வேன்மொழி,
வே,வேம்பு,
வே,வேயணி,
வே,வேயமுது,
வே,வேயம்மா,
வே,வேயம்மை,
வே,வேயரசி,
வே,வேயழகி,
வே,வேயாள்,
வே,வேயூராள்,
வே,வேயெழில்,
வே,வேய்,மூங்கில்
வே,வேய்ங்காடு,
வே,வேய்ங்குன்றம்,
வே,வேய்ங்குறிஞ்சி,
வே,வேய்ங்குழல்,
வே,வேய்ஞ்சிலம்பு,
வே,வேய்நங்கை,
வே,வேய்முத்து,
வே,வேய்வடிவு,
வே,வேரனங்கை,
வே,வேரன்மகள்,
வே,வேரன்மணி,
வே,வேரன்மனை,
வே,வேரன்மலை,
வே,வேரன்முத்து,
வே,வேரற்காடு,
வே,வேரற்கிளி,
வே,வேரற்குன்றம்,
வே,வேரற்சிலம்பு,
வே,வேரற்செல்வி,
வே,வேரற்பண்,
வே,வேரலரசி,
வே,வேரலரண்,
வே,வேரலரி,
வே,வேரலழகி,
வே,வேரலிசை,
வே,வேரலூராள்,
வே,வேரலெழிலி,
வே,வேரல்,
வே,வேரல்வடிவு,
வே,வேரல்வேரி,
வே,வேரி,
வே,வேற்கண்ணி,
வே,வேற்குமரி,
வே,வேற்சுடர்,
வே,வேற்செல்வி,
வே,வேற்படை,
வே,வேலம்மா,
வே,வேலம்மை,
வே,வேலரசி,
வே,வேலரண்,
வே,வேலரி,
வே,வேலழகி,
வே,வேலழகு,
வே,வேலாற்றல்,
வே,வேலாள்,
வே,வேலி,
வே,வேலினி,
வே,வேலூராள்,
வே,வேலெழிலி,
வே,வேலெழில்,
வே,வேலேந்தி,
வே,வேலொளி,
வே,வேல்,
வே,வேல்வடிவு,
வே,வேல்வல்லாள்,
வே,வேல்விழி,
வே,வேல்விழியாள்,
வே,வேல்வெற்றி,
வே,வேள்,விருப்பம்
வே,வேழக்காடு,
வே,வேழக்குட்டி,
வே,வேழக்குன்றம்,
வே,வேழக்குறிஞ்சி,
வே,வேழக்கொடி,
வே,வேழச்சாரல்,
வே,வேழச்சிலம்பு,
வே,வேழச்செல்வி,
வே,வேழத்திறல்,
வே,வேழப்படை,
வே,வேழப்போர்,
வே,வேழமகள்,
வே,வேழமங்கை,
வே,வேழமடந்தை,
வே,வேழமணி,
வே,வேழமலை,
வே,வேழமுத்து,
வே,வேழம்,
வே,வேழவடிவு,
வே,வேழவணி,
வே,வேழவரசி,
வே,வேழவரசு,
வே,வேழவழகி,
வே,வேழவாணி,
வே,வேழவாற்றல்,
வே,வேழவிறல்,
வே,வேழவெழிலி,
