"தொடங்கும் எழுத்து",பெயர்,பொருள்
வை,வைகறை," விடியல்"
வை,வைகறைக்கதிர்,
வை,வைகறைக்கிளி,
வை,வைகறைக்குயில்,
வை,வைகறைச்சுடர்,
வை,வைகறைச்செல்வி,
வை,வைகறைத்தாமரை,
வை,வைகறைத்தென்றல்,
வை,வைகறைத்தேவி,
வை,வைகறைநங்கை,
வை,வைகறைப்பகல்,
வை,வைகறைப்பண்,
வை,வைகறைப்பரிதி,
வை,வைகறைப்பூ,
வை,வைகறைமகள்,
வை,வைகறைமங்கை,
வை,வைகறைமடந்தை,
வை,வைகறைமணி,
வை,வைகறைமயில்,
வை,வைகறைமலர்,
வை,வைகறைமுத்து,
வை,வைகறைமுரசு,
வை,வைகறையரசி,
வை,வைகறையழகி,
வை,வைகறையழகு,
வை,வைகறையாள்,
வை,வைகறையிசை,
வை,வைகறையினி,
வை,வைகறையினியள்,
வை,வைகறையினியாள்,
வை,வைகறையின்பம்,
வை,வைகறையெழிலி,
வை,வைகறையெழில்,
வை,வைகறையொலி,
வை,வைகறையொளி,
வை,வைகறைவடிவு,
வை,வைகறைவல்லி,
வை,வைகறைவாடை,
வை,வைகறைவாணி,
வை,வைகறைவானம்,
வை,வைகறைவாரி,
வை,வைகறைவெள்ளி,
வை,வைகை,ஓராறு
வை,வைகைக்கனி,
வை,வைகைக்கயல்,
வை,வைகைக்கலம்,
வை,வைகைக்கழனி,
வை,வைகைக்கிளி,
வை,வைகைக்குமரி,
வை,வைகைக்குயில்,
வை,வைகைக்கூடல்,
வை,வைகைக்கொடி,
வை,வைகைக்கொழுந்து,
வை,வைகைக்கோதை,
வை,வைகைச்சந்தனம்,
வை,வைகைச்சாந்து,
வை,வைகைச்சுடர்,
வை,வைகைச்சுரபி,
வை,வைகைச்செல்வம்,
வை,வைகைச்செல்வி,
வை,வைகைச்சோலை,
வை,வைகைத்தங்கம்,
வை,வைகைத்தங்கை,
வை,வைகைத்தமிழ்,
வை,வைகைத்தலைவி,
வை,வைகைத்தாய்,
வை,வைகைத்திரு,
வை,வைகைத்துறை,
வை,வைகைத்தூயோள்,
வை,வைகைத்தென்றல்,
வை,வைகைத்தேன்,
வை,வைகைத்தேவி,
வை,வைகைத்தையல்,
வை,வைகைத்தோகை,
வை,வைகைநங்கை,
வை,வைகைநல்லாள்,
வை,வைகைநிலவு,
வை,வைகைநிலா,
வை,வைகைநெஞ்சள்,
வை,வைகைப்பிடி,
வை,வைகைப்பிணை,
வை,வைகைப்பிள்ளை,
வை,வைகைப்புகழ்,
வை,வைகைப்புணை,
வை,வைகைப்புனல்,
வை,வைகைப்பூவை,
வை,வைகைப்பெண்,
வை,வைகைப்பெண்டு,
வை,வைகைப்பொட்டு,
வை,வைகைப்பொன்னி,
வை,வைகைப்பொழில்,
வை,வைகைமகள்,
வை,வைகைமங்கை,
வை,வைகைமடந்தை,
வை,வைகைமணி,
வை,வைகைமதி,
வை,வைகைமயில்,
வை,வைகைமருதம்,
வை,வைகைமலர்,
வை,வைகைமான்,
வை,வைகைமாலை,
வை,வைகைமீன்,
வை,வைகைமுதலி,
வை,வைகைமுதல்வி,
வை,வைகைமுத்து,
வை,வைகைமுரசு,
வை,வைகைமுறுவல்,
வை,வைகைமுல்லை,
வை,வைகைமேழி,
வை,வைகைய10ராள்,
வை,வைகையணி,
வை,வைகையன்னை,
வை,வைகையமுது,
வை,வைகையம்மா,
வை,வைகையம்மை,
வை,வைகையரசி,
வை,வைகையரி,
வை,வைகையலை,
வை,வைகையழகி,
வை,வைகையழகு,
வை,வைகையாறு,
வை,வைகையாள்,
வை,வைகையிசை,
வை,வைகையினி,
வை,வைகையினியள்,
வை,வைகையினியாள்,
வை,வைகையின்பம்,
வை,வைகையிறைவி,
வை,வைகையுரு,
வை,வைகையெயினி,
வை,வைகையெழிலி,
வை,வைகையெழில்,
வை,வைகையேரி,
வை,வைகையொலி,
வை,வைகையொளி,
வை,வைகையோவியம்,
வை,வைகைவடிவு,
வை,வைகைவயல்,
வை,வைகைவல்லி,
வை,வைகைவள்ளி,
வை,வைகைவாணி,
வை,வைகைவாளை,
வை,வைகைவாழி,
வை,வைகைவிளக்கு,
வை,வைகைவேய்,
வை,வைகைவேரல்,
வை,வைகைவேரி,
வை,வைகைவேல்,
