letter,name,meaning
 , தாய்,
அ,அகக்கொழுந்து,
அ,அகத்தகை,
அ,அகனிலா,
அ,அகன்கனல்,
அ,அகன்கனி,
அ,அகன்கா,
அ,அகன்கிள்ளை,
அ,அகன்குன்றம்,
அ,அகன்குயில்,
அ,அகன்குரல்,
அ,அகன்குறிஞ்சி,
அ,அகன்கூடல்,
அ,அகன்கொடி,
அ,அகன்கொடை,
அ,அகன்கொன்றை,
அ,அகன்கொழுந்து,
அ,அகன்கோதை,
அ,அகன்சாந்து,
அ,அகன்சாரல்,
அ,அகன்சிட்டு,
அ,அகன்சிலம்பு,
அ,அகன்சுடர்,
அ,அகன்சுனை,
அ,அகன்சுரபி,
அ,அகன்செம்மை,
அ,அகன்செருந்தி,
அ,அகன்செல்வம்,
அ,அகன்செல்வி,
அ,அகன்சேய்,
அ,அகன்சொல்,
அ,அகன்சோலை,
அ,அகன்ப10,
அ,அகன்ப10வை,
அ,அகன்பகல்,
அ,அகன்படை,
அ,அகன்பணை,
அ,அகன்பரிதி,
அ,அகன்பழம்,
அ,அகன்பாடி,
அ,அகன்பாடினி,
அ,அகன்பிடி,
அ,அகன்பிணை,
அ,அகன்பிறை,
அ,அகன்புகழ்,
அ,அகன்புணை,
அ,அகன்புதுமை,
அ,அகன்புனல்,
அ,அகன்புன்னை,
அ,அகன்புலமை,
அ,அகன்புலி,
அ,அகன்பொட்டு,
அ,அகன்பொன்,
அ,அகன்பொன்னி,
அ,அகன்பொறை,
அ,அகன்பொறையள்,
அ,அகன்பொழில்,
அ,அகன்போர்,
அ,அகன்மகள்,
அ,அகன்மங்கை,
அ,அகன்மடந்தை,
அ,அகன்மணம்,
அ,அகன்மயில்,
அ,அகன்மருதம்,
அ,அகன்மறை,
அ,அகன்மலை,
அ,அகன்மலையள்,
அ,அகன்மழை,
அ,அகன்மாதுளை,
அ,அகன்மாதேவி,
அ,அகன்மானம்,
அ,அகன்மான்,
அ,அகன்மாலை,
அ,அகன்மீன்,
அ,அகன்முகிலி,
அ,அகன்முகில்,
அ,அகன்முகை,
அ,அகன்முடி,
அ,அகன்முதலி,
அ,அகன்முதல்வி,
அ,அகன்முத்து,
அ,அகன்முறுவல்,
அ,அகன்முல்லை,
அ,அகன்மேழி,
அ,அகன்மொட்டு,
அ,அகன்மௌவல்,
அ,அகன்யாழ்,
அ,அகன்வடிவு,
அ,அகன்வயல்,
அ,அகன்வல்லி,
அ,அகன்வளை,
அ,அகன்வள்ளி,
அ,அகன்வாகை,
அ,அகன்வாடை,
அ,அகன்வாணி,
அ,அகன்வானம்,
அ,அகன்வாரி,
அ,அகன்வாழி,
அ,அகன்வாழை,
அ,அகன்விறல்,
அ,அகன்விளக்கு,
அ,அகன்விழி,
அ,அகரக்கடல்,
அ,அகரக்கணை,
அ,அகரக்கண்ணி,
அ,அகரக்கண்ணு,
அ,அகரக்கதிர்,
அ,அகவானம்,
அ,அகவின்பம்,
அ,அகவிறலி,
அ,அகவிறல்,
அ,அகவிளக்கு,
அ,அகவிழி,
அ,அகவிழை,
அ,அகவெற்றி,
அ,அகவெழிலி,
அ,அகவெழில்,
அ,அகவேல்,
அ,அகவொளி,
அ,அங்கயற்கணம்மை,"அருள்மங்கை, அறம்வளர்த்தாள், சேல்விழிப்பெண், மீனாட்சி அம்மையின் திருநாமங்கள்"
அ,அங்கயற்கண்ணி,"அழகிய மீன் போன்ற கண்களையுடையவள், அழகிய மீன் போன்ற கண்களையுடையவள்"
அ,அஞ்சலை,
அ,அஞ்சி,சங்கத்தமிழ் பெயர்
அ,அஞ்சியத்தை மகள் நாகையார்,சங்கத்தமிழ் பெயர்
அ,அஞ்சில் அஞ்சியார்,சங்கத்தமிழ் பெயர்
அ,அடிசிற்கினியாள்‌,"சுவையான உணவைச் சமைக்கும் திறனுள்ள பெண், அருள்வளர்நங்கை அறிவுக்கண்"
அ,அணிகலம்‌,
அ,அணிசடை,
அ,அணிமாலை,
அ,அணியிழை,
அ,அணிலாடு முன்றிலார்,சங்கத்தமிழ் பெயர்
அ,அணிவளை,
அ,அதிகா,பழம்
அ,அதினி,பழம்
அ,அதிமா,பழம்
அ,அதிமியா,கொடி
அ,அதியா,பழம்
அ,அதிரதி,கொடி
அ,அதிரிகா,கொடி
அ,அதிரிதி,கொடி
அ,அதிரினி,கொடி
அ,அதிரிமா,கொடி
அ,அதிரியா,கொடி
அ,அத்ததி,பழம்
அ,அத்திகா,பழம்
அ,அத்திக்கிளி,
அ,அத்திக்குளத்தள்,
அ,அத்திச்சிட்டு,
அ,அத்திச்சுடர்,
அ,அத்திச்செல்வம்,
அ,அத்திச்செல்வி,
அ,அத்திதி,பழம்
அ,அத்தித்தேவி,
அ,அத்தித்தோகை,
அ,அத்தினி,பழம்
அ,அத்திமா,பழம்
அ,அத்தியா,பழம்
அ,அத்மியா,பழம்
அ,அந்தணி,
அ,அந்ததி,பொழுது
அ,அந்திகா,பொழுது
அ,அந்திதி,பொழுது
அ,அந்தினி,பொழுது
அ,அந்திமா,பொழுது
அ,அந்தியா,பொழுது
அ,அனாகா,பறவை
அ,அனாமிகா,பறவை
அ,அனாமியா,பறவை
அ,அனாயா,பறவை
அ,அனிசா,மலர்
அ,அனிச்`மியா,மலர்
அ,அனிச்சதி,மலர்
அ,அனிச்சமா,மலர்
அ,அனிச்சம்‌,
அ,அனிச்சவடி,
அ,அனிச்சிகா,மலர்
அ,அனிச்சிதி,மலர்
அ,அனிச்சினி,மலர்
அ,அனிச்சியா,மலர்
அ,அன்சதி,மலர்
அ,அன்சிகா,மலர்
அ,அன்சிதி,மலர்
அ,அன்சினி,மலர்
அ,அன்சியா,மலர்
அ,அன்னக்கிளி,
அ,அன்னக்கொடி,
அ,அன்னதி,பறவை
அ,அன்னத்தாய்‌,
அ,அன்னத்தூவி,
அ,அன்னநங்கை,
அ,அன்னமணி,
அ,அன்னமா,பறவை
அ,அன்னம்‌,
அ,அன்னம்மை,
அ,அன்னிதி,பறவை
அ,அன்னினி,பறவை
அ,அன்பம்மை,
அ,அன்புக்கண்‌,
அ,அன்‌புடைநங்கை,
அ,அன்புடையம்மை,
அ,அன்புடையாள்‌,
அ,அன்புத்தாய்‌,
அ,அன்புநங்கை,
அ,அன்‌புமங்கை,
அ,அன்புமணி,
அ,அன்புமொழி,
அ,அன்புரு,
அ,அன்புவளர்நங்கை,
அ,அமரணி,
அ,அமரதி,விருப்பம்
அ,அமரத்தி,
அ,அமரன்பு,
அ,அமரமுதம்,
அ,அமரமுது,
அ,அமரம்மை,
அ,அமரரசி,
அ,அமரரசு,
அ,அமரரண்,
அ,அமரரி,
அ,அமரருவி,
அ,அமரறிவு,
அ,அமரலரி,
அ,அமரலை,
அ,அமரல்லி,
அ,அமரழகி,
அ,அமரழகு,
அ,அமராத்தி,
அ,அமராற்றல்,
அ,அமராழி,
அ,அமரிகா,விருப்பம்
அ,அமரிசை,
அ,அமரிதி,விருப்பம்
அ,அமரினி,விருப்பம்
அ,அமரினியள்,
அ,அமரினியாள்,
அ,அமரின்பம்,
அ,அமரிமா,விருப்பம்
அ,அமரியா,விருப்பம்
அ,அமரிழை,
அ,அமரெரி,
அ,அமரெழினி,
அ,அமரெழிலி,
அ,அமரெழில்,
அ,அமரேந்தி,
அ,அமரொலி,
அ,அமரொளி,
அ,அமரோதி,
அ,அமரோவியம்,
அ,அமர்கடல்,
அ,அமர்கடல்,
அ,அமர்கணை,
அ,அமர்கண்ணி,
அ,அமர்கண்ணி,
அ,அமர்கதிர்,
அ,அமர்கயல்,
அ,அமர்கலம்,
அ,அமர்கலை,
அ,அமர்கானல்,
அ,அமர்கிளி,
அ,அமர்கிள்ளை,
அ,அமர்குயில்,
அ,அமர்குரல்,
அ,அமர்குறிஞ்சி,
அ,அமர்குழலி,
அ,அமர்குழல்,
அ,அமர்குழை,
அ,அமர்கூந்தல்,
அ,அமர்கொடி,
அ,அமர்கொடை,
அ,அமர்கொன்றை,
அ,அமர்கொம்பு,
அ,அமர்கொழுந்து,
அ,அமர்கோதை,
அ,அமர்சாந்து,
அ,அமர்சாரல்,
அ,அமர்சிட்டு,
அ,அமர்சிலம்பு,
அ,அமர்சுடர்,
அ,அமர்சுனை,
அ,அமர்செல்வம்,
அ,அமர்செல்வி,
அ,அமர்சேய்,
அ,அமர்சொல்,
அ,அமர்சோணை,
அ,அமர்சோலை,
அ,அமர்ச்சிட்டு,
அ,அமர்ச்செல்வம்,
அ,அமர்தகை,
அ,அமர்தகையள்,
அ,அமர்தங்கம்,
அ,அமர்தங்கை,
அ,அமர்தணிகை,
அ,அமர்தமிழ்,
அ,அமர்தழல்,
அ,அமர்தழை,
அ,அமர்தானை,
அ,அமர்தாமரை,
அ,அமர்திங்கள்,
அ,அமர்திரு,
அ,அமர்திறல்,
அ,அமர்துடி,
அ,அமர்துணை,
அ,அமர்துறை,
அ,அமர்துளசி,
அ,அமர்தோகை,
அ,அமர்த்தழல்,
அ,அமர்த்தானை,
அ,அமர்த்திரு,
அ,அமர்த்திறல்,
அ,அமர்த்துணை,
அ,அமர்த்துறை,
அ,அமர்த்தொடை,
அ,அமர்த்தோகை,
அ,அமர்நகை,
அ,அமர்நங்கை,
அ,அமர்நல்லள்,
அ,அமர்நிலவு,
அ,அமர்நிலா,
அ,அமர்நுதல்,
அ,அமர்நெஞ்சள்,
அ,அமர்நெய்தல்,
அ,அமர்நெறி,
அ,அமர்நொச்சி,
அ,அமர்பகன்றை,
அ,அமர்பகல்,
அ,அமர்பணை,
அ,அமர்பண்,
அ,அமர்பரிதி,
அ,அமர்பாடி,
அ,அமர்பாடினி,
அ,அமர்பிணை,
அ,அமர்பிறை,
அ,அமர்புகழ்,
அ,அமர்புணை,
அ,அமர்புதுமை,
அ,அமர்புனல்,
அ,அமர்புன்னை,
அ,அமர்புலமை,
அ,அமர்பூவை,
அ,அமர்பொன்னி,
அ,அமர்பொருநை,
அ,அமர்பொறை,
அ,அமர்பொழில்,
அ,அமர்ப்பண்,
அ,அமர்ப்பரிதி,
அ,அமர்ப்புகழ்,
அ,அமர்மகள்,
அ,அமர்மங்கை,
அ,அமர்மடந்தை,
அ,அமர்மணி,
அ,அமர்மதி,
அ,அமர்மருதம்,
அ,அமர்மலர்,
அ,அமர்மலை,
அ,அமர்மானம்,
அ,அமர்மானம்,
அ,அமர்மானி,
அ,அமர்மானி,
அ,அமர்மான்,
அ,அமர்மாமணி,
அ,அமர்மாமதி,
அ,அமர்மாமயில்,
அ,அமர்மாரி,
அ,அமர்மியா,விருப்பம்
அ,அமர்மொட்டு,
அ,அமர்மொட்டு,
அ,அமர்மொழி,
அ,அமர்மொழி,
அ,அமர்மௌவல்,
அ,அமர்மௌவல்,
அ,அமர்யாழ்,
அ,அமர்யாழ்,
அ,அமர்வடிவு,
அ,அமர்வடிவு,
அ,அமர்வளை,
அ,அமர்வளை,
அ,அமர்வாகை,
அ,அமர்வாகை,
அ,அமர்வானம்,
அ,அமர்வானம்,
அ,அமர்வாரி,
அ,அமர்வாரி,
அ,அமர்விறலி,
அ,அமர்விறலி,
அ,அமர்விறல்,
அ,அமர்விறல்,
அ,அமர்வில்,
அ,அமர்வில்,
அ,அமர்விளக்கு,
அ,அமர்விளக்கு,
அ,அமர்விழி,
அ,அமர்விழி,
அ,அமர்வெட்சி,
அ,அமர்வெண்ணி,
அ,அமர்வெற்றி,
அ,அமர்வெள்ளி,
அ,அமர்வேங்கை,
அ,அமர்வேம்பு,
அ,அமர்வேய்,
அ,அமர்வேரல்,
அ,அமர்வேல்,
அ,அமழ்தக்கண்ணு,
அ,அமழ்தமேந்தி,
அ,அமழ்தமேந்தி,
அ,அமாயதி,மலர்
அ,அமாயா,மலர்
அ,அமாயிகா,மலர்
அ,அமாயிதி,மலர்
அ,அமாயினி,மலர்
அ,அமியா,மலர்
அ,அமிழதி,மருந்து
அ,அமிழிகா,மருந்து
அ,அமிழிதி,மருந்து
அ,அமிழினி,மருந்து
அ,அமிழிமா,மருந்து
அ,அமிழியா,மருந்து
அ,அமிழ்தக்கடல்,
அ,அமிழ்தக்கணை,
அ,அமிழ்தக்கண்ணி,
அ,அமிழ்தக்கதிர்,
அ,அமிழ்தக்கனி,
அ,அமிழ்தக்கயல்,
அ,அமிழ்தக்கரை,
அ,அமிழ்தக்கலம்,
அ,அமிழ்தக்கலை,
அ,அமிழ்தக்கழனி,
அ,அமிழ்தக்கிளி,
அ,அமிழ்தக்கிள்ளை,
அ,அமிழ்தக்குட்டி,
அ,அமிழ்தக்குயில்,
அ,அமிழ்தக்குரல்,
அ,அமிழ்தக்குழலி,
அ,அமிழ்தக்கொழுந்து,
அ,அமிழ்தச்சாந்து,
அ,அமிழ்தச்சாரல்,
அ,அமிழ்தச்சிட்டு,
அ,அமிழ்தச்சுடர்,
அ,அமிழ்தச்சுனை,
அ,அமிழ்தச்செல்வம்,
அ,அமிழ்தச்செல்வி,
அ,அமிழ்தச்சேய்,
அ,அமிழ்தச்சொல்,
அ,அமிழ்தச்சோணை,
அ,அமிழ்தச்சோலை,
அ,அமிழ்தணி,
அ,அமிழ்தத்தமிழ்,
அ,அமிழ்தத்தாய்,
அ,அமிழ்தத்தி,
அ,அமிழ்தத்திரு,
அ,அமிழ்தத்துணை,
அ,அமிழ்தநகை,
அ,அமிழ்தநங்கை,
அ,அமிழ்தநன்னி,
அ,அமிழ்தநாச்சி,
அ,அமிழ்தநிலவு,
அ,அமிழ்தநிலா,
அ,அமிழ்தநெஞ்சள்,
அ,அமிழ்தநெய்தல்,
அ,அமிழ்தநெறி,
அ,அமிழ்தநொச்சி,
அ,அமிழ்தப்பண்,
அ,அமிழ்தப்பழம்,
அ,அமிழ்தப்பிணை,
அ,அமிழ்தப்பிறை,
அ,அமிழ்தப்பிள்ளை,
அ,அமிழ்தப்புகழ்,
அ,அமிழ்தப்புணை,
அ,அமிழ்தப்புனல்,
அ,அமிழ்தப்பூ,
அ,அமிழ்தப்பூவை,
அ,அமிழ்தப்பொன்,
அ,அமிழ்தப்பொன்னி,
அ,அமிழ்தப்பொழில்,
அ,அமிழ்தமகள்,
அ,அமிழ்தமங்கை,
அ,அமிழ்தமடந்தை,
அ,அமிழ்தமணி,
அ,அமிழ்தமதி,
அ,அமிழ்தமனை,
அ,அமிழ்தமருதம்,
அ,அமிழ்தமறை,
அ,அமிழ்தமலர்,
அ,அமிழ்தமலை,
அ,அமிழ்தமலையள்,
அ,அமிழ்தமாதேவி,
அ,அமிழ்தமானம்,
அ,அமிழ்தமான்,
அ,அமிழ்தமாமணி,
அ,அமிழ்தமாமதி,
அ,அமிழ்தமாமயில்,
அ,அமிழ்தமாரி,
அ,அமிழ்தமின்னல்,
அ,அமிழ்தமீன்,
அ,அமிழ்தமுகிலி,
அ,அமிழ்தமுகில்,
அ,அமிழ்தமுகை,
அ,அமிழ்தமுடி,
அ,அமிழ்தமுத்து,
அ,அமிழ்தமுரசு,
அ,அமிழ்தமுறுவல்,
அ,அமிழ்தமுல்லை,
அ,அமிழ்தமேழி,
அ,அமிழ்தமொட்டு,
அ,அமிழ்தமொழி,
அ,அமிழ்தமொழி,
அ,அமிழ்தமௌவல்,
அ,அமிழ்தம்,
அ,அமிழ்தம்,
அ,அமிழ்தம்மா,
அ,அமிழ்தம்மாள்,
அ,அமிழ்தம்மை,
அ,அமிழ்தயாழ்,
அ,அமிழ்தயாழ்,
அ,அமிழ்தரசி,
அ,அமிழ்தரசி,
அ,அமிழ்தரசு,
அ,அமிழ்தரசு,
அ,அமிழ்தரண்,
அ,அமிழ்தரி,
அ,அமிழ்தருவி,
அ,அமிழ்தலரி,
அ,அமிழ்தலரி,
அ,அமிழ்தலை,
அ,அமிழ்தலை,
அ,அமிழ்தல்லி,
அ,அமிழ்தல்லி,
அ,அமிழ்தவடிவு,
அ,அமிழ்தவடிவு,
அ,அமிழ்தவணி,
அ,அமிழ்தவணி,
அ,அமிழ்தவம்மாள்,
அ,அமிழ்தவம்மாள்,
அ,அமிழ்தவம்மை,
அ,அமிழ்தவம்மை,
அ,அமிழ்தவயல்,
அ,அமிழ்தவயல்,
அ,அமிழ்தவரசி,
அ,அமிழ்தவரசி,
அ,அமிழ்தவரசு,
அ,அமிழ்தவரசு,
அ,அமிழ்தவரண்,
அ,அமிழ்தவரண்,
அ,அமிழ்தவரி,
அ,அமிழ்தவரி,
அ,அமிழ்தவருவி,
அ,அமிழ்தவருவி,
அ,அமிழ்தவலரி,
அ,அமிழ்தவலரி,
அ,அமிழ்தவலை,
அ,அமிழ்தவலை,
அ,அமிழ்தவல்லி,
அ,அமிழ்தவல்லி,
அ,அமிழ்தவல்லி,
அ,அமிழ்தவளை,
அ,அமிழ்தவளை,
அ,அமிழ்தவள்ளி,
அ,அமிழ்தவள்ளி,
அ,அமிழ்தவழகி,
அ,அமிழ்தவழகி,
அ,அமிழ்தவழகு,
அ,அமிழ்தவழகு,
அ,அமிழ்தவாகை,
அ,அமிழ்தவாகை,
அ,அமிழ்தவாணி,
அ,அமிழ்தவாணி,
அ,அமிழ்தவாத்தி,
அ,அமிழ்தவாத்தி,
அ,அமிழ்தவானம்,
